Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01092021,798221904,0001791
Trade Date <01-SEP-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,51111,28822,56.39
20,2,21STCENMGM,EQ,518,518,100.00
20,3,3MINDIA,EQ,7005,2722,38.86
20,4,5PAISA,EQ,18699,8306,44.42
20,5,622GS2035,GS,300,300,100.00
20,6,63MOONS,EQ,43628,25347,58.10
20,7,664GS2035,GS,299,299,100.00
20,8,667GS2050,GS,2511,2510,99.96
20,9,676GS2061,GS,15290,15290,100.00
20,10,A2ZINFRA,EQ,612033,293750,48.00
20,11,AAATECH,SM,9000,9000,100.00
20,12,AAKASH,EQ,143096,76514,53.47
20,13,AAREYDRUGS,EQ,27923,20581,73.71
20,14,AARON,EQ,10217,6734,65.91
20,15,AARTIDRUGS,EQ,120713,61866,51.25
20,16,AARTIIND,EQ,570829,244394,42.81
20,17,AARTISURF,EQ,13898,6879,49.50
20,18,AARVEEDEN,EQ,12796,8633,67.47
20,19,AARVI,EQ,33451,21244,63.51
20,20,AAVAS,EQ,103563,62300,60.16
20,21,ABAN,EQ,63807,33226,52.07
20,22,ABB,EQ,130632,58086,44.47
20,23,ABBOTINDIA,EQ,39643,13022,32.85
20,24,ABCAPITAL,EQ,1611028,582574,36.16
20,25,ABFRL,EQ,1791236,789888,44.10
20,26,ABSLBANETF,EQ,176,136,77.27
20,27,ABSLNN50ET,EQ,188,177,94.15
20,28,ABSLRIF6RG,MF,3001,3001,100.00
20,29,ACC,EQ,418473,193513,46.24
20,30,ACCELYA,EQ,31289,15437,49.34
20,31,ACCURACY,EQ,274186,110654,40.36
20,32,ACE,EQ,1221424,373003,30.54
20,33,ACRYSIL,EQ,213117,110474,51.84
20,34,ADANIENT,EQ,3056760,615139,20.12
20,35,ADANIPORTS,EQ,5320381,1397825,26.27
20,36,ADFFOODS,EQ,19343,13147,67.97
20,37,ADORWELD,EQ,6477,4719,72.86
20,38,ADSL,EQ,334545,210628,62.96
20,39,ADVANIHOTR,EQ,25704,13763,53.54
20,40,ADVENZYMES,EQ,232718,96642,41.53
20,41,AEGISCHEM,EQ,403697,222542,55.13
20,42,AGARIND,EQ,15695,12388,78.93
20,43,AGRITECH,EQ,14484,6620,45.71
20,44,AGROPHOS,EQ,50399,36502,72.43
20,45,AHLADA,EQ,21286,16471,77.38
20,46,AHLEAST,EQ,1951,1275,65.35
20,47,AHLUCONT,EQ,49359,15815,32.04
20,48,AHLWEST,EQ,2389,1976,82.71
20,49,AIAENG,EQ,18955,8037,42.40
20,50,AIROLAM,SM,27000,18000,66.67
20,51,AISL,SM,2400,2400,100.00
20,52,AJANTPHARM,EQ,28506,12966,45.49
20,53,AJOONI,EQ,198894,173228,87.10
20,54,AKASH,EQ,37745,27506,72.87
20,55,AKG,EQ,14886,7003,47.04
20,56,AKSHARCHEM,EQ,160755,44679,27.79
