Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05072021,1068231569,0001772
Trade Date <05-JUL-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,219009,134991,61.64
20,2,21STCENMGM,EQ,3191,3191,100.00
20,3,3MINDIA,EQ,5997,3884,64.77
20,4,3PLAND,EQ,59141,49218,83.22
20,5,577GS2030,GS,1,1,100.00
20,6,5PAISA,EQ,15831,9222,58.25
20,7,667GS2050,GS,5442,4500,82.69
20,8,676GS2061,GS,1,1,100.00
20,9,68GS2060,GS,2018,2018,100.00
20,10,719GS2060,GS,20,20,100.00
20,11,74GS2035,GS,400,400,100.00
20,12,AAATECH,SM,30000,21000,70.00
20,13,AAKASH,EQ,184893,117061,63.31
20,14,AARTIDRUGS,EQ,523517,223576,42.71
20,15,AARTIIND,EQ,1044502,550756,52.73
20,16,AARTISURF,EQ,11760,7317,62.22
20,17,AARVI,EQ,430242,252826,58.76
20,18,AAVAS,EQ,26773,11680,43.63
20,19,ABB,EQ,99623,53949,54.15
20,20,ABBOTINDIA,EQ,5649,2900,51.34
20,21,ABCAPITAL,EQ,3704181,1520835,41.06
20,22,ABFRL,EQ,2950734,1075633,36.45
20,23,ABMINTLTD,EQ,2123,1073,50.54
20,24,ABSLBANETF,EQ,1383,334,24.15
20,25,ABSLNN50ET,EQ,27,24,88.89
20,26,ABSLRIF6RD,MF,202,202,100.00
20,27,ABSLRIF6RG,MF,4485,4485,100.00
20,28,ACC,EQ,328547,120251,36.60
20,29,ACCELYA,EQ,1091112,265910,24.37
20,30,ACCURACY,EQ,13943,10757,77.15
20,31,ACE,EQ,1715566,533748,31.11
20,32,ACRYSIL,EQ,68398,43328,63.35
20,33,ADANIENT,EQ,12239845,1656998,13.54
20,34,ADANIPORTS,EQ,11105134,1206237,10.86
20,35,ADFFOODS,EQ,75314,40715,54.06
20,36,ADORWELD,EQ,46300,32306,69.78
20,37,ADROITINFO,EQ,44397,43016,96.89
20,38,ADSL,EQ,897332,402987,44.91
20,39,ADVANIHOTR,EQ,15807,9666,61.15
20,40,ADVENZYMES,EQ,363537,176798,48.63
20,41,AEGISCHEM,EQ,248572,123788,49.80
20,42,AGARIND,EQ,33259,19723,59.30
20,43,AGRITECH,EQ,8789,6229,70.87
20,44,AGROPHOS,EQ,143082,37327,26.09
20,45,AHLADA,EQ,185487,168690,90.94
20,46,AHLEAST,EQ,2930,2116,72.22
20,47,AHLUCONT,EQ,32338,16895,52.25
20,48,AHLWEST,EQ,34030,10007,29.41
20,49,AIAENG,EQ,35632,24069,67.55
20,50,AILIMITED,SM,30000,24000,80.00
20,51,AIROLAM,SM,33000,33000,100.00
20,52,AISL,SM,25200,1200,4.76
20,53,AJANTPHARM,EQ,113089,49059,43.38
20,54,AJMERA,EQ,222477,150708,67.74
20,55,AKASH,EQ,89095,46663,52.37
20,56,AKG,EQ,9644,2984,30.94
20,57,AKSHARCHEM,EQ,53323,32050,60.11
20,58,AKZOINDIA,EQ,15180,7154,47.13
20,59,ALANKIT,EQ,547182,217344,39.72
20,60,ALBERTDAVD,EQ,21448,12444,58.02
20,61,ALEMBICLTD,EQ,822406,246459,29.97
20,62,ALICON,EQ,155400,49852,32.08
20,63,ALKALI,EQ,18587,9066,48.78
20,64,ALKEM,EQ,133768,34957,26.13
20,65,ALKYLAMINE,EQ,87941,41175,46.82
20,66,ALLCARGO,EQ,424342,199417,46.99
20,67,ALLSEC,EQ,757373,172373,22.76
20,68,ALMONDZ,EQ,13364,13364,100.00
20,69,ALOKINDS,EQ,8829037,4359873,49.38
20,70,ALPHAGEO,EQ,62439,40149,64.30
20,71,AMARAJABAT,EQ,732432,373156,50.95
20,72,AMBER,EQ,339882,146593,43.13
20,73,AMBICAAGAR,EQ,59251,42585,71.87
20,74,AMBIKCO,EQ,38063,21481,56.44
20,75,AMBUJACEM,EQ,1403833,477992,34.05
20,76,AMDIND,EQ,82845,74371,89.77
20,77,AMJLAND,EQ,261265,143929,55.09
20,78,AMRUTANJAN,EQ,88715,43485,49.02
20,79,ANDHRAPAP,EQ,335099,135053,40.30
20,80,ANDHRSUGAR,EQ,202093,108651,53.76
20,81,ANGELBRKG,EQ,415707,241612,58.12
20,82,ANIKINDS,EQ,218183,91643,42.00
20,83,ANMOL,EQ,25248,3473,13.76
20,84,ANSALHSG,EQ,1502241,1201189,79.96
20,85,ANUP,EQ,128952,64089,49.70
20,86,ANURAS,EQ,166756,84437,50.64
20,87,APARINDS,EQ,81466,54528,66.93
20,88,APCL,EQ,320553,94199,29.39
20,89,APCOTEXIND,EQ,68772,43072,62.63
20,90,APEX,EQ,3485856,781368,22.42
20,91,APLAPOLLO,EQ,85541,49140,57.45
20,92,APLLTD,EQ,807534,398577,49.36
20,93,APOLLO,EQ,174416,88788,50.91
20,94,APOLLOHOSP,EQ,444545,100135,22.53
20,95,APOLLOPIPE,EQ,30734,21188,68.94
20,96,APOLLOTYRE,EQ,1953733,473816,24.25
20,97,APOLSINHOT,EQ,3492,2062,59.05
20,98,APTECHT,EQ,806243,236273,29.31
20,99,ARCHIES,EQ,3554097,1465971,41.25
20,100,ARENTERP,EQ,9593,6268,65.34
20,101,ARIES,EQ,243897,61740,25.31
20,102,ARIHANTCAP,EQ,48979,37180,75.91
20,103,ARMANFIN,EQ,21613,11447,52.96
20,104,AROGRANITE,EQ,335648,174764,52.07
20,105,ARSHIYA,EQ,425412,367269,86.33
20,106,ARVIND,EQ,3569920,1659436,46.48
20,107,ARVINDFASN,EQ,688038,458291,66.61
20,108,ARVSMART,EQ,532522,293529,55.12
20,109,ASAHIINDIA,EQ,489383,205954,42.08
20,110,ASAHISONG,EQ,59809,32357,54.10
20,111,ASALCBR,EQ,107587,48378,44.97
20,112,ASHIANA,EQ,85394,52266,61.21
20,113,ASHOKA,EQ,6058002,1745112,28.81
20,114,ASHOKLEY,EQ,11745127,3905617,33.25
20,115,ASIANHOTNR,EQ,18272,10006,54.76
20,116,ASIANPAINT,EQ,863343,344106,39.86
20,117,ASIANTILES,EQ,852429,480652,56.39
20,118,ASLIND,SM,20000,20000,100.00
20,119,ASPINWALL,EQ,9365,5982,63.88
20,120,ASTEC,EQ,23660,11740,49.62
20,121,ASTERDM,EQ,427068,291262,68.20
20,122,ASTRAL,EQ,159242,82678,51.92
20,123,ASTRAMICRO,EQ,760563,285462,37.53
20,124,ASTRAZEN,EQ,12328,6624,53.73
20,125,ASTRON,EQ,173374,63558,36.66
20,126,ATFL,EQ,9272,5104,55.05
20,127,ATUL,EQ,28193,15099,53.56
20,128,ATULAUTO,EQ,102020,67095,65.77
20,129,AUBANK,EQ,656418,153009,23.31
20,130,AURIONPRO,EQ,106680,65182,61.10
20,131,AUROPHARMA,EQ,1479231,435417,29.44
20,132,AUSOMENT,EQ,51847,23864,46.03
20,133,AUTOAXLES,EQ,13568,6712,49.47
20,134,AVADHSUGAR,EQ,207616,104292,50.23
20,135,AVANTIFEED,EQ,8253972,1137021,13.78
20,136,AVG,SM,3600,2400,66.67
20,137,AVROIND,SM,6000,6000,100.00
20,138,AVTNPL,EQ,618594,335480,54.23
