Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,14062021,1488978014,0001843
Trade Date <14-JUN-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,292224,150619,51.54
20,2,21STCENMGM,EQ,6411,6411,100.00
20,3,3MINDIA,EQ,3573,1736,48.59
20,4,3PLAND,EQ,56241,47660,84.74
20,5,5PAISA,EQ,108710,74147,68.21
20,6,601GS2028,GS,1,1,100.00
20,7,716GS2050,GS,2000,2000,100.00
20,8,719GS2060,GS,1109,1109,100.00
20,9,757GS2033,GS,6,6,100.00
20,10,AAATECH,SM,6000,6000,100.00
20,11,AAKASH,EQ,56126,18498,32.96
20,12,AARTIDRUGS,EQ,308300,163422,53.01
20,13,AARTIIND,EQ,908774,244397,26.89
20,14,AARTISURF,EQ,24487,13908,56.80
20,15,AARVI,EQ,43006,30439,70.78
20,16,AAVAS,EQ,52700,16249,30.83
20,17,ABAN,EQ,315748,174047,55.12
20,18,ABB,EQ,124292,39487,31.77
20,19,ABBOTINDIA,EQ,30110,20363,67.63
20,20,ABCAPITAL,EQ,1909555,732507,38.36
20,21,ABFRL,EQ,1573182,534128,33.95
20,22,ABFRLPP1,E1,4999,3260,65.21
20,23,ABINFRA,SM,12000,12000,100.00
20,24,ABMINTLTD,EQ,1892,1180,62.37
20,25,ABSLBANETF,EQ,897,222,24.75
20,26,ABSLNN50ET,EQ,170,131,77.06
20,27,ABSLRIF6RG,MF,15300,15100,98.69
20,28,ACC,EQ,262106,49377,18.84
20,29,ACCELYA,EQ,395925,178752,45.15
20,30,ACCURACY,EQ,24865,18608,74.84
20,31,ACE,EQ,4217509,1268552,30.08
20,32,ACRYSIL,EQ,168516,61326,36.39
20,33,ADANIENT,EQ,43530006,3193722,7.34
20,34,ADANIPORTS,EQ,89771631,15189854,16.92
20,35,ADFFOODS,EQ,39458,16642,42.18
20,36,ADORWELD,EQ,67369,49187,73.01
20,37,ADROITINFO,EQ,26783,17417,65.03
20,38,ADSL,EQ,172003,113244,65.84
20,39,ADVANIHOTR,EQ,15381,7761,50.46
20,40,ADVENZYMES,EQ,214615,82874,38.62
20,41,AEGISCHEM,EQ,651162,308284,47.34
20,42,AGARIND,EQ,103258,54714,52.99
20,43,AGRITECH,EQ,7321,5077,69.35
20,44,AGROPHOS,EQ,150551,57909,38.46
20,45,AHLADA,EQ,95386,49022,51.39
20,46,AHLEAST,EQ,1826,1191,65.22
20,47,AHLUCONT,EQ,14003,7172,51.22
20,48,AHLWEST,EQ,11204,6911,61.68
20,49,AIAENG,EQ,36941,26535,71.83
20,50,AIRAN,EQ,111322,75067,67.43
20,51,AIROLAM,SM,9000,9000,100.00
20,52,AISL,SM,26400,1200,4.55
20,53,AJANTPHARM,EQ,122520,84557,69.01
20,54,AJMERA,EQ,1055344,294248,27.88
20,55,AKASH,EQ,39125,32414,82.85
20,56,AKG,EQ,5786,4854,83.89
20,57,AKSHARCHEM,EQ,246772,91458,37.06
20,58,AKZOINDIA,EQ,25196,12785,50.74
20,59,ALANKIT,EQ,1063534,582042,54.73
20,60,ALBERTDAVD,EQ,576632,151429,26.26
20,61,ALEMBICLTD,EQ,837780,249921,29.83
20,62,ALICON,EQ,8116,4302,53.01
20,63,ALKALI,EQ,78778,43479,55.19
20,64,ALKEM,EQ,395229,136505,34.54
20,65,ALKYLAMINE,EQ,58667,26341,44.90
20,66,ALLCARGO,EQ,481933,197446,40.97
20,67,ALLSEC,EQ,21164,10875,51.38
20,68,ALMONDZ,EQ,29051,25195,86.73
20,69,ALOKINDS,EQ,162451470,39991665,24.62
20,70,ALPHAGEO,EQ,31542,16935,53.69
20,71,ALPSINDUS,EQ,83248,81825,98.29
20,72,AMARAJABAT,EQ,2854192,939918,32.93
20,73,AMBANIORG,SM,2000,2000,100.00
20,74,AMBER,EQ,67333,29007,43.08
20,75,AMBICAAGAR,EQ,41812,32934,78.77
20,76,AMBIKCO,EQ,63751,34991,54.89
20,77,AMBUJACEM,EQ,1670528,459902,27.53
20,78,AMDIND,EQ,49278,29326,59.51
20,79,AMJLAND,EQ,96274,52853,54.90
20,80,AMRUTANJAN,EQ,80254,38827,48.38
20,81,ANDHRAPAP,EQ,39421,20186,51.21
20,82,ANDHRSUGAR,EQ,126738,33970,26.80
20,83,ANGELBRKG,EQ,269429,110873,41.15
20,84,ANIKINDS,EQ,99519,56298,56.57
20,85,ANMOL,EQ,25405,3884,15.29
20,86,ANSALAPI,EQ,585050,362862,62.02
20,87,ANSALHSG,EQ,199558,131978,66.14
20,88,ANUP,EQ,44018,25336,57.56
20,89,ANURAS,EQ,520041,172628,33.20
20,90,APARINDS,EQ,138227,85948,62.18
20,91,APCL,EQ,129169,67366,52.15
20,92,APCOTEXIND,EQ,98955,61057,61.70
20,93,APEX,EQ,143165,49098,34.29
20,94,APLAPOLLO,EQ,314701,204745,65.06
20,95,APLLTD,EQ,864005,595165,68.88
20,96,APOLLO,EQ,180260,99690,55.30
20,97,APOLLOHOSP,EQ,317756,104456,32.87
20,98,APOLLOPIPE,EQ,37036,22663,61.19
20,99,APOLLOTYRE,EQ,2084657,385646,18.50
20,100,APOLSINHOT,EQ,5605,3374,60.20
20,101,APTECHT,EQ,397781,121721,30.60
20,102,ARCHIES,EQ,477674,204551,42.82
20,103,ARENTERP,EQ,7190,3609,50.19
20,104,ARIES,EQ,339295,69144,20.38
20,105,ARIHANT,EQ,18245,14004,76.76
20,106,ARMANFIN,EQ,6978,3704,53.08
20,107,AROGRANITE,EQ,42034,27175,64.65
20,108,ARSHIYA,EQ,198250,136942,69.08
20,109,ARVIND,EQ,1886402,851620,45.15
20,110,ARVINDFASN,EQ,439623,272610,62.01
20,111,ARVSMART,EQ,124024,61439,49.54
20,112,ASAHIINDIA,EQ,291657,76619,26.27
20,113,ASAHISONG,EQ,39538,25575,64.68
20,114,ASAL,EQ,89341,47135,52.76
20,115,ASALCBR,EQ,27803,16543,59.50
20,116,ASHIANA,EQ,53578,31108,58.06
20,117,ASHOKA,EQ,2719045,955240,35.13
20,118,ASHOKLEY,EQ,13500838,4552622,33.72
20,119,ASIANHOTNR,EQ,25641,18615,72.60
20,120,ASIANPAINT,EQ,746823,371926,49.80
20,121,ASIANTILES,EQ,1115788,500807,44.88
20,122,ASPINWALL,EQ,3638,2813,77.32
20,123,ASTEC,EQ,18493,8905,48.15
20,124,ASTERDM,EQ,2055355,712968,34.69
20,125,ASTRAL,EQ,267011,135943,50.91
20,126,ASTRAMICRO,EQ,1275730,582309,45.65
20,127,ASTRAZEN,EQ,96987,19946,20.57
20,128,ASTRON,EQ,65994,38465,58.29
20,129,ATFL,EQ,19926,8511,42.71
20,130,ATLANTA,EQ,235409,158956,67.52
20,131,ATUL,EQ,72176,66311,91.87
20,132,ATULAUTO,EQ,206349,117660,57.02
20,133,AUBANK,EQ,2489156,883127,35.48
20,134,AURIONPRO,EQ,51029,26140,51.23
20,135,AUROPHARMA,EQ,3167944,1283136,40.50
20,136,AUSOMENT,EQ,22674,13453,59.33
20,137,AUTOAXLES,EQ,11487,5284,46.00
20,138,AUTOIND,EQ,147065,85392,58.06
20,139,AVADHSUGAR,EQ,234343,58224,24.85
20,140,AVANTIFEED,EQ,669693,116249,17.36
20,141,AVROIND,SM,2000,2000,100.00
20,142,AVTNPL,EQ,328267,143334,43.66
20,143,AWHCL,EQ,70719,35057,49.57
20,144,AXISBANK,EQ,5190670,1915636,36.91
20,145,AXISBNKETF,EQ,1766,1019,57.70
20,146,AXISBPSETF,EQ,36792,35211,95.70
20,147,AXISCADES,EQ,708484,271597,38.33
20,148,AXISGOLD,EQ,182595,165403,90.58
20,149,AXISHCETF,EQ,17794,12703,71.39
20,150,AXISNIFTY,EQ,5610,3473,61.91
20,151,AXISTECETF,EQ,6372,3034,47.61
20,152,AYMSYNTEX,EQ,181679,138871,76.44
20,153,BAFNAPH,EQ,14841,9292,62.61
20,154,BAJAJ-AUTO,EQ,200657,72793,36.28
20,155,BAJAJCON,EQ,1082114,219980,20.33
20,156,BAJAJELEC,EQ,58360,25255,43.27
20,157,BAJAJFINSV,EQ,288785,40491,14.02
20,158,BAJAJHIND,EQ,36575668,17974266,49.14
20,159,BAJAJHLDNG,EQ,28252,19009,67.28
20,160,BAJFINANCE,EQ,2633601,287338,10.91
20,161,BALAJITELE,EQ,1258122,348353,27.69
20,162,BALAMINES,EQ,70389,35895,51.00
20,163,BALAXI,EQ,4164,2256,54.18
20,164,BALKRISIND,EQ,307836,75432,24.50
20,165,BALMLAWRIE,EQ,381672,143245,37.53
20,166,BALRAMCHIN,EQ,2167553,773425,35.68
20,167,BANARBEADS,EQ,7355,5753,78.22
20,168,BANARISUG,EQ,2025,850,41.98
20,169,BANCOINDIA,EQ,154653,74839,48.39
20,170,BANDHANBNK,EQ,3544995,1123297,31.69
20,171,BANG,EQ,7831,5277,67.39
20,172,BANKA,EQ,11882,7892,66.42
20,173,BANKBARODA,EQ,78345224,21211432,27.07
20,174,BANKBEES,EQ,532218,180198,33.86
20,175,BANKINDIA,EQ,6897282,1689623,24.50
20,176,BANSWRAS,EQ,18940,11602,61.26
20,177,BARBEQUE,EQ,143946,72660,50.48
20,178,BASF,EQ,25259,13591,53.81
20,179,BATAINDIA,EQ,384607,81587,21.21
20,180,BAYERCROP,EQ,55573,26919,48.44
20,181,BBL,EQ,15901,10365,65.18
20,182,BBTC,EQ,548892,232471,42.35
20,183,BBTCL,SM,201000,198000,98.51
20,184,BCG,EQ,10275768,7169655,69.77
20,185,BCLIND,EQ,159605,77787,48.74
20,186,BCP,EQ,1593369,1188223,74.57
20,187,BDL,EQ,141830,72896,51.40
20,188,BECTORFOOD,EQ,265726,113922,42.87
20,189,BEDMUTHA,EQ,107087,64324,60.07
20,190,BEL,EQ,8844427,2378690,26.89
20,191,BEML,EQ,2165324,558576,25.80
20,192,BEPL,EQ,2454982,788092,32.10
20,193,BERGEPAINT,EQ,414243,125926,30.40
20,194,BESTAGRO,EQ,45805,38260,83.53
20,195,BETA,SM,7200,3200,44.44
20,196,BFINVEST,EQ,306000,55611,18.17
20,197,BFUTILITIE,EQ,1863810,438300,23.52
20,198,BGRENERGY,EQ,596918,239900,40.19
20,199,BHAGERIA,EQ,268593,118597,44.15
20,200,BHAGYANGR,EQ,81249,54243,66.76
20,201,BHAGYAPROP,EQ,39164,32093,81.95
20,202,BHANDARI,EQ,420553,245926,58.48
20,203,BHARATFORG,EQ,1779662,345095,19.39
20,204,BHARATGEAR,EQ,106575,57827,54.26
20,205,BHARATRAS,EQ,1990,1142,57.39
20,206,BHARATWIRE,EQ,39846,24214,60.77
20,207,BHARTIARTL,EQ,5609077,2583845,46.07
20,208,BHEL,EQ,188258380,46828358,24.87
20,209,BIGBLOC,EQ,29691,20190,68.00
20,210,BINDALAGRO,EQ,993742,376070,37.84
20,211,BIOCON,EQ,1526684,467894,30.65
20,212,BIOFILCHEM,EQ,62936,42252,67.13
20,213,BIRET,RR,107200,82000,76.49
20,214,BIRLACABLE,EQ,1492279,624254,41.83
20,215,BIRLACORPN,EQ,125329,93767,74.82
20,216,BIRLAMONEY,EQ,1833221,747136,40.76
20,217,BIRLATYRE,EQ,426591,272312,63.83
20,218,BLBLIMITED,EQ,266744,129613,48.59
20,219,BLISSGVS,EQ,518238,231315,44.63
20,220,BLKASHYAP,EQ,1240392,734827,59.24
20,221,BLS,EQ,289188,142629,49.32
20,222,BLUEDART,EQ,29100,15836,54.42
20,223,BLUESTARCO,EQ,97314,35643,36.63
20,224,BODALCHEM,EQ,804091,335664,41.74
20,225,BOHRA,SM,2000,2000,100.00
20,226,BOMDYEING,EQ,5971656,1757391,29.43
20,227,BOROLTD,EQ,139777,69960,50.05
20,228,BOSCHLTD,EQ,33998,9060,26.65
20,229,BPCL,EQ,3618826,1678474,46.38
20,230,BPL,EQ,297933,149497,50.18
20,231,BRFL,EQ,2774039,2016800,72.70
20,232,BRIGADE,EQ,751012,231305,30.80
20,233,BRIGHT,SM,9000,9000,100.00
20,234,BRITANNIA,EQ,312420,137693,44.07
20,235,BRITANNIA,N2,13836,9500,68.66
20,236,BRNL,EQ,83565,52402,62.71
20,237,BROOKS,EQ,26318,13999,53.19
