Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16042021,693724513,0001792
Trade Date <16-APR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,28824,21721,75.36
20,2,21STCENMGM,EQ,402,388,96.52
20,3,3IINFOTECH,EQ,7834657,5159760,65.86
20,4,3MINDIA,EQ,7549,3445,45.64
20,5,3PLAND,EQ,18492,9445,51.08
20,6,5PAISA,EQ,826346,227200,27.49
20,7,63MOONS,EQ,3113908,621586,19.96
20,8,716GS2050,GS,10,10,100.00
20,9,732GS2024,GS,100,100,100.00
20,10,762GS2039,GS,50,50,100.00
20,11,A2ZINFRA,EQ,662288,473781,71.54
20,12,AARON,EQ,517,344,66.54
20,13,AARTIDRUGS,EQ,282059,86232,30.57
20,14,AARTIIND,EQ,556562,143657,25.81
20,15,AARTISURF,EQ,72484,33405,46.09
20,16,AARVEEDEN,EQ,46936,28723,61.20
20,17,AARVI,EQ,46907,27640,58.93
20,18,AAVAS,EQ,23314,7073,30.34
20,19,ABAN,EQ,53251,37021,69.52
20,20,ABB,EQ,142921,90631,63.41
20,21,ABBOTINDIA,EQ,21109,15682,74.29
20,22,ABCAPITAL,EQ,3856253,1183555,30.69
20,23,ABFRL,EQ,1365859,429551,31.45
20,24,ABFRLPP1,E1,4098,1871,45.66
20,25,ABMINTLTD,EQ,1612,849,52.67
20,26,ABSLBANETF,EQ,58,12,20.69
20,27,ABSLNN50ET,EQ,80,63,78.75
20,28,ABSLRIF6RG,MF,5003,5003,100.00
20,29,ACC,EQ,1061445,298491,28.12
20,30,ACCELYA,EQ,1855,1338,72.13
20,31,ACCURACY,EQ,36638,22096,60.31
20,32,ACE,EQ,181177,106527,58.80
20,33,ACRYSIL,EQ,46576,25064,53.81
20,34,ADANIENT,EQ,10661068,1265227,11.87
20,35,ADANIGREEN,EQ,494736,147618,29.84
20,36,ADANIPORTS,EQ,41791181,3455564,8.27
20,37,ADANIPOWER,EQ,16439433,4674933,28.44
20,38,ADANITRANS,EQ,1065010,460090,43.20
20,39,ADFFOODS,EQ,24506,8921,36.40
20,40,ADHUNIKIND,EQ,37248,19794,53.14
20,41,ADORWELD,EQ,173088,91831,53.05
20,42,ADSL,EQ,128987,76006,58.93
20,43,ADVANIHOTR,EQ,5016,3428,68.34
20,44,ADVENZYMES,EQ,125519,46123,36.75
20,45,AEGISCHEM,EQ,158672,98319,61.96
20,46,AFFLE,EQ,21986,10349,47.07
20,47,AFLPP,E1,27373,25244,92.22
20,48,AGCNET,EQ,9980,6217,62.29
20,49,AGRITECH,EQ,35004,21300,60.85
20,50,AGROPHOS,EQ,28144,21903,77.82
20,51,AHLADA,EQ,8999,6397,71.09
20,52,AHLEAST,EQ,598,430,71.91
20,53,AHLUCONT,EQ,113104,106425,94.09
20,54,AHLWEST,EQ,1948,646,33.16
20,55,AIAENG,EQ,29968,19329,64.50
20,56,AIRAN,EQ,27632,18191,65.83
20,57,AISL,SM,22800,1200,5.26
20,58,AJANTPHARM,EQ,100525,52006,51.73
20,59,AJMERA,EQ,35412,14550,41.09
20,60,AJOONI,SM,97768,97768,100.00
20,61,AKASH,EQ,45757,42293,92.43
20,62,AKG,EQ,4411,4411,100.00
20,63,AKSHARCHEM,EQ,6202,5135,82.80
20,64,AKSHOPTFBR,EQ,136421,93385,68.45
20,65,AKZOINDIA,EQ,6210,2854,45.96
20,66,ALANKIT,EQ,31199,16933,54.27
20,67,ALBERTDAVD,EQ,20030,8093,40.40
20,68,ALEMBICLTD,EQ,667292,160625,24.07
20,69,ALICON,EQ,3932,2212,56.26
20,70,ALKALI,EQ,20450,13331,65.19
20,71,ALKEM,EQ,159177,59133,37.15
20,72,ALKYLAMINE,EQ,24631,11100,45.07
20,73,ALLCARGO,EQ,40713,26489,65.06
20,74,ALLSEC,EQ,12582,6910,54.92
20,75,ALMONDZ,EQ,2014,1253,62.21
20,76,ALOKINDS,EQ,10859769,3484817,32.09
20,77,ALPA,EQ,100342,57653,57.46
20,78,ALPHAGEO,EQ,9310,5982,64.25
20,79,AMARAJABAT,EQ,936286,177391,18.95
20,80,AMBER,EQ,55210,24416,44.22
20,81,AMBIKCO,EQ,13839,7051,50.95
20,82,AMBUJACEM,EQ,5575878,1358997,24.37
20,83,AMJLAND,EQ,6108,4678,76.59
20,84,AMRUTANJAN,EQ,211298,51963,24.59
20,85,ANANTRAJ,EQ,196624,113751,57.85
20,86,ANDHRACEMT,EQ,305422,173059,56.66
20,87,ANDHRAPAP,EQ,151068,10318,6.83
