Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21052021,1235488695,0001893
Trade Date <21-MAY-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,2096237,883085,42.13
20,2,21STCENMGM,EQ,14518,11840,81.55
20,3,3IINFOTECH,EQ,29835480,12339625,41.36
20,4,3MINDIA,EQ,4279,2093,48.91
20,5,3PLAND,EQ,15447,9989,64.67
20,6,5PAISA,EQ,51975,29056,55.90
20,7,617GS2021,GS,151,95,62.91
20,8,667GS2050,GS,404,404,100.00
20,9,824GS2033,GS,100,100,100.00
20,10,AAKASH,EQ,45353,12957,28.57
20,11,AARTIDRUGS,EQ,424809,180346,42.45
20,12,AARTIIND,EQ,755839,329169,43.55
20,13,AARTISURF,EQ,34077,21141,62.04
20,14,AARVI,EQ,23993,20690,86.23
20,15,AAVAS,EQ,49030,27537,56.16
20,16,ABAN,EQ,69168,45309,65.51
20,17,ABB,EQ,141945,93838,66.11
20,18,ABBOTINDIA,EQ,9375,5798,61.85
20,19,ABCAPITAL,EQ,5772544,2985342,51.72
20,20,ABFRL,EQ,1479694,839869,56.76
20,21,ABFRLPP1,E1,589992,585650,99.26
20,22,ABMINTLTD,EQ,5284,2490,47.12
20,23,ABSLBANETF,EQ,596,383,64.26
20,24,ABSLNN50ET,EQ,50,37,74.00
20,25,ABSLRIF6RG,MF,14795,14795,100.00
20,26,ACC,EQ,674816,175275,25.97
20,27,ACCELYA,EQ,27748,20991,75.65
20,28,ACCORD,SM,2000,2000,100.00
20,29,ACCURACY,EQ,2809,2251,80.14
20,30,ACE,EQ,502344,279656,55.67
20,31,ACRYSIL,EQ,1828443,521241,28.51
20,32,ADANIENT,EQ,8314215,2665753,32.06
20,33,ADANIGREEN,EQ,1145075,487420,42.57
20,34,ADANIPORTS,EQ,5274817,849836,16.11
20,35,ADANIPOWER,EQ,12929388,7557558,58.45
20,36,ADANITRANS,EQ,4156347,2265980,54.52
