Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22102021,1127239711,0001949
Trade Date <22-OCT-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,234159,99618,42.54
20,2,21STCENMGM,EQ,28212,28212,100.00
20,3,3MINDIA,EQ,4172,1884,45.16
20,4,3PLAND,EQ,13632,5928,43.49
20,5,577GS2030,GS,100,100,100.00
20,6,5PAISA,EQ,59223,30939,52.24
20,7,63MOONS,EQ,151201,64925,42.94
20,8,667GS2035,GS,1,1,100.00
20,9,667GS2050,GS,560,560,100.00
20,10,676GS2061,GS,11076,11076,100.00
20,11,719GS2060,GS,50,50,100.00
20,12,A2ZINFRA,EQ,1059874,662878,62.54
20,13,AAATECH,SM,15000,9000,60.00
20,14,AAKASH,EQ,17832,13105,73.49
20,15,AAREYDRUGS,EQ,16746,8577,51.22
20,16,AARON,EQ,5648,3858,68.31
20,17,AARTIDRUGS,EQ,165581,75895,45.84
20,18,AARTIIND,EQ,633115,209645,33.11
20,19,AARTISURF,EQ,7800,4364,55.95
20,20,AARVEEDEN,EQ,53318,37727,70.76
20,21,AARVI,EQ,8928,6371,71.36
20,22,AAVAS,EQ,42342,22792,53.83
20,23,ABB,EQ,338028,169252,50.07
20,24,ABBOTINDIA,EQ,16585,4475,26.98
20,25,ABCAPITAL,EQ,2480412,1081729,43.61
20,26,ABFRL,EQ,4873618,974708,20.00
20,27,ABMINTLLTD,EQ,1550,831,53.61
20,28,ABSLAMC,EQ,216987,102356,47.17
20,29,ABSLBANETF,EQ,40855,40226,98.46
20,30,ABSLNN50ET,EQ,499,259,51.90
20,31,ACC,EQ,528370,122493,23.18
20,32,ACCELYA,EQ,21234,10178,47.93
20,33,ACCORD,SM,10000,10000,100.00
20,34,ACCURACY,EQ,27577,12334,44.73
20,35,ACE,EQ,445993,135564,30.40
20,36,ACEINTEG,SM,4500,4500,100.00
20,37,ACRYSIL,EQ,77235,43327,56.10
20,38,ADANIENT,EQ,2580699,805641,31.22
20,39,ADANIGREEN,EQ,301252,176449,58.57
20,40,ADANIPORTS,EQ,3860760,902760,23.38
20,41,ADFFOODS,EQ,7011,3956,56.43
20,42,ADORWELD,EQ,7260,3905,53.79
20,43,ADROITINFO,EQ,48850,31954,65.41
20,44,ADSL,EQ,559381,228242,40.80
20,45,ADVANIHOTR,EQ,19628,9483,48.31
20,46,ADVENZYMES,EQ,233718,126411,54.09
20,47,AEGISCHEM,EQ,616325,343395,55.72
20,48,AFFLE,EQ,320632,159591,49.77
20,49,AGARIND,EQ,16867,9176,54.40
20,50,AGROPHOS,EQ,52295,32881,62.88
20,51,AHLADA,EQ,10958,6530,59.59
20,52,AHLEAST,EQ,37287,19717,52.88
20,53,AHLUCONT,EQ,22259,10336,46.44
20,54,AHLWEST,EQ,3697,2337,63.21
20,55,AIAENG,EQ,69944,46409,66.35
20,56,AIRAN,EQ,41508,31120,74.97
20,57,AIROLAM,EQ,10717,7030,65.60
20,58,AISL,SM,1200,1200,100.00
20,59,AJANTPHARM,EQ,56410,27889,49.44
20,60,AJOONI,EQ,640645,452867,70.69
20,61,AJRINFRA,EQ,1652384,1474490,89.23
20,62,AKASH,EQ,14584,8325,57.08
20,63,AKG,EQ,19148,11836,61.81
20,64,AKSHARCHEM,EQ,34601,18287,52.85
20,65,AKSHOPTFBR,EQ,315452,189304,60.01
20,66,AKZOINDIA,EQ,6317,3117,49.34
20,67,ALANKIT,EQ,2676759,1192788,44.56
20,68,ALBERTDAVD,EQ,8751,4718,53.91
20,69,ALEMBICLTD,EQ,139568,65661,47.05
20,70,ALICON,EQ,10695,6263,58.56
20,71,ALKALI,EQ,33564,19139,57.02
20,72,ALKEM,EQ,51978,21859,42.05
20,73,ALKYLAMINE,EQ,42953,24631,57.34
20,74,ALLCARGO,EQ,610255,195875,32.10
20,75,ALLSEC,EQ,5199,3041,58.49
20,76,ALMONDZ,EQ,56392,37859,67.14
20,77,ALOKINDS,EQ,7522820,3306137,43.95
20,78,ALPA,EQ,29988,18144,60.50
20,79,ALPHAGEO,EQ,61037,10156,16.64
20,80,AMARAJABAT,EQ,846500,326550,38.58
20,81,AMBANIORG,SM,4000,2000,50.00
20,82,AMBER,EQ,47096,16482,35.00
20,83,AMBICAAGAR,EQ,13798,8983,65.10
20,84,AMBIKCO,EQ,26309,10134,38.52
20,85,AMBUJACEM,EQ,5253226,2752368,52.39
20,86,AMDIND,EQ,52075,35038,67.28
20,87,AMIORG,EQ,309401,142450,46.04
20,88,AMJLAND,EQ,39427,22066,55.97
20,89,AMRUTANJAN,EQ,126448,39239,31.03
20,90,ANDHRACEMT,EQ,548016,459987,83.94
20,91,ANDHRAPAP,EQ,17189,11483,66.80
20,92,ANDHRSUGAR,EQ,90565,44769,49.43
20,93,ANDREWYU,EQ,139864,82817,59.21
20,94,ANGELBRKG,EQ,568048,209476,36.88
20,95,ANIKINDS,EQ,18661,13053,69.95
20,96,ANKITMETAL,EQ,1788758,1021220,57.09
20,97,ANMOL,EQ,50127,14936,29.80
20,98,ANSALAPI,EQ,565480,352855,62.40
20,99,ANSALHSG,EQ,120367,64943,53.95
20,100,ANUP,EQ,12045,6626,55.01
20,101,ANURAS,EQ,38762,23094,59.58
20,102,APARINDS,EQ,54595,25506,46.72
20,103,APCL,EQ,17288,11145,64.47
20,104,APCOTEXIND,EQ,159748,65502,41.00
20,105,APEX,EQ,111774,41768,37.37
20,106,APLAPOLLO,EQ,382870,272776,71.25
20,107,APLLTD,EQ,182031,62078,34.10
20,108,APOLLO,EQ,122130,56923,46.61
20,109,APOLLOHOSP,EQ,347114,128572,37.04
20,110,APOLLOPIPE,EQ,145740,39303,26.97
20,111,APOLLOTYRE,EQ,4081606,1197423,29.34
20,112,APOLSINHOT,EQ,3869,3128,80.85
20,113,APTECHT,EQ,371513,128184,34.50
20,114,APTUS,EQ,219950,113978,51.82
20,115,ARCHIDPLY,EQ,23289,17593,75.54
20,116,ARCHIES,EQ,54657,42937,78.56
20,117,ARENTERP,EQ,2793,2441,87.40
20,118,ARIES,EQ,53012,30941,58.37
20,119,ARIHANT,EQ,117335,82654,70.44
20,120,ARIHANTCAP,EQ,44267,24900,56.25
20,121,ARIHANTSUP,EQ,349005,175985,50.42
20,122,ARMANFIN,EQ,27582,4690,17.00
20,123,AROGRANITE,EQ,102421,67912,66.31
20,124,ARROWGREEN,EQ,42942,11114,25.88
20,125,ARSHIYA,EQ,255815,171640,67.10
20,126,ARSSINFRA,EQ,19060,12806,67.19
20,127,ARTEMISMED,EQ,44597,30561,68.53
20,128,ARTNIRMAN,EQ,13300,13300,100.00
20,129,ARVEE,EQ,259,14,5.41
20,130,ARVIND,EQ,3419878,962834,28.15
20,131,ARVINDFASN,EQ,332460,142878,42.98
20,132,ASAHIINDIA,EQ,29129,12208,41.91
20,133,ASAHISONG,EQ,11196,6815,60.87
20,134,ASAL,EQ,45765,27889,60.94
20,135,ASALCBR,EQ,152471,73670,48.32
20,136,ASCOM,SM,4000,4000,100.00
20,137,ASHAPURMIN,EQ,100711,75582,75.05
20,138,ASHIANA,EQ,133564,24324,18.21
20,139,ASHIMASYN,EQ,45382,30978,68.26
20,140,ASHOKA,EQ,1335098,508857,38.11
20,141,ASHOKLEY,EQ,19631189,6636225,33.80
20,142,ASIANHOTNR,EQ,7705,4905,63.66
20,143,ASIANPAINT,EQ,2855592,1329467,46.56
20,144,ASIANTILES,EQ,516631,265894,51.47
20,145,ASLIND,SM,4000,4000,100.00
20,146,ASPINWALL,EQ,7962,3189,40.05
20,147,ASTEC,EQ,8211,5021,61.15
20,148,ASTERDM,EQ,274596,84794,30.88
20,149,ASTRAL,EQ,328726,178019,54.15
20,150,ASTRAMICRO,EQ,311458,164396,52.78
20,151,ASTRAZEN,EQ,14393,5837,40.55
20,152,ASTRON,EQ,120459,80445,66.78
20,153,ATALREAL,SM,46400,9600,20.69
20,154,ATFL,EQ,23297,13447,57.72
20,155,ATLANTA,EQ,13096,9705,74.11
20,156,ATUL,EQ,46248,37153,80.33
20,157,ATULAUTO,EQ,178682,90568,50.69
20,158,AUBANK,EQ,1184713,342853,28.94
20,159,AURIONPRO,EQ,26003,16576,63.75
20,160,AUROPHARMA,EQ,1592318,638859,40.12
20,161,AURUM,EQ,128909,86914,67.42
20,162,AUSOMENT,EQ,4047,2125,52.51
20,163,AUTOAXLES,EQ,12347,5512,44.64
20,164,AUTOIND,EQ,34579,21902,63.34
20,165,AVADHSUGAR,EQ,58348,29452,50.48
20,166,AVANTIFEED,EQ,154103,71588,46.45
20,167,AVTNPL,EQ,181139,66083,36.48
20,168,AWHCL,EQ,362981,159937,44.06
20,169,AXISBANK,EQ,10646970,4864294,45.69
20,170,AXISBNKETF,EQ,1508,1257,83.36
20,171,AXISBPSETF,EQ,6943,6792,97.83
20,172,AXISCADES,EQ,192327,78787,40.97
20,173,AXISCETF,EQ,2818,1947,69.09
20,174,AXISGOLD,EQ,65597,56107,85.53
20,175,AXISHCETF,EQ,3079,2600,84.44
20,176,AXISNIFTY,EQ,4414,2465,55.85
20,177,AXISTECETF,EQ,8456,7081,83.74
20,178,AYMSYNTEX,EQ,51727,29418,56.87
20,179,BAFNAPH,EQ,3235,2019,62.41
20,180,BAJAJ-AUTO,EQ,408499,94894,23.23
20,181,BAJAJCON,EQ,554615,343809,61.99
20,182,BAJAJELEC,EQ,89237,33303,37.32
20,183,BAJAJFINSV,EQ,505330,87733,17.36
20,184,BAJAJHIND,EQ,3623325,2431284,67.10
