Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23022021,1022581417,0001844
Trade Date <23-FEB-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,51803,32980,63.66
20,2,21STCENMGM,EQ,1441,1327,92.09
20,3,3IINFOTECH,EQ,25501314,10391836,40.75
20,4,3MINDIA,EQ,4487,2290,51.04
20,5,3PLAND,EQ,9881,9362,94.75
20,6,5PAISA,EQ,34744,17316,49.84
20,7,622GS2035,GS,500,500,100.00
20,8,63MOONS,EQ,75930,54440,71.70
20,9,74GS2035,GS,6020,6020,100.00
20,10,824GS2027,GS,100,100,100.00
20,11,A2ZINFRA,EQ,153585,118699,77.29
20,12,AAATECH,SM,6000,6000,100.00
20,13,AARON,EQ,4887,3060,62.62
20,14,AARTIDRUGS,EQ,204805,91865,44.85
20,15,AARTIIND,EQ,272911,158545,58.09
20,16,AARTISURF,EQ,8901,6301,70.79
20,17,AARVEEDEN,EQ,11139,8360,75.05
20,18,AARVI,EQ,41856,34210,81.73
20,19,AAVAS,EQ,57665,29155,50.56
20,20,ABAN,EQ,572623,335938,58.67
20,21,ABB,EQ,86666,17500,20.19
20,22,ABBOTINDIA,EQ,11319,6955,61.45
20,23,ABCAPITAL,EQ,16631461,4354286,26.18
20,24,ABFRL,EQ,4514222,3315878,73.45
20,25,ABFRLPP1,E1,67782,64936,95.80
20,26,ABMINTLTD,EQ,2041,1878,92.01
20,27,ABSLBANETF,EQ,186,96,51.61
20,28,ABSLNN50ET,EQ,1,1,100.00
20,29,ABSLRIF6RG,MF,8204,8104,98.78
20,30,ACC,EQ,735863,127346,17.31
20,31,ACCELYA,EQ,2137,1371,64.16
20,32,ACCURACY,EQ,15967,13605,85.21
20,33,ACE,EQ,149598,63496,42.44
20,34,ACRYSIL,EQ,370799,218874,59.03
20,35,ADANIENT,EQ,9753081,795752,8.16
20,36,ADANIGREEN,EQ,5405934,3387856,62.67
20,37,ADANIPORTS,EQ,11247164,1350422,12.01
20,38,ADANIPOWER,EQ,5327401,2011590,37.76
20,39,ADANITRANS,EQ,812740,335978,41.34
20,40,ADFFOODS,EQ,169207,34227,20.23
20,41,ADHUNIKIND,EQ,24489,8741,35.69
20,42,ADORWELD,EQ,95382,71223,74.67
20,43,ADROITINFO,EQ,1456,1233,84.68
20,44,ADSL,EQ,1119160,385567,34.45
20,45,ADVANIHOTR,EQ,16918,14250,84.23
20,46,ADVENZYMES,EQ,424534,194762,45.88
20,47,AEGISCHEM,EQ,225837,134952,59.76
20,48,AFFLE,EQ,80414,51742,64.34
20,49,AGCNET,EQ,11536,9575,83.00
20,50,AGRITECH,EQ,10471,8652,82.63
20,51,AGROPHOS,EQ,28092,20380,72.55
20,52,AHLADA,EQ,7388,6821,92.33
20,53,AHLEAST,EQ,3037,1647,54.23
20,54,AHLUCONT,EQ,15922,10595,66.54
20,55,AHLWEST,EQ,8526,4696,55.08
20,56,AIAENG,EQ,42936,20676,48.16
20,57,AIRAN,EQ,86671,73334,84.61
20,58,AIROLAM,SM,21000,6000,28.57
20,59,AJANTPHARM,EQ,72913,30169,41.38
20,60,AJMERA,EQ,51372,18153,35.34
20,61,AKASH,EQ,28138,18212,64.72
20,62,AKG,EQ,10263,4859,47.34
20,63,AKSHARCHEM,EQ,22738,16662,73.28
20,64,AKSHOPTFBR,EQ,227840,163976,71.97
20,65,AKZOINDIA,EQ,42307,28740,67.93
20,66,ALANKIT,EQ,94047,71447,75.97
20,67,ALBERTDAVD,EQ,6458,4629,71.68
20,68,ALEMBICLTD,EQ,433131,155945,36.00
20,69,ALICON,EQ,9483,5955,62.80
20,70,ALKALI,EQ,10068,6343,63.00
20,71,ALKEM,EQ,100733,32672,32.43
20,72,ALKYLAMINE,EQ,18494,8864,47.93
20,73,ALLCARGO,EQ,364070,145959,40.09
20,74,ALLSEC,EQ,26065,9288,35.63
20,75,ALMONDZ,EQ,21937,19398,88.43
20,76,ALOKINDS,EQ,6027367,2909260,48.27
20,77,ALPA,EQ,33393,22193,66.46
20,78,ALPHAGEO,EQ,23347,10137,43.42
20,79,AMARAJABAT,EQ,1402291,369489,26.35
20,80,AMBER,EQ,65246,28016,42.94
20,81,AMBIKCO,EQ,6208,3624,58.38
20,82,AMBUJACEM,EQ,7106597,2583084,36.35
20,83,AMDIND,EQ,381221,173919,45.62
20,84,AMJLAND,EQ,7036,4450,63.25
20,85,AMRUTANJAN,EQ,58460,17558,30.03
20,86,ANANTRAJ,EQ,347936,241563,69.43
20,87,ANDHRACEMT,EQ,179288,127281,70.99
20,88,ANDHRAPAP,EQ,15423,7744,50.21
20,89,ANDHRSUGAR,EQ,95957,42254,44.03
20,90,ANGELBRKG,EQ,52867,25765,48.74
20,91,ANIKINDS,EQ,48849,38898,79.63
20,92,ANKITMETAL,EQ,59365,46241,77.89
20,93,ANSALAPI,EQ,51606,49270,95.47
20,94,ANSALHSG,EQ,93679,67289,71.83
20,95,ANUP,EQ,26730,7762,29.04
20,96,APARINDS,EQ,92680,45999,49.63
20,97,APCL,EQ,20135,12018,59.69
20,98,APCOTEXIND,EQ,71744,21425,29.86
20,99,APEX,EQ,27264,13023,47.77
20,100,APLAPOLLO,EQ,209052,131845,63.07
