Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,26032021,1033651253,0001816
Trade Date <26-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,37471,23704,63.26
20,2,21STCENMGM,EQ,2501,2328,93.08
20,3,3IINFOTECH,EQ,8698132,5182769,59.58
20,4,3MINDIA,EQ,12380,5980,48.30
20,5,3PLAND,EQ,977,683,69.91
20,6,5PAISA,EQ,34031,18688,54.91
20,7,63MOONS,EQ,48875,31495,64.44
20,8,667GS2050,GS,400,400,100.00
20,9,716GS2050,GS,100,100,100.00
20,10,A2ZINFRA,EQ,1011899,885235,87.48
20,11,AAATECH,SM,39000,36000,92.31
20,12,AARON,EQ,3009,2700,89.73
20,13,AARTIDRUGS,EQ,499849,157005,31.41
20,14,AARTIIND,EQ,360493,98066,27.20
20,15,AARTISURF,EQ,9400,3650,38.83
20,16,AARVEEDEN,EQ,30257,10837,35.82
20,17,AARVI,EQ,4317,4093,94.81
20,18,AAVAS,EQ,72125,36866,51.11
20,19,ABAN,EQ,157186,109019,69.36
20,20,ABB,EQ,175036,71280,40.72
20,21,ABBOTINDIA,EQ,13174,7321,55.57
20,22,ABCAPITAL,EQ,3692542,1351036,36.59
20,23,ABFRL,EQ,2813581,549085,19.52
20,24,ABFRLPP1,E1,19577,18323,93.59
20,25,ABMINTLTD,EQ,141,141,100.00
20,26,ABSLBANETF,EQ,93,74,79.57
20,27,ABSLNN50ET,EQ,191,162,84.82
20,28,ACC,EQ,572651,114753,20.04
20,29,ACCELYA,EQ,4044,2753,68.08
20,30,ACCURACY,EQ,7090,5315,74.96
20,31,ACE,EQ,407632,233944,57.39
20,32,ACRYSIL,EQ,227361,124025,54.55
20,33,ADANIENT,EQ,9396506,1264463,13.46
20,34,ADANIGREEN,EQ,436902,194622,44.55
20,35,ADANIPORTS,EQ,12350673,1209122,9.79
20,36,ADANIPOWER,EQ,28056328,12318648,43.91
20,37,ADANITRANS,EQ,1472044,813193,55.24
20,38,ADFFOODS,EQ,34723,13270,38.22
20,39,ADHUNIKIND,EQ,8862,7023,79.25
20,40,ADORWELD,EQ,4419,2943,66.60
20,41,ADSL,EQ,109647,69655,63.53
20,42,ADVANIHOTR,EQ,9092,6863,75.48
20,43,ADVENZYMES,EQ,218566,147602,67.53
20,44,AEGISCHEM,EQ,367802,190886,51.90
20,45,AFFLE,EQ,53410,26610,49.82
20,46,AGCNET,EQ,19716,11939,60.55
20,47,AGRITECH,EQ,6578,3695,56.17
20,48,AGROPHOS,EQ,27105,25534,94.20
20,49,AHLADA,EQ,32673,21573,66.03
20,50,AHLEAST,EQ,2945,2431,82.55
20,51,AHLUCONT,EQ,19552,8585,43.91
20,52,AHLWEST,EQ,15407,6692,43.43
20,53,AIAENG,EQ,54745,36955,67.50
20,54,AIRAN,EQ,71121,42992,60.45
20,55,AISL,SM,28800,6000,20.83
20,56,AJANTPHARM,EQ,179004,116598,65.14
20,57,AJMERA,EQ,184693,48982,26.52
20,58,AKASH,EQ,63048,60330,95.69
20,59,AKG,EQ,239,239,100.00
20,60,AKSHARCHEM,EQ,10447,7485,71.65
20,61,AKSHOPTFBR,EQ,329146,253845,77.12
20,62,AKZOINDIA,EQ,45514,37251,81.85
20,63,ALANKIT,EQ,141118,117477,83.25
20,64,ALBERTDAVD,EQ,7124,5880,82.54
20,65,ALEMBICLTD,EQ,999398,357690,35.79
20,66,ALICON,EQ,74678,40051,53.63
20,67,ALKALI,EQ,9296,7306,78.59
20,68,ALKEM,EQ,89771,33121,36.89
20,69,ALKYLAMINE,EQ,66186,14111,21.32
20,70,ALLCARGO,EQ,276485,157349,56.91
20,71,ALLSEC,EQ,14577,7740,53.10
20,72,ALMONDZ,EQ,5626,4368,77.64
