Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28012021,976510646,0001726
Trade Date <28-JAN-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,59142,42124,71.23
20,2,21STCENMGM,EQ,3220,3117,96.80
20,3,3IINFOTECH,EQ,40111945,21242024,52.96
20,4,3MINDIA,EQ,12175,8124,66.73
20,5,3PLAND,EQ,8783,7032,80.06
20,6,5PAISA,EQ,20084,11103,55.28
20,7,622GS2035,GS,100,100,100.00
20,8,68GS2060,GS,100,100,100.00
20,9,716GS2050,GS,10,10,100.00
20,10,757GS2033,GS,20,20,100.00
20,11,772GS2055,GS,196,98,50.00
20,12,A2ZINFRA,EQ,198032,100922,50.96
20,13,AAATECH,SM,12000,9000,75.00
20,14,AAKASH,EQ,33563,13858,41.29
20,15,AARON,EQ,894,471,52.68
20,16,AARTIDRUGS,EQ,260083,83480,32.10
20,17,AARTIIND,EQ,404772,179411,44.32
20,18,AARTISURF,EQ,6523,3935,60.33
20,19,AARVI,EQ,6876,5605,81.52
20,20,AAVAS,EQ,46482,20766,44.68
20,21,ABB,EQ,235173,119910,50.99
20,22,ABBOTINDIA,EQ,9956,4857,48.78
20,23,ABCAPITAL,EQ,2076009,508881,24.51
20,24,ABFRL,EQ,7360278,3184540,43.27
20,25,ABINFRA,SM,4000,4000,100.00
20,26,ABSLBANETF,EQ,583,392,67.24
20,27,ABSLNN50ET,EQ,103,75,72.82
20,28,ACC,EQ,584432,134066,22.94
20,29,ACCELYA,EQ,2321,1349,58.12
20,30,ACCURACY,EQ,38468,35506,92.30
20,31,ACE,EQ,238466,131539,55.16
20,32,ACRYSIL,EQ,30899,22082,71.47
20,33,ADANIENT,EQ,4197516,304429,7.25
20,34,ADANIGREEN,EQ,273105,154092,56.42
20,35,ADANIPORTS,EQ,5707393,936612,16.41
20,36,ADANIPOWER,EQ,2826359,1567862,55.47
20,37,ADANITRANS,EQ,522871,123090,23.54
20,38,ADFFOODS,EQ,77714,41597,53.53
20,39,ADORWELD,EQ,5661,3556,62.82
20,40,ADSL,EQ,88675,54710,61.70
20,41,ADVENZYMES,EQ,139463,35071,25.15
20,42,AEGISCHEM,EQ,243462,152133,62.49
20,43,AFFLE,EQ,46778,19832,42.40
20,44,AGARIND,EQ,10915,7177,65.75
20,45,AGROPHOS,EQ,88724,55932,63.04
20,46,AHLADA,EQ,14783,12622,85.38
20,47,AHLEAST,EQ,324,220,67.90
20,48,AHLUCONT,EQ,33454,12069,36.08
20,49,AHLWEST,EQ,1133,511,45.10
20,50,AIAENG,EQ,184508,171287,92.83
20,51,AIRAN,EQ,33457,20444,61.11
20,52,AISL,SM,1200,1200,100.00
20,53,AJANTPHARM,EQ,83276,32660,39.22
20,54,AJMERA,EQ,34127,14255,41.77
20,55,AJOONI,SM,40000,28000,70.00
20,56,AKASH,EQ,1672,1218,72.85
20,57,AKG,SM,25600,6400,25.00
20,58,AKSHARCHEM,EQ,13387,5298,39.58
20,59,AKSHOPTFBR,EQ,397229,200024,50.35
20,60,AKZOINDIA,EQ,13940,6228,44.68
20,61,ALANKIT,EQ,51694,38299,74.09
20,62,ALBERTDAVD,EQ,3964,2380,60.04
20,63,ALEMBICLTD,EQ,803587,712922,88.72
20,64,ALICON,EQ,9680,3604,37.23
20,65,ALKALI,EQ,39778,19021,47.82
20,66,ALKEM,EQ,83689,59416,71.00
20,67,ALKYLAMINE,EQ,52288,14979,28.65
20,68,ALLCARGO,EQ,117751,61165,51.94
20,69,ALLSEC,EQ,183904,102759,55.88
20,70,ALMONDZ,EQ,1520,1320,86.84
20,71,ALOKINDS,EQ,6730443,2242117,33.31
20,72,AMARAJABAT,EQ,616244,84740,13.75
20,73,AMBANIORG,SM,2000,2000,100.00
20,74,AMBER,EQ,228112,80840,35.44
20,75,AMBIKCO,EQ,21537,9966,46.27
20,76,AMBUJACEM,EQ,9545181,4335605,45.42
20,77,AMDIND,EQ,6828,3870,56.68
20,78,AMJLAND,EQ,31211,16742,53.64
20,79,AMRUTANJAN,EQ,55723,28231,50.66
20,80,ANANTRAJ,EQ,1216638,698288,57.39
20,81,ANDHRACEMT,EQ,214934,138941,64.64
20,82,ANDHRAPAP,EQ,20450,12082,59.08
20,83,ANDHRSUGAR,EQ,13406,6397,47.72
20,84,ANGELBRKG,EQ,109703,50567,46.09
20,85,ANSALHSG,EQ,37182,25717,69.17
20,86,ANUP,EQ,19085,4327,22.67
20,87,APARINDS,EQ,24948,14836,59.47
20,88,APCL,EQ,18872,10076,53.39
20,89,APCOTEXIND,EQ,596776,202208,33.88
20,90,APEX,EQ,42998,20362,47.36
20,91,APLAPOLLO,EQ,203510,127412,62.61
20,92,APLLTD,EQ,351632,176167,50.10
20,93,APOLLO,EQ,123296,63533,51.53
20,94,APOLLOHOSP,EQ,1410605,437211,30.99
20,95,APOLLOPIPE,EQ,23656,13066,55.23
20,96,APOLLOTYRE,EQ,21792316,1046154,4.80
20,97,APOLSINHOT,EQ,1052,871,82.79
20,98,APTECHT,EQ,1013849,249258,24.59
20,99,ARCHIES,EQ,19992,17790,88.99
20,100,ARENTERP,EQ,1030,570,55.34
20,101,ARIES,EQ,86880,23114,26.60
20,102,ARIHANT,EQ,3448,2851,82.69
20,103,ARIHANTSUP,EQ,22003,8995,40.88
20,104,ARMANFIN,EQ,5283,2816,53.30
20,105,AROGRANITE,EQ,21045,16742,79.55
20,106,ARROWGREEN,EQ,1555,1078,69.32
20,107,ARSHIYA,EQ,45326,31774,70.10
20,108,ARSSINFRA,EQ,19932,11614,58.27
20,109,ARVIND,EQ,4398234,1186909,26.99
20,110,ARVINDFASN,EQ,332104,209297,63.02
20,111,ARVSMART,EQ,327700,87861,26.81
20,112,ASAHIINDIA,EQ,24324,12141,49.91
20,113,ASAHISONG,EQ,117629,42132,35.82
20,114,ASAL,EQ,1933,1833,94.83
20,115,ASALCBR,EQ,36306,21706,59.79
20,116,ASHAPURMIN,EQ,167237,118749,71.01
20,117,ASHIANA,EQ,72955,39369,53.96
20,118,ASHOKA,EQ,764021,211522,27.69
20,119,ASHOKLEY,EQ,28408272,4109342,14.47
20,120,ASIANHOTNR,EQ,9785,7566,77.32
20,121,ASIANPAINT,EQ,3035457,1208523,39.81
20,122,ASIANTILES,EQ,249295,90120,36.15
20,123,ASPINWALL,EQ,1405,1039,73.95
20,124,ASTEC,EQ,80160,36821,45.93
20,125,ASTERDM,EQ,58331,28258,48.44
20,126,ASTRAL,EQ,168892,56578,33.50
20,127,ASTRAMICRO,EQ,246771,107133,43.41
20,128,ASTRAZEN,EQ,37524,8862,23.62
20,129,ASTRON,EQ,24306,14689,60.43
20,130,ATFL,EQ,4109,2107,51.28
20,131,ATGL,EQ,1133260,741179,65.40
20,132,ATLANTA,EQ,32191,25739,79.96
20,133,ATUL,EQ,28275,16374,57.91
20,134,ATULAUTO,EQ,58157,30843,53.03
20,135,AUBANK,EQ,306074,149815,48.95
20,136,AURIONPRO,EQ,15559,9268,59.57
20,137,AUROPHARMA,EQ,3202739,938497,29.30
20,138,AUSOMENT,EQ,2146,1300,60.58
20,139,AUTOAXLES,EQ,9262,5054,54.57
20,140,AUTOIND,EQ,8636,5105,59.11
20,141,AVADHSUGAR,EQ,32527,15923,48.95
20,142,AVANTIFEED,EQ,108902,41164,37.80
20,143,AVTNPL,EQ,144799,68329,47.19
20,144,AWHCL,EQ,160550,58515,36.45
20,145,AXISBANK,EQ,64303975,18643969,28.99
20,146,AXISBNKETF,EQ,2072,1368,66.02
20,147,AXISCADES,EQ,12864,8397,65.28
20,148,AXISGOLD,EQ,66095,50259,76.04
20,149,AXISNIFTY,EQ,18768,14986,79.85
20,150,BAJAJ-AUTO,EQ,1262871,283560,22.45
20,151,BAJAJCON,EQ,573732,388570,67.73
20,152,BAJAJELEC,EQ,292106,32000,10.95
20,153,BAJAJFINSV,EQ,844736,145264,17.20
20,154,BAJAJHIND,EQ,4119939,2511536,60.96
20,155,BAJAJHLDNG,EQ,63416,46264,72.95
20,156,BAJFINANCE,EQ,3477329,311608,8.96
20,157,BALAJITELE,EQ,83073,39742,47.84
20,158,BALAMINES,EQ,86659,22962,26.50
20,159,BALAXI,EQ,3234,2351,72.70
20,160,BALKRISIND,EQ,423243,125636,29.68
20,161,BALMLAWRIE,EQ,142318,54099,38.01
20,162,BALRAMCHIN,EQ,461424,216789,46.98
20,163,BANARBEADS,EQ,12232,6361,52.00
20,164,BANARISUG,EQ,374,285,76.20
20,165,BANCOINDIA,EQ,238274,71836,30.15
20,166,BANDHANBNK,EQ,18713452,6722861,35.93
20,167,BANG,EQ,13382,2804,20.95
20,168,BANKA,EQ,3602,2696,74.85
20,169,BANKBARODA,EQ,153754944,26562027,17.28
20,170,BANKBEES,EQ,2031707,1189280,58.54
20,171,BANKINDIA,EQ,3092605,526519,17.03
20,172,BANSWRAS,EQ,69914,33341,47.69
20,173,BASF,EQ,12974,7637,58.86
20,174,BATAINDIA,EQ,586400,73621,12.55
20,175,BAYERCROP,EQ,16858,7353,43.62
20,176,BBL,EQ,7387,3886,52.61
