Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31082021,915284356,0001804
Trade Date <31-AUG-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,44967,27414,60.96
20,2,21STCENMGM,EQ,563,563,100.00
20,3,3MINDIA,EQ,16209,4633,28.58
20,4,5PAISA,EQ,38288,15824,41.33
20,5,618GS2024,GS,500,500,100.00
20,6,63MOONS,EQ,35757,25921,72.49
20,7,664GS2035,GS,2700,2600,96.30
20,8,667GS2050,GS,11312,11312,100.00
20,9,676GS2061,GS,20,20,100.00
20,10,68GS2060,GS,505,505,100.00
20,11,719KL51,SG,1000,1000,100.00
20,12,75GS2034,GS,600,600,100.00
20,13,763GS2059,GS,20,20,100.00
20,14,772GS2055,GS,31,31,100.00
20,15,A2ZINFRA,EQ,375186,187754,50.04
20,16,AAKASH,EQ,106521,47212,44.32
20,17,AAREYDRUGS,EQ,28341,19632,69.27
20,18,AARON,EQ,7758,2530,32.61
20,19,AARTIDRUGS,EQ,192117,57659,30.01
20,20,AARTIIND,EQ,524749,250224,47.68
20,21,AARTISURF,EQ,7882,4578,58.08
20,22,AARVEEDEN,EQ,7159,5840,81.58
20,23,AARVI,EQ,34952,24131,69.04
20,24,AAVAS,EQ,122598,65346,53.30
20,25,ABAN,EQ,68302,34600,50.66
20,26,ABB,EQ,149686,68090,45.49
20,27,ABBOTINDIA,EQ,7133,3285,46.05
20,28,ABCAPITAL,EQ,1655331,683172,41.27
20,29,ABFRL,EQ,1472771,574375,39.00
20,30,ABINFRA,SM,12000,8000,66.67
20,31,ABSLBANETF,EQ,125,98,78.40
20,32,ABSLNN50ET,EQ,671,579,86.29
20,33,ABSLRIF6RG,MF,5501,5501,100.00
20,34,ACC,EQ,580467,243420,41.94
20,35,ACCELYA,EQ,29605,14200,47.96
20,36,ACCURACY,EQ,133562,41795,31.29
20,37,ACE,EQ,2850867,753913,26.45
20,38,ACRYSIL,EQ,238140,108985,45.77
20,39,ADANIENT,EQ,7234384,1966642,27.18
20,40,ADANIPORTS,EQ,15419587,3890027,25.23
20,41,ADFFOODS,EQ,9522,6627,69.60
20,42,ADORWELD,EQ,9971,6257,62.75
20,43,ADSL,EQ,549315,284011,51.70
20,44,ADVANIHOTR,EQ,21880,15168,69.32
20,45,ADVENZYMES,EQ,258595,107003,41.38
20,46,AEGISCHEM,EQ,448466,240472,53.62
20,47,AGARIND,EQ,28789,18456,64.11
20,48,AGRITECH,EQ,11190,4400,39.32
20,49,AGROPHOS,EQ,32294,20172,62.46
20,50,AHLADA,EQ,22027,16979,77.08
20,51,AHLEAST,EQ,2867,1958,68.29
20,52,AHLUCONT,EQ,23517,11156,47.44
20,53,AHLWEST,EQ,476,332,69.75
20,54,AIAENG,EQ,119019,67277,56.53
20,55,AILIMITED,SM,9000,9000,100.00
20,56,AIROLAM,SM,66000,57000,86.36
20,57,AISL,SM,20400,1200,5.88
20,58,AJANTPHARM,EQ,106173,78630,74.06
20,59,AJOONI,EQ,79298,47840,60.33
20,60,AKASH,EQ,76877,32243,41.94
20,61,AKG,EQ,15745,4197,26.66
20,62,AKSHARCHEM,EQ,23565,9478,40.22
20,63,AKZOINDIA,EQ,60639,55672,91.81
20,64,ALANKIT,EQ,1089265,685138,62.90
20,65,ALBERTDAVD,EQ,11124,5530,49.71
20,66,ALEMBICLTD,EQ,166194,70542,42.45
20,67,ALICON,EQ,26985,13011,48.22
20,68,ALKALI,EQ,16492,10924,66.24
20,69,ALKEM,EQ,90295,48368,53.57
20,70,ALKYLAMINE,EQ,146119,81028,55.45
20,71,ALLCARGO,EQ,787817,278496,35.35
20,72,ALLSEC,EQ,14101,10924,77.47
20,73,ALMONDZ,EQ,15448,11022,71.35
20,74,ALOKINDS,EQ,3502513,1764436,50.38
20,75,ALPA,EQ,12874,8680,67.42
20,76,ALPHAGEO,EQ,25357,13274,52.35
20,77,AMARAJABAT,EQ,1122577,471758,42.02
20,78,AMBANIORG,SM,2000,2000,100.00
20,79,AMBER,EQ,20587,13465,65.41
20,80,AMBICAAGAR,EQ,9155,5123,55.96
20,81,AMBIKCO,EQ,15730,7721,49.08
20,82,AMBUJACEM,EQ,6342929,3932713,62.00
20,83,AMDIND,EQ,11836,8639,72.99
20,84,AMJLAND,EQ,37189,20515,55.16
20,85,AMRUTANJAN,EQ,28012,12126,43.29
20,86,ANDHRAPAP,EQ,16134,8812,54.62
20,87,ANDHRSUGAR,EQ,31481,14321,45.49
20,88,ANDREWYU,EQ,133359,84422,63.30
20,89,ANGELBRKG,EQ,434719,202397,46.56
20,90,ANIKINDS,EQ,33019,23854,72.24
20,91,ANMOL,EQ,76162,38532,50.59
20,92,ANSALAPI,EQ,140805,103734,73.67
20,93,ANSALHSG,EQ,78091,66388,85.01
20,94,ANUP,EQ,51877,35755,68.92
20,95,ANURAS,EQ,97745,39477,40.39
20,96,APARINDS,EQ,114998,38565,33.54
20,97,APCL,EQ,31360,19440,61.99
20,98,APCOTEXIND,EQ,232315,94839,40.82
20,99,APEX,EQ,93127,46521,49.95
20,100,APLAPOLLO,EQ,168735,114442,67.82
20,101,APLLTD,EQ,168262,84902,50.46
20,102,APOLLO,EQ,81599,48287,59.18
20,103,APOLLOHOSP,EQ,2883159,588537,20.41
20,104,APOLLOPIPE,EQ,24081,14255,59.20
20,105,APOLLOTYRE,EQ,3204602,1023132,31.93
20,106,APOLSINHOT,EQ,1629,616,37.81
20,107,APTECHT,EQ,3315219,534424,16.12
20,108,APTUS,EQ,5823315,3103509,53.29
20,109,ARCHIDPLY,EQ,7605,3382,44.47
20,110,ARENTERP,EQ,5141,5134,99.86
20,111,ARIES,EQ,105461,55586,52.71
20,112,ARIHANT,EQ,14621,5517,37.73
20,113,ARIHANTCAP,EQ,54206,26550,48.98
20,114,ARIHANTSUP,EQ,98773,41859,42.38
20,115,ARMANFIN,EQ,7698,4256,55.29
20,116,AROGRANITE,EQ,38237,20090,52.54
20,117,ARROWGREEN,EQ,12284,7527,61.27
20,118,ARSHIYA,EQ,23413,11538,49.28
20,119,ARSSINFRA,EQ,29732,18850,63.40
20,120,ARTEMISMED,EQ,4959,4451,89.76
20,121,ARVIND,EQ,650667,395484,60.78
20,122,ARVINDFASN,EQ,1394230,428862,30.76
20,123,ARVSMART,EQ,39306,24276,61.76
20,124,ASAHIINDIA,EQ,106420,66481,62.47
20,125,ASAHISONG,EQ,14674,8950,60.99
20,126,ASALCBR,EQ,25038,12285,49.07
20,127,ASHIANA,EQ,61509,24266,39.45
20,128,ASHIMASYN,EQ,42203,41342,97.96
20,129,ASHOKA,EQ,817273,247122,30.24
20,130,ASHOKLEY,EQ,20046747,6926518,34.55
20,131,ASIANHOTNR,EQ,5834,4232,72.54
20,132,ASIANPAINT,EQ,2283290,1262306,55.28
20,133,ASIANTILES,EQ,345681,173962,50.32
20,134,ASPINWALL,EQ,7261,3526,48.56
20,135,ASTEC,EQ,8192,4452,54.35
20,136,ASTERDM,EQ,9239178,1011830,10.95
20,137,ASTRAL,EQ,368007,219556,59.66
20,138,ASTRAMICRO,EQ,217608,111502,51.24
20,139,ASTRAZEN,EQ,8569,3978,46.42
20,140,ASTRON,EQ,79023,38810,49.11
20,141,ATALREAL,SM,9600,8000,83.33
20,142,ATFL,EQ,6383,3310,51.86
20,143,ATUL,EQ,33149,21396,64.54
20,144,ATULAUTO,EQ,92835,30770,33.14
20,145,AUBANK,EQ,13040293,2539690,19.48
20,146,AURDIS,SM,30000,26000,86.67
20,147,AUROPHARMA,EQ,3877654,1839776,47.45
20,148,AUTOAXLES,EQ,24336,9291,38.18
20,149,AUTOIND,EQ,36880,26272,71.24
20,150,AVADHSUGAR,EQ,41577,15520,37.33
20,151,AVANTIFEED,EQ,165137,58352,35.34
20,152,AVG,SM,1200,1200,100.00
20,153,AVROIND,SM,8000,6000,75.00
20,154,AVTNPL,EQ,265293,120990,45.61
20,155,AWHCL,EQ,115349,50800,44.04
20,156,AXISBANK,EQ,12114870,5898115,48.68
20,157,AXISBNKETF,EQ,398,322,80.90
20,158,AXISBPSETF,EQ,4857785,4857171,99.99
20,159,AXISCADES,EQ,37736,23641,62.65
20,160,AXISGOLD,EQ,73881,51715,70.00
20,161,AXISHCETF,EQ,30776,28134,91.42
20,162,AXISNIFTY,EQ,4449,3748,84.24
20,163,AXISTECETF,EQ,2920,1753,60.03
20,164,AYMSYNTEX,EQ,30848,18097,58.67
20,165,BAFNAPH,EQ,2385,2054,86.12
20,166,BAGFILMS,EQ,294981,206454,69.99
20,167,BAJAJ-AUTO,EQ,693952,425790,61.36
20,168,BAJAJCON,EQ,667741,332594,49.81
20,169,BAJAJELEC,EQ,194934,60218,30.89
20,170,BAJAJFINSV,EQ,652127,141074,21.63
20,171,BAJAJHLDNG,EQ,47450,23026,48.53
20,172,BAJFINANCE,EQ,2946438,991013,33.63
20,173,BALAJITELE,EQ,320191,82422,25.74
20,174,BALAMINES,EQ,106898,42904,40.14
20,175,BALAXI,EQ,879,316,35.95
20,176,BALKRISIND,EQ,479245,229938,47.98
20,177,BALMLAWRIE,EQ,475636,160253,33.69
20,178,BALPHARMA,EQ,254932,115546,45.32
20,179,BALRAMCHIN,EQ,708813,304198,42.92
20,180,BANARBEADS,EQ,9839,6954,70.68
20,181,BANARISUG,EQ,1299,755,58.12
20,182,BANCOINDIA,EQ,1042719,345149,33.10
20,183,BANDHANBNK,EQ,6756768,2399259,35.51
20,184,BANKA,EQ,3674,3082,83.89
20,185,BANKBARODA,EQ,26501208,4931091,18.61
20,186,BANKBEES,EQ,631973,256322,40.56
20,187,BANKINDIA,EQ,3740761,1029325,27.52
20,188,BANSWRAS,EQ,21026,16701,79.43
20,189,BARBEQUE,EQ,348283,59344,17.04
20,190,BASF,EQ,138250,47989,34.71
