Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,06072021,1304431635,0001752
Trade Date <06-JUL-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,345452,171833,49.74
20,2,21STCENMGM,EQ,1468,1468,100.00
20,3,3MINDIA,EQ,6148,3510,57.09
20,4,3PLAND,EQ,26344,19729,74.89
20,5,5PAISA,EQ,81896,37386,45.65
20,6,664GS2035,GS,6,6,100.00
20,7,667GS2050,GS,20290,20290,100.00
20,8,726GS2029,GS,1100,1100,100.00
20,9,772GS2055,GS,10,10,100.00
20,10,AAATECH,SM,6000,6000,100.00
20,11,AAKASH,EQ,101278,47501,46.90
20,12,AARTIDRUGS,EQ,420926,165385,39.29
20,13,AARTIIND,EQ,1170592,595974,50.91
20,14,AARTISURF,EQ,18020,12485,69.28
20,15,AARVI,EQ,292971,182186,62.19
20,16,AAVAS,EQ,385568,73512,19.07
20,17,ABB,EQ,76698,34250,44.66
20,18,ABBOTINDIA,EQ,20820,11895,57.13
20,19,ABCAPITAL,EQ,1942513,748905,38.55
20,20,ABFRL,EQ,2585579,1566476,60.59
20,21,ABMINTLTD,EQ,3025,1761,58.21
20,22,ABSLBANETF,EQ,372,264,70.97
20,23,ABSLNN50ET,EQ,2553,1396,54.68
20,24,ABSLRIF6RG,MF,3899,3899,100.00
20,25,ACC,EQ,1171831,314069,26.80
20,26,ACCELYA,EQ,598999,148959,24.87
20,27,ACCURACY,EQ,16452,7488,45.51
20,28,ACE,EQ,748977,319072,42.60
20,29,ACRYSIL,EQ,47456,29653,62.49
20,30,ADANIENT,EQ,9485434,422624,4.46
20,31,ADANIPORTS,EQ,14580124,1615386,11.08
20,32,ADFFOODS,EQ,36898,17339,46.99
20,33,ADORWELD,EQ,38913,24644,63.33
20,34,ADROITINFO,EQ,74398,63937,85.94
20,35,ADSL,EQ,567447,328096,57.82
20,36,ADVANIHOTR,EQ,32650,16345,50.06
20,37,ADVENZYMES,EQ,283429,122141,43.09
20,38,AEGISCHEM,EQ,280885,153655,54.70
20,39,AGARIND,EQ,32863,24252,73.80
