Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,12052021,1834357641,0001931
Trade Date <12-MAY-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,5,5,100.00
20,2,20MICRONS,EQ,758796,358756,47.28
20,3,21STCENMGM,EQ,1034,1034,100.00
20,4,3IINFOTECH,EQ,43295134,22457165,51.87
20,5,3MINDIA,EQ,2246,853,37.98
20,6,3PLAND,EQ,65513,36258,55.34
20,7,5PAISA,EQ,20274,12957,63.91
20,8,716GS2050,GS,99,99,100.00
20,9,74GS2035,GS,140,140,100.00
20,10,75GS2034,GS,80,80,100.00
20,11,763GS2059,GS,12,12,100.00
20,12,772GS2049,GS,10,10,100.00
20,13,824GS2027,GS,30,30,100.00
20,14,A2ZINFRA,EQ,3267159,2375690,72.71
20,15,AAKASH,EQ,33186,6733,20.29
20,16,AARON,EQ,48099,32722,68.03
20,17,AARTIDRUGS,EQ,685941,161994,23.62
20,18,AARTIIND,EQ,509567,102615,20.14
20,19,AARTISURF,EQ,20030,11331,56.57
20,20,AARVI,EQ,38157,25761,67.51
20,21,AAVAS,EQ,151457,115409,76.20
20,22,ABAN,EQ,275487,179854,65.29
20,23,ABB,EQ,603531,232179,38.47
20,24,ABBOTINDIA,EQ,15023,9738,64.82
20,25,ABCAPITAL,EQ,2806739,863770,30.77
20,26,ABFRL,EQ,2327380,957208,41.13
20,27,ABFRLPP1,E1,7855,5418,68.98
20,28,ABMINTLTD,EQ,470,470,100.00
20,29,ABSLBANETF,EQ,142,115,80.99
20,30,ABSLNN50ET,EQ,22,9,40.91
20,31,ABSLRIF6RG,MF,4557,4557,100.00
20,32,ABSLRIF7RG,MF,100,100,100.00
20,33,ACC,EQ,464947,102613,22.07
20,34,ACCELYA,EQ,3233,1579,48.84
20,35,ACCURACY,EQ,10320,6078,58.90
20,36,ACE,EQ,151893,85380,56.21
20,37,ACRYSIL,EQ,138559,114182,82.41
20,38,ADANIENT,EQ,4143731,1021021,24.64
