Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,13092021,845393285,0001843
Trade Date <13-SEP-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,1,1,100.00
20,2,20MICRONS,EQ,43228,27670,64.01
20,3,21STCENMGM,EQ,4189,4189,100.00
20,4,3MINDIA,EQ,18216,14248,78.22
20,5,5PAISA,EQ,30727,19038,61.96
20,6,63MOONS,EQ,38046,22717,59.71
20,7,667GS2050,GS,6031,5931,98.34
20,8,676GS2061,GS,20201,20201,100.00
20,9,719GS2060,GS,101,101,100.00
20,10,719KL51,SG,500,500,100.00
20,11,759GS2026,GS,7100,7100,100.00
20,12,772GS2055,GS,240,240,100.00
20,13,A2ZINFRA,EQ,239661,167283,69.80
20,14,AAATECH,SM,36000,30000,83.33
20,15,AAKASH,EQ,73235,41912,57.23
20,16,AAREYDRUGS,EQ,39091,31524,80.64
20,17,AARON,EQ,14430,8855,61.37
20,18,AARTIDRUGS,EQ,109399,57172,52.26
20,19,AARTIIND,EQ,948160,469069,49.47
20,20,AARTISURF,EQ,8759,4685,53.49
20,21,AARVEEDEN,EQ,17067,12762,74.78
20,22,AARVI,EQ,13211,7457,56.45
20,23,AAVAS,EQ,91785,46602,50.77
20,24,ABAN,EQ,190415,79611,41.81
20,25,ABB,EQ,80818,49002,60.63
20,26,ABBOTINDIA,EQ,50871,18059,35.50
20,27,ABCAPITAL,EQ,1540182,677647,44.00
20,28,ABFRL,EQ,2008026,704424,35.08
20,29,ABSLBANETF,EQ,112,101,90.18
20,30,ABSLNN50ET,EQ,1371,1014,73.96
20,31,ACC,EQ,265232,104276,39.32
20,32,ACCELYA,EQ,17410,7615,43.74
20,33,ACCORD,SM,2000,2000,100.00
20,34,ACCURACY,EQ,52382,32689,62.41
20,35,ACE,EQ,10056722,1467827,14.60
20,36,ACRYSIL,EQ,44249,28987,65.51
20,37,ADANIENT,EQ,1759456,580307,32.98
20,38,ADANIGREEN,EQ,713024,434933,61.00
20,39,ADANIPORTS,EQ,2514604,576681,22.93
20,40,ADANITRANS,EQ,1980397,1300612,65.67
20,41,ADFFOODS,EQ,40151,29864,74.38
20,42,ADORWELD,EQ,7059,4048,57.35
20,43,ADSL,EQ,670236,364582,54.40
20,44,ADVANIHOTR,EQ,34180,22119,64.71
20,45,ADVENZYMES,EQ,5716457,670929,11.74
20,46,AEGISCHEM,EQ,2533134,1164188,45.96
20,47,AFFLE,EQ,86499,55143,63.75
20,48,AGARIND,EQ,8526,6551,76.84
20,49,AGRITECH,EQ,8170,8170,100.00
20,50,AGROPHOS,EQ,30750,23203,75.46
20,51,AHLADA,EQ,48431,32593,67.30
20,52,AHLEAST,EQ,8713,4488,51.51
