Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17022021,1161586086,0001854
Trade Date <17-FEB-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,113109,76709,67.82
20,2,21STCENMGM,EQ,6511,4784,73.48
20,3,3IINFOTECH,EQ,3979040,2408311,60.52
20,4,3MINDIA,EQ,10730,6483,60.42
20,5,3PLAND,EQ,8225,4136,50.29
20,6,509GS2022,GS,1,1,100.00
20,7,5PAISA,EQ,30826,19554,63.43
20,8,619GS2034,GS,85,85,100.00
20,9,63MOONS,EQ,56684,31382,55.36
20,10,716GS2050,GS,68,68,100.00
20,11,726GS2029,GS,100,100,100.00
20,12,757GS2033,GS,40,40,100.00
20,13,772GS2049,GS,6,6,100.00
20,14,772GS2055,GS,253,253,100.00
20,15,A2ZINFRA,EQ,498575,331544,66.50
20,16,AAATECH,SM,3000,3000,100.00
20,17,AARON,EQ,6012,2621,43.60
20,18,AARTIDRUGS,EQ,309431,141874,45.85
20,19,AARTIIND,EQ,444083,167428,37.70
20,20,AARTISURF,EQ,9095,6045,66.47
20,21,AARVEEDEN,EQ,11910,8904,74.76
20,22,AARVI,EQ,1474,946,64.18
20,23,AAVAS,EQ,74782,37009,49.49
20,24,ABAN,EQ,210961,97803,46.36
20,25,ABB,EQ,93001,42427,45.62
20,26,ABBOTINDIA,EQ,16801,9799,58.32
20,27,ABCAPITAL,EQ,13781651,3858630,28.00
20,28,ABFRL,EQ,1141905,484205,42.40
20,29,ABFRLPP1,E1,104936,101384,96.62
20,30,ABINFRA,SM,12000,8000,66.67
20,31,ABMINTLTD,EQ,1498,1498,100.00
20,32,ABSLBANETF,EQ,156,55,35.26
20,33,ABSLNN50ET,EQ,49,42,85.71
20,34,ABSLRIF6RG,MF,600,600,100.00
20,35,ACC,EQ,860949,85928,9.98
20,36,ACCELYA,EQ,3526,2067,58.62
20,37,ACCURACY,EQ,28189,26795,95.05
20,38,ACE,EQ,247653,131272,53.01
20,39,ACRYSIL,EQ,120882,91134,75.39
20,40,ADANIENT,EQ,8908279,632464,7.10
20,41,ADANIGREEN,EQ,6145401,3458542,56.28
20,42,ADANIPORTS,EQ,34868085,6455210,18.51
20,43,ADANIPOWER,EQ,13374028,6456352,48.28
20,44,ADANITRANS,EQ,5757036,1077655,18.72
20,45,ADFFOODS,EQ,73505,22694,30.87
20,46,ADHUNIKIND,EQ,17299,11107,64.21
20,47,ADORWELD,EQ,94524,31286,33.10
20,48,ADROITINFO,EQ,1211,932,76.96
20,49,ADSL,EQ,282846,92650,32.76
20,50,ADVANIHOTR,EQ,8597,7408,86.17
20,51,ADVENZYMES,EQ,242882,105318,43.36
20,52,AEGISCHEM,EQ,194421,100443,51.66
20,53,AFFLE,EQ,258186,160811,62.28
20,54,AGCNET,EQ,6443,3546,55.04
20,55,AGRITECH,EQ,4633,2876,62.08
20,56,AGROPHOS,EQ,64059,46946,73.29
20,57,AHLADA,EQ,6674,4892,73.30
20,58,AHLEAST,EQ,539,448,83.12
20,59,AHLUCONT,EQ,273063,223341,81.79
20,60,AHLWEST,EQ,2574,399,15.50
20,61,AIAENG,EQ,13006,8702,66.91
20,62,AIRAN,EQ,114134,87496,76.66
20,63,AISL,SM,3600,3600,100.00
20,64,AJANTPHARM,EQ,104372,55762,53.43
20,65,AJMERA,EQ,54980,20411,37.12
20,66,AJOONI,SM,12000,12000,100.00
20,67,AKASH,EQ,52948,51507,97.28
20,68,AKG,EQ,27239,25253,92.71
20,69,AKSHARCHEM,EQ,60833,40954,67.32
20,70,AKSHOPTFBR,EQ,612095,383835,62.71
20,71,AKZOINDIA,EQ,10788,4956,45.94
20,72,ALANKIT,EQ,109493,65954,60.24
20,73,ALBERTDAVD,EQ,16176,12960,80.12
20,74,ALEMBICLTD,EQ,212407,115533,54.39
20,75,ALICON,EQ,2503,1592,63.60
20,76,ALKALI,EQ,7741,5445,70.34
20,77,ALKEM,EQ,120723,90181,74.70
20,78,ALKYLAMINE,EQ,25981,10826,41.67
20,79,ALLCARGO,EQ,419742,215171,51.26
20,80,ALLSEC,EQ,16279,8418,51.71
20,81,ALMONDZ,EQ,76161,44557,58.50
20,82,ALOKINDS,EQ,6633259,2961909,44.65
20,83,ALPA,EQ,134050,81188,60.57
20,84,ALPHAGEO,EQ,60678,37452,61.72
20,85,AMARAJABAT,EQ,1507040,380370,25.24
20,86,AMBER,EQ,111039,56276,50.68
20,87,AMBIKCO,EQ,76952,28835,37.47
20,88,AMBUJACEM,EQ,10058896,4061841,40.38
20,89,AMDIND,EQ,196604,75916,38.61
20,90,AMJLAND,EQ,9036,4596,50.86
20,91,AMJUMBO,SM,8000,8000,100.00
20,92,AMRUTANJAN,EQ,73095,20557,28.12
20,93,ANANTRAJ,EQ,247669,161732,65.30
20,94,ANDHRACEMT,EQ,320665,213711,66.65
20,95,ANDHRAPAP,EQ,61614,37463,60.80
20,96,ANDHRSUGAR,EQ,53002,27625,52.12
20,97,ANGELBRKG,EQ,80425,38561,47.95
20,98,ANIKINDS,EQ,14614,11447,78.33
20,99,ANKITMETAL,EQ,150828,84505,56.03
20,100,ANSALAPI,EQ,150039,95594,63.71
20,101,ANSALHSG,EQ,196391,72797,37.07
20,102,ANUP,EQ,30177,16542,54.82
20,103,APARINDS,EQ,407547,180296,44.24
20,104,APCL,EQ,31623,18041,57.05
20,105,APCOTEXIND,EQ,101702,52573,51.69
20,106,APEX,EQ,74352,32568,43.80
20,107,APLAPOLLO,EQ,1501038,1308916,87.20
20,108,APLLTD,EQ,458780,260353,56.75
20,109,APOLLO,EQ,313277,114466,36.54
20,110,APOLLOHOSP,EQ,2081001,358859,17.24
20,111,APOLLOPIPE,EQ,22297,13840,62.07
20,112,APOLLOTYRE,EQ,12855633,2463641,19.16
20,113,APOLSINHOT,EQ,1299,939,72.29
20,114,APTECHT,EQ,605370,87862,14.51
20,115,ARCHIES,EQ,48179,34551,71.71
20,116,ARENTERP,EQ,2110,1675,79.38
20,117,ARIES,EQ,40922,26273,64.20
20,118,ARIHANT,EQ,7457,6127,82.16
20,119,ARIHANTSUP,EQ,21819,9937,45.54
20,120,ARMANFIN,EQ,14885,9396,63.12
20,121,AROGRANITE,EQ,31428,17446,55.51
20,122,ARROWGREEN,EQ,101706,67581,66.45
20,123,ARSSINFRA,EQ,36112,25516,70.66
20,124,ARTEMISMED,EQ,1768,1211,68.50
20,125,ARVIND,EQ,1402819,638454,45.51
20,126,ARVINDFASN,EQ,326787,125553,38.42
20,127,ARVSMART,EQ,168378,82067,48.74
20,128,ASAHIINDIA,EQ,103391,71099,68.77
20,129,ASAHISONG,EQ,49718,29927,60.19
20,130,ASALCBR,EQ,139389,79296,56.89
20,131,ASHAPURMIN,EQ,386759,136714,35.35
20,132,ASHIANA,EQ,81884,41002,50.07
20,133,ASHIMASYN,EQ,30320,25542,84.24
20,134,ASHOKA,EQ,1757665,654783,37.25
20,135,ASHOKLEY,EQ,23022038,6630908,28.80
20,136,ASIANHOTNR,EQ,9241,6492,70.25
20,137,ASIANPAINT,EQ,3178784,1444831,45.45
20,138,ASIANTILES,EQ,108220,48625,44.93
20,139,ASLIND,SM,40000,40000,100.00
20,140,ASPINWALL,EQ,6622,1779,26.86
20,141,ASTEC,EQ,44648,30962,69.35
20,142,ASTERDM,EQ,234747,99915,42.56
20,143,ASTRAL,EQ,129814,51987,40.05
20,144,ASTRAMICRO,EQ,117998,62256,52.76
20,145,ASTRAZEN,EQ,31870,10433,32.74
20,146,ASTRON,EQ,28075,14187,50.53
20,147,ATFL,EQ,6495,4675,71.98
20,148,ATGL,EQ,5856367,1884990,32.19
20,149,ATLANTA,EQ,22426,17763,79.21
20,150,ATUL,EQ,26412,15647,59.24
20,151,ATULAUTO,EQ,133469,68195,51.09
20,152,AUBANK,EQ,394405,201670,51.13
20,153,AURIONPRO,EQ,49734,31686,63.71
20,154,AUROPHARMA,EQ,2109425,922199,43.72
