Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23062021,1221358639,0001767
Trade Date <23-JUN-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,121773,76978,63.21
20,2,21STCENMGM,EQ,1405,1405,100.00
20,3,3MINDIA,EQ,1329,596,44.85
20,4,3PLAND,EQ,21933,20431,93.15
20,5,503KL24,SG,100,100,100.00
20,6,5PAISA,EQ,19921,11999,60.23
20,7,667GS2050,GS,2179,2079,95.41
20,8,676GS2061,GS,28,28,100.00
20,9,68GS2060,GS,520,520,100.00
20,10,716GS2050,GS,1591,1591,100.00
20,11,719GS2060,GS,2,2,100.00
20,12,737GS2023,GS,100,100,100.00
20,13,763GS2059,GS,7,7,100.00
20,14,772GS2049,GS,215,215,100.00
20,15,772GS2055,GS,137,137,100.00
20,16,AAATECH,SM,33000,24000,72.73
20,17,AAKASH,EQ,48596,12482,25.69
20,18,AARTIDRUGS,EQ,214954,88245,41.05
20,19,AARTIIND,EQ,841152,311162,36.99
20,20,AARTISURF,EQ,44197,40518,91.68
20,21,AARVI,EQ,22655,15037,66.37
20,22,AAVAS,EQ,25968,12347,47.55
20,23,ABB,EQ,747874,306341,40.96
20,24,ABBOTINDIA,EQ,10592,6488,61.25
20,25,ABCAPITAL,EQ,1408249,683200,48.51
20,26,ABFRL,EQ,3274778,1129684,34.50
20,27,ABFRLPP1,E1,18292,15055,82.30
20,28,ABINFRA,SM,4000,4000,100.00
20,29,ABMINTLTD,EQ,904,551,60.95
20,30,ABSLBANETF,EQ,292,157,53.77
20,31,ABSLNN50ET,EQ,272,214,78.68
20,32,ABSLRIF6RG,MF,5133,5133,100.00
20,33,ACC,EQ,268921,37860,14.08
20,34,ACCELYA,EQ,117360,52438,44.68
20,35,ACCURACY,EQ,2594,1462,56.36
20,36,ACE,EQ,279707,146595,52.41
20,37,ACRYSIL,EQ,242823,75810,31.22
20,38,ADANIENT,EQ,12679703,2028193,16.00
20,39,ADANIPORTS,EQ,31168761,4159861,13.35
20,40,ADFFOODS,EQ,24470,11598,47.40
20,41,ADORWELD,EQ,13453,9487,70.52
20,42,ADROITINFO,EQ,29892,23495,78.60
20,43,ADSL,EQ,189306,101394,53.56
20,44,ADVANIHOTR,EQ,30492,11266,36.95
20,45,ADVENZYMES,EQ,201616,89647,44.46
20,46,AEGISCHEM,EQ,390531,292439,74.88
20,47,AGARIND,EQ,40229,25582,63.59
20,48,AGRITECH,EQ,13946,8106,58.12
20,49,AGROPHOS,EQ,196085,39845,20.32
20,50,AHLADA,EQ,95574,77840,81.44
20,51,AHLEAST,EQ,4795,3450,71.95
20,52,AHLUCONT,EQ,9035,5892,65.21
20,53,AHLWEST,EQ,3965,2776,70.01
20,54,AIAENG,EQ,30135,15874,52.68
20,55,AIRAN,EQ,2338920,865983,37.02
20,56,AIROLAM,SM,3000,3000,100.00
20,57,AISL,SM,28800,2400,8.33
20,58,AJANTPHARM,EQ,28230,15575,55.17
20,59,AJMERA,EQ,461137,167785,36.39
20,60,AKASH,EQ,205413,107073,52.13
20,61,AKG,EQ,7538,3077,40.82
20,62,AKSHARCHEM,EQ,46677,25558,54.76
20,63,AKZOINDIA,EQ,17918,9631,53.75
20,64,ALANKIT,EQ,718483,223265,31.07
20,65,ALBERTDAVD,EQ,28264,16024,56.69
20,66,ALEMBICLTD,EQ,464984,181408,39.01
20,67,ALICON,EQ,14160,8148,57.54
20,68,ALKALI,EQ,55934,31046,55.50
20,69,ALKEM,EQ,65488,17291,26.40
20,70,ALKYLAMINE,EQ,32828,14795,45.07
20,71,ALLCARGO,EQ,1267103,465531,36.74
20,72,ALLSEC,EQ,12592,7389,58.68
20,73,ALMONDZ,EQ,14709,8603,58.49
20,74,ALOKINDS,EQ,15865555,6563525,41.37
20,75,ALPHAGEO,EQ,29915,15506,51.83
20,76,AMARAJABAT,EQ,811408,296984,36.60
20,77,AMBER,EQ,628736,226903,36.09
20,78,AMBICAAGAR,EQ,82501,47348,57.39
20,79,AMBIKCO,EQ,26068,9616,36.89
20,80,AMBUJACEM,EQ,1690045,522113,30.89
20,81,AMDIND,EQ,181688,170869,94.05
20,82,AMJLAND,EQ,38342,22998,59.98
20,83,AMRUTANJAN,EQ,31080,15602,50.20
20,84,ANDHRAPAP,EQ,155674,69704,44.78
