Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29012021,1191201263,0001719
Trade Date <29-JAN-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,46077,24274,52.68
20,2,21STCENMGM,EQ,725,404,55.72
20,3,3IINFOTECH,EQ,29646491,18058265,60.91
20,4,3MINDIA,EQ,18837,14158,75.16
20,5,3PLAND,EQ,4528,2777,61.33
20,6,5PAISA,EQ,30621,20670,67.50
20,7,68GS2060,GS,39,39,100.00
20,8,719GS2060,GS,100,100,100.00
20,9,757GS2033,GS,10,10,100.00
20,10,824GS2033,GS,100,100,100.00
20,11,A2ZINFRA,EQ,320555,200454,62.53
20,12,AAATECH,SM,3000,3000,100.00
20,13,AAKASH,EQ,65843,24131,36.65
20,14,AARON,EQ,7111,2955,41.56
20,15,AARTIDRUGS,EQ,322134,116682,36.22
20,16,AARTIIND,EQ,979050,521640,53.28
20,17,AARTISURF,EQ,17013,9034,53.10
20,18,AARVI,EQ,4913,3293,67.03
20,19,AAVAS,EQ,62169,37201,59.84
20,20,ABB,EQ,166513,90290,54.22
20,21,ABBOTINDIA,EQ,29267,18151,62.02
20,22,ABCAPITAL,EQ,1947233,585925,30.09
20,23,ABFRL,EQ,3390594,1403104,41.38
20,24,ABINFRA,SM,8000,4000,50.00
20,25,ABSLBANETF,EQ,155,62,40.00
20,26,ABSLNN50ET,EQ,246,90,36.59
20,27,ABSLRIF6RG,MF,30,30,100.00
20,28,ACC,EQ,859756,256398,29.82
20,29,ACCELYA,EQ,1757,974,55.44
20,30,ACCURACY,EQ,1512,1284,84.92
20,31,ACE,EQ,374320,213713,57.09
20,32,ACRYSIL,EQ,15607,11227,71.94
20,33,ADANIENT,EQ,3822560,567084,14.84
20,34,ADANIGREEN,EQ,1497461,835682,55.81
20,35,ADANIPORTS,EQ,6781488,1734454,25.58
20,36,ADANIPOWER,EQ,5298883,3080662,58.14
20,37,ADANITRANS,EQ,336323,93864,27.91
20,38,ADFFOODS,EQ,115591,46695,40.40
20,39,ADORWELD,EQ,9114,5617,61.63
20,40,ADSL,EQ,122242,73803,60.37
20,41,ADVENZYMES,EQ,77229,31127,40.30
20,42,AEGISCHEM,EQ,326986,173277,52.99
20,43,AFFLE,EQ,26140,13839,52.94
20,44,AGARIND,EQ,55817,47269,84.69
20,45,AGROPHOS,EQ,52081,41255,79.21
20,46,AHLADA,EQ,21182,18769,88.61
20,47,AHLEAST,EQ,139,71,51.08
20,48,AHLUCONT,EQ,22575,12363,54.76
20,49,AHLWEST,EQ,305,166,54.43
20,50,AIAENG,EQ,35593,20493,57.58
20,51,AIRAN,EQ,21560,17459,80.98
20,52,AISL,SM,2400,2400,100.00
20,53,AJANTPHARM,EQ,108535,44649,41.14
20,54,AJMERA,EQ,26053,10852,41.65
20,55,AKASH,EQ,62373,55565,89.09
20,56,AKG,SM,38400,6400,16.67
20,57,AKSHARCHEM,EQ,9875,5779,58.52
20,58,AKSHOPTFBR,EQ,246243,144859,58.83
20,59,AKZOINDIA,EQ,22583,8669,38.39
20,60,ALANKIT,EQ,73908,36505,49.39
20,61,ALBERTDAVD,EQ,3438,2519,73.27
20,62,ALEMBICLTD,EQ,300501,123774,41.19
20,63,ALICON,EQ,3345,2197,65.68
20,64,ALKALI,EQ,11245,6572,58.44
20,65,ALKEM,EQ,122079,84767,69.44
20,66,ALKYLAMINE,EQ,33266,11154,33.53
20,67,ALLCARGO,EQ,144393,91698,63.51
20,68,ALLSEC,EQ,33687,16817,49.92
20,69,ALMONDZ,EQ,5580,4331,77.62
20,70,ALOKINDS,EQ,5918142,2255016,38.10
20,71,AMARAJABAT,EQ,962606,224193,23.29
