Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30042021,1095166009,0001897
Trade Date <30-APR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,286685,184504,64.36
20,2,21STCENMGM,EQ,1874,1151,61.42
20,3,3IINFOTECH,EQ,38779781,21542654,55.55
20,4,3MINDIA,EQ,8051,6256,77.70
20,5,3PLAND,EQ,22524,17117,75.99
20,6,5PAISA,EQ,33255,21042,63.27
20,7,619GS2034,GS,499,499,100.00
20,8,622GS2035,GS,2000,2000,100.00
20,9,667GS2050,GS,11,11,100.00
20,10,716GS2050,GS,170,170,100.00
20,11,719GS2060,GS,14,14,100.00
20,12,757GS2033,GS,100,100,100.00
20,13,762GS2039,GS,800,800,100.00
20,14,772GS2049,GS,4,4,100.00
20,15,A2ZINFRA,EQ,958717,740427,77.23
20,16,AAKASH,EQ,31024,10729,34.58
20,17,AARON,EQ,671,322,47.99
20,18,AARTIDRUGS,EQ,258410,102827,39.79
20,19,AARTIIND,EQ,972527,153847,15.82
20,20,AARTISURF,EQ,16562,9501,57.37
20,21,AARVI,EQ,11430,8950,78.30
20,22,AAVAS,EQ,121332,79091,65.19
20,23,ABAN,EQ,238307,166327,69.80
20,24,ABB,EQ,167258,81353,48.64
20,25,ABBOTINDIA,EQ,11975,6017,50.25
20,26,ABCAPITAL,EQ,2019593,1025442,50.77
20,27,ABFRL,EQ,1934646,1058468,54.71
20,28,ABFRLPP1,E1,4698,3409,72.56
20,29,ABMINTLTD,EQ,467,309,66.17
20,30,ABSLBANETF,EQ,4105,4069,99.12
20,31,ABSLNN50ET,EQ,56,32,57.14
20,32,ACC,EQ,1081167,382606,35.39
20,33,ACCELYA,EQ,27788,10790,38.83
20,34,ACCURACY,EQ,4604,3341,72.57
20,35,ACE,EQ,231591,144623,62.45
20,36,ACRYSIL,EQ,35088,23459,66.86
20,37,ADANIENT,EQ,4232500,1508559,35.64
20,38,ADANIGREEN,EQ,466631,331575,71.06
20,39,ADANIPORTS,EQ,12600934,3514692,27.89
20,40,ADANIPOWER,EQ,17345279,8986340,51.81
20,41,ADANITRANS,EQ,439220,263819,60.07
20,42,ADFFOODS,EQ,14250,7539,52.91
20,43,ADHUNIKIND,EQ,138098,85382,61.83
20,44,ADORWELD,EQ,61344,34548,56.32
20,45,ADROITINFO,EQ,7562,7262,96.03
20,46,ADSL,EQ,91018,57681,63.37
20,47,ADVANIHOTR,EQ,18916,10679,56.45
20,48,ADVENZYMES,EQ,235370,109322,46.45
20,49,AEGISCHEM,EQ,336403,117600,34.96
20,50,AFFLE,EQ,32528,17273,53.10
20,51,AGARIND,EQ,17801,15202,85.40
20,52,AGCNET,EQ,4092,3173,77.54
20,53,AGRITECH,EQ,28529,24024,84.21
20,54,AGROPHOS,EQ,39752,25975,65.34
20,55,AHLADA,EQ,3500,2766,79.03
20,56,AHLEAST,EQ,2136,1550,72.57
20,57,AHLUCONT,EQ,9326,6242,66.93
20,58,AHLWEST,EQ,10625,7536,70.93
20,59,AIAENG,EQ,10098,6188,61.28
20,60,AIRAN,EQ,16710,12568,75.21
20,61,AISL,SM,27600,2400,8.70
20,62,AJANTPHARM,EQ,289772,88034,30.38
20,63,AJMERA,EQ,26458,10262,38.79
20,64,AJOONI,SM,8888,8888,100.00
20,65,AKASH,EQ,14467,12076,83.47
20,66,AKG,EQ,7855,7855,100.00
20,67,AKSHARCHEM,EQ,96854,47096,48.63
20,68,AKSHOPTFBR,EQ,211429,135376,64.03
20,69,AKZOINDIA,EQ,36575,29296,80.10
20,70,ALANKIT,EQ,136880,81076,59.23
20,71,ALBERTDAVD,EQ,12351,8338,67.51
20,72,ALEMBICLTD,EQ,1010503,385328,38.13
20,73,ALICON,EQ,25363,10889,42.93
20,74,ALKALI,EQ,24597,13000,52.85
20,75,ALKEM,EQ,133400,46391,34.78
20,76,ALKYLAMINE,EQ,189097,43799,23.16
20,77,ALLCARGO,EQ,360032,220345,61.20
20,78,ALLSEC,EQ,34412,26655,77.46
20,79,ALMONDZ,EQ,840,536,63.81
20,80,ALOKINDS,EQ,14112653,4707101,33.35
20,81,ALPHAGEO,EQ,368382,104790,28.45
20,82,ALPSINDUS,EQ,15937,12520,78.56
20,83,AMARAJABAT,EQ,917883,246048,26.81
20,84,AMBANIORG,SM,8000,8000,100.00
20,85,AMBER,EQ,66240,42541,64.22
20,86,AMBICAAGAR,EQ,7391,7391,100.00
20,87,AMBIKCO,EQ,7551,5228,69.24
20,88,AMBUJACEM,EQ,19822885,3511244,17.71
20,89,AMDIND,EQ,11553,9097,78.74
20,90,AMJLAND,EQ,30200,15699,51.98
20,91,AMRUTANJAN,EQ,33972,16239,47.80
20,92,ANANTRAJ,EQ,783724,518951,66.22
20,93,ANDHRACEMT,EQ,221364,128768,58.17
20,94,ANDHRAPAP,EQ,26819,20361,75.92
20,95,ANDHRSUGAR,EQ,920865,331844,36.04
20,96,ANGELBRKG,EQ,231071,75213,32.55
20,97,ANIKINDS,EQ,16444,8832,53.71
20,98,ANKITMETAL,EQ,28902,16713,57.83
20,99,ANSALAPI,EQ,73428,61889,84.29
20,100,ANSALHSG,EQ,66218,41738,63.03
20,101,ANUP,EQ,22223,9630,43.33
20,102,ANURAS,EQ,396130,116375,29.38
