Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30082021,747235335,0001808
Trade Date <30-AUG-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,87085,54809,62.94
20,2,21STCENMGM,EQ,4249,3399,80.00
20,3,3MINDIA,EQ,21577,19947,92.45
20,4,5PAISA,EQ,87833,36633,41.71
20,5,618GS2024,GS,1010,1010,100.00
20,6,63MOONS,EQ,75477,45239,59.94
20,7,667GS2050,GS,399,399,100.00
20,8,676GS2061,GS,510,510,100.00
20,9,68GS2060,GS,24,24,100.00
20,10,763GS2059,GS,10,10,100.00
20,11,772GS2049,GS,30,30,100.00
20,12,817GS2044,GS,10,10,100.00
20,13,A2ZINFRA,EQ,327628,251989,76.91
20,14,AAATECH,SM,6000,6000,100.00
20,15,AAKASH,EQ,78697,67731,86.07
20,16,AAREYDRUGS,EQ,26746,18978,70.96
20,17,AARON,EQ,17207,9680,56.26
20,18,AARTIDRUGS,EQ,159367,65915,41.36
20,19,AARTIIND,EQ,1029523,241733,23.48
20,20,AARTISURF,EQ,13562,8587,63.32
20,21,AARVEEDEN,EQ,17937,11622,64.79
20,22,AARVI,EQ,23587,16937,71.81
20,23,AAVAS,EQ,82400,51445,62.43
20,24,ABAN,EQ,55092,40143,72.87
20,25,ABB,EQ,656830,274997,41.87
20,26,ABBOTINDIA,EQ,5847,2770,47.37
20,27,ABCAPITAL,EQ,3004167,749125,24.94
20,28,ABFRL,EQ,3323105,1472887,44.32
20,29,ABSLBANETF,EQ,1216,1021,83.96
20,30,ABSLNN50ET,EQ,560,503,89.82
20,31,ABSLRIF6RG,MF,13000,13000,100.00
20,32,ACC,EQ,456720,151590,33.19
20,33,ACCELYA,EQ,40870,18510,45.29
20,34,ACCORD,SM,2000,2000,100.00
20,35,ACCURACY,EQ,43275,21043,48.63
20,36,ACE,EQ,340588,140328,41.20
20,37,ACRYSIL,EQ,86766,56321,64.91
20,38,ADANIENT,EQ,3149863,934028,29.65
20,39,ADANIPORTS,EQ,4757858,1002851,21.08
20,40,ADFFOODS,EQ,11681,7229,61.89
20,41,ADORWELD,EQ,10918,6761,61.93
20,42,ADSL,EQ,711399,348299,48.96
20,43,ADVANIHOTR,EQ,22229,13653,61.42
20,44,ADVENZYMES,EQ,237674,140163,58.97
20,45,AEGISCHEM,EQ,419142,266848,63.67
20,46,AGARIND,EQ,21467,15693,73.10
20,47,AGRITECH,EQ,5251,3757,71.55
20,48,AGROPHOS,EQ,58723,40416,68.82
20,49,AHLADA,EQ,25020,10632,42.49
20,50,AHLEAST,EQ,4217,3089,73.25
20,51,AHLUCONT,EQ,14160,10446,73.77
20,52,AHLWEST,EQ,2147,1715,79.88
20,53,AIAENG,EQ,16088,7799,48.48
20,54,AILIMITED,SM,6000,6000,100.00
20,55,AIROLAM,SM,18000,12000,66.67
20,56,AISL,SM,27600,3600,13.04
20,57,AJANTPHARM,EQ,24785,6379,25.74
20,58,AJOONI,EQ,114618,73050,63.73
20,59,AKASH,EQ,78893,68423,86.73
20,60,AKG,EQ,12764,6929,54.29
20,61,AKSHARCHEM,EQ,24156,11153,46.17
20,62,AKZOINDIA,EQ,11393,8526,74.84
20,63,ALANKIT,EQ,245856,202051,82.18
20,64,ALBERTDAVD,EQ,32744,16288,49.74
20,65,ALEMBICLTD,EQ,162164,61079,37.66
20,66,ALICON,EQ,11184,7947,71.06
20,67,ALKALI,EQ,7395,4359,58.95
20,68,ALKEM,EQ,82413,17633,21.40
20,69,ALKYLAMINE,EQ,208173,87754,42.15
20,70,ALLCARGO,EQ,852624,301742,35.39
20,71,ALLSEC,EQ,4710,4050,85.99
20,72,ALMONDZ,EQ,26028,15816,60.77
20,73,ALOKINDS,EQ,5761353,2363216,41.02
20,74,ALPA,EQ,25576,16365,63.99
20,75,ALPHAGEO,EQ,39518,18743,47.43
20,76,AMARAJABAT,EQ,1111996,339132,30.50
20,77,AMBER,EQ,24179,11728,48.50
20,78,AMBICAAGAR,EQ,28450,18786,66.03
20,79,AMBIKCO,EQ,61945,27474,44.35
20,80,AMBUJACEM,EQ,5235500,2623741,50.11
20,81,AMDIND,EQ,14954,10851,72.56
20,82,AMJLAND,EQ,25717,11363,44.18
20,83,AMRUTANJAN,EQ,91990,39957,43.44
20,84,ANDHRAPAP,EQ,44718,28205,63.07
20,85,ANDHRSUGAR,EQ,19347,9553,49.38
20,86,ANDREWYU,EQ,144533,81919,56.68
20,87,ANGELBRKG,EQ,412824,176182,42.68
20,88,ANIKINDS,EQ,24852,20989,84.46
20,89,ANMOL,EQ,80423,39104,48.62
20,90,ANSALAPI,EQ,92353,50023,54.16
20,91,ANSALHSG,EQ,58632,52941,90.29
20,92,ANUP,EQ,24677,12836,52.02
20,93,ANURAS,EQ,359303,89893,25.02
20,94,APARINDS,EQ,912241,123633,13.55
20,95,APCL,EQ,53130,31180,58.69
20,96,APCOTEXIND,EQ,88602,53786,60.71
20,97,APEX,EQ,89154,42603,47.79
20,98,APLAPOLLO,EQ,136613,91860,67.24
20,99,APLLTD,EQ,218410,53980,24.71
20,100,APOLLO,EQ,149162,74726,50.10
20,101,APOLLOHOSP,EQ,632354,306883,48.53
20,102,APOLLOPIPE,EQ,35442,20182,56.94
20,103,APOLLOTYRE,EQ,2206254,565172,25.62
20,104,APOLSINHOT,EQ,2529,1279,50.57
20,105,APTECHT,EQ,716158,145854,20.37
20,106,APTUS,EQ,2333990,1610370,69.00
20,107,ARCHIDPLY,EQ,59361,25235,42.51
20,108,ARENTERP,EQ,1249,1249,100.00
20,109,ARIES,EQ,136978,119272,87.07
20,110,ARIHANT,EQ,17466,2455,14.06
20,111,ARIHANTCAP,EQ,24466,13585,55.53
20,112,ARIHANTSUP,EQ,99797,42568,42.65
20,113,ARMANFIN,EQ,13965,7790,55.78
20,114,AROGRANITE,EQ,38253,22294,58.28
20,115,ARROWGREEN,EQ,15367,8584,55.86
20,116,ARSHIYA,EQ,64420,21088,32.74
20,117,ARSSINFRA,EQ,99542,38247,38.42
20,118,ARTEMISMED,EQ,4349,2982,68.57
20,119,ARVIND,EQ,524778,293613,55.95
20,120,ARVINDFASN,EQ,2099066,738314,35.17
20,121,ARVSMART,EQ,145222,66799,46.00
20,122,ASAHIINDIA,EQ,90426,50466,55.81
20,123,ASAHISONG,EQ,18573,12320,66.33
20,124,ASALCBR,EQ,35854,20384,56.85
20,125,ASHIANA,EQ,191184,106239,55.57
20,126,ASHIMASYN,EQ,51218,44104,86.11
20,127,ASHOKA,EQ,542392,262893,48.47
20,128,ASHOKLEY,EQ,19623902,6760082,34.45
20,129,ASIANHOTNR,EQ,1272,943,74.14
20,130,ASIANPAINT,EQ,1051747,523606,49.78
20,131,ASIANTILES,EQ,467134,232453,49.76
20,132,ASPINWALL,EQ,2099,1201,57.22
20,133,ASTEC,EQ,6152,3432,55.79
20,134,ASTERDM,EQ,8992579,1797566,19.99
20,135,ASTRAL,EQ,348055,188993,54.30
20,136,ASTRAMICRO,EQ,284057,119341,42.01
20,137,ASTRAZEN,EQ,22094,9595,43.43
20,138,ASTRON,EQ,199679,74626,37.37
20,139,ATALREAL,SM,20800,12800,61.54
20,140,ATFL,EQ,6076,3620,59.58
20,141,ATUL,EQ,14444,7387,51.14
20,142,ATULAUTO,EQ,139801,65403,46.78
20,143,AUBANK,EQ,2342393,572284,24.43
20,144,AUROPHARMA,EQ,3231421,1358552,42.04
20,145,AUTOAXLES,EQ,14858,7915,53.27
20,146,AUTOIND,EQ,51427,26774,52.06
20,147,AVADHSUGAR,EQ,44404,19371,43.62
20,148,AVANTIFEED,EQ,200411,74012,36.93
20,149,AVG,SM,2400,0,0.00
20,150,AVROIND,SM,6000,6000,100.00
20,151,AVTNPL,EQ,640291,172178,26.89
20,152,AWHCL,EQ,96325,47957,49.79
20,153,AXISBANK,EQ,12517507,5079334,40.58
