Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03062021,1347590159,0001871
Trade Date <03-JUN-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,402397,201977,50.19
20,2,21STCENMGM,EQ,949,949,100.00
20,3,3IINFOTECH,EQ,17825704,12357404,69.32
20,4,3MINDIA,EQ,2713,1416,52.19
20,5,3PLAND,EQ,19728,13131,66.56
20,6,522GS2025,GS,11,11,100.00
20,7,5PAISA,EQ,217917,138822,63.70
20,8,68GS2060,GS,1,1,100.00
20,9,716GS2050,GS,94,94,100.00
20,10,719GS2060,GS,1,1,100.00
20,11,772GS2049,GS,5,5,100.00
20,12,808GS2022,GS,1,1,100.00
20,13,AAATECH,SM,120000,84000,70.00
20,14,AAKASH,EQ,45916,17975,39.15
20,15,AARTIDRUGS,EQ,341139,130237,38.18
20,16,AARTIIND,EQ,365353,169016,46.26
20,17,AARTISURF,EQ,13242,8533,64.44
20,18,AARVI,EQ,61174,34963,57.15
20,19,AAVAS,EQ,48263,34557,71.60
20,20,ABAN,EQ,485420,342913,70.64
20,21,ABB,EQ,146129,61711,42.23
20,22,ABBOTINDIA,EQ,41595,32096,77.16
20,23,ABCAPITAL,EQ,3371895,1560507,46.28
20,24,ABFRL,EQ,1653797,755413,45.68
20,25,ABFRLPP1,E1,21760,20683,95.05
20,26,ABINFRA,SM,8000,8000,100.00
20,27,ABMINTLTD,EQ,3895,1947,49.99
20,28,ABSLBANETF,EQ,200326,200147,99.91
20,29,ABSLNN50ET,EQ,113,54,47.79
20,30,ABSLRIF6RG,MF,2380,2380,100.00
20,31,ACC,EQ,571072,197183,34.53
20,32,ACCELYA,EQ,16244,7813,48.10
20,33,ACCURACY,EQ,3539,2955,83.50
20,34,ACE,EQ,291548,173291,59.44
20,35,ACRYSIL,EQ,268283,159368,59.40
20,36,ADANIENT,EQ,19107244,1019716,5.34
20,37,ADANIGREEN,EQ,1190736,654391,54.96
20,38,ADANIPORTS,EQ,24105079,2706236,11.23
20,39,ADANIPOWER,EQ,50469406,18472515,36.60
20,40,ADANITRANS,EQ,1519353,684596,45.06
20,41,ADFFOODS,EQ,28750,15345,53.37
20,42,ADORWELD,EQ,497546,137797,27.70
20,43,ADROITINFO,EQ,12740,12415,97.45
20,44,ADSL,EQ,1098665,607898,55.33
20,45,ADVANIHOTR,EQ,35184,16269,46.24
20,46,ADVENZYMES,EQ,403406,207233,51.37
20,47,AEGISCHEM,EQ,1291128,263489,20.41
20,48,AFFLE,EQ,140983,52434,37.19
20,49,AGARIND,EQ,27287,19638,71.97
20,50,AGCNET,EQ,4878,2915,59.76
20,51,AGRITECH,EQ,35445,32545,91.82
20,52,AGROPHOS,EQ,291440,65719,22.55
20,53,AHLADA,EQ,9672,8896,91.98
20,54,AHLEAST,EQ,93375,25813,27.64
20,55,AHLUCONT,EQ,20990,13052,62.18
20,56,AHLWEST,EQ,85061,30822,36.24
20,57,AIAENG,EQ,22918,12423,54.21
20,58,AIRAN,EQ,366769,229849,62.67
20,59,AIROLAM,SM,12000,6000,50.00
20,60,AISL,SM,27600,3600,13.04
20,61,AJANTPHARM,EQ,60965,29419,48.26
20,62,AJMERA,EQ,687162,223669,32.55
20,63,AKASH,EQ,19907,10144,50.96
20,64,AKG,EQ,2649,2431,91.77
20,65,AKSHARCHEM,EQ,19300,10635,55.10
20,66,AKZOINDIA,EQ,8370,5246,62.68
20,67,ALANKIT,EQ,148436,104323,70.28
20,68,ALBERTDAVD,EQ,18554,10976,59.16
20,69,ALEMBICLTD,EQ,558252,223578,40.05
20,70,ALICON,EQ,8386,5250,62.60
20,71,ALKALI,EQ,51922,27411,52.79
20,72,ALKEM,EQ,426612,157549,36.93
20,73,ALKYLAMINE,EQ,56599,29639,52.37
20,74,ALLCARGO,EQ,389771,216989,55.67
20,75,ALLSEC,EQ,28731,20614,71.75
20,76,ALMONDZ,EQ,39263,35383,90.12
20,77,ALOKINDS,EQ,13244168,4490473,33.91
20,78,ALPHAGEO,EQ,537860,226058,42.03
20,79,ALPSINDUS,EQ,34034,30690,90.17
20,80,AMARAJABAT,EQ,2787636,1267572,45.47
20,81,AMBANIORG,SM,8000,4000,50.00
20,82,AMBER,EQ,199425,135794,68.09
20,83,AMBICAAGAR,EQ,68402,42418,62.01
20,84,AMBIKCO,EQ,295769,98699,33.37
20,85,AMBUJACEM,EQ,3322366,1273628,38.33
20,86,AMDIND,EQ,23108,10996,47.59
20,87,AMJLAND,EQ,44477,23470,52.77
20,88,AMRUTANJAN,EQ,86036,36509,42.43
20,89,ANANTRAJ,EQ,2518142,1447623,57.49
20,90,ANDHRAPAP,EQ,105550,54855,51.97
20,91,ANDHRSUGAR,EQ,136472,57656,42.25
20,92,ANGELBRKG,EQ,590878,307520,52.04
20,93,ANIKINDS,EQ,128147,103223,80.55
20,94,ANSALAPI,EQ,214413,192772,89.91
20,95,ANSALHSG,EQ,236688,172998,73.09
20,96,ANUP,EQ,593446,290818,49.00
20,97,ANURAS,EQ,447534,227957,50.94
20,98,APARINDS,EQ,91966,55587,60.44
20,99,APCL,EQ,210331,97349,46.28
20,100,APCOTEXIND,EQ,229845,99247,43.18
20,101,APEX,EQ,215248,98806,45.90
20,102,APLAPOLLO,EQ,613686,252955,41.22
20,103,APLLTD,EQ,214729,90457,42.13
20,104,APOLLO,EQ,123650,68661,55.53
20,105,APOLLOHOSP,EQ,1098294,293785,26.75
20,106,APOLLOPIPE,EQ,29612,20195,68.20
20,107,APOLLOTYRE,EQ,5700616,1685433,29.57
20,108,APOLSINHOT,EQ,2720,1979,72.76
20,109,APTECHT,EQ,189816,85249,44.91
20,110,ARCHIES,EQ,190830,121201,63.51
20,111,ARENTERP,EQ,65,49,75.38
20,112,ARIES,EQ,772628,190405,24.64
20,113,ARIHANT,EQ,717278,712437,99.33
20,114,ARMANFIN,EQ,10899,5280,48.44
20,115,AROGRANITE,EQ,247070,107215,43.39
20,116,ARSHIYA,EQ,56797,40500,71.31
20,117,ARVIND,EQ,1112044,553031,49.73
20,118,ARVINDFASN,EQ,2053799,575640,28.03
20,119,ARVSMART,EQ,767784,329951,42.97
20,120,ASAHIINDIA,EQ,1545338,256780,16.62
20,121,ASAHISONG,EQ,39405,25930,65.80
20,122,ASAL,EQ,21733,17842,82.10
20,123,ASALCBR,EQ,48648,25272,51.95
20,124,ASHAPURMIN,EQ,120150,80556,67.05
20,125,ASHIANA,EQ,108396,52428,48.37
20,126,ASHOKA,EQ,928497,495433,53.36
20,127,ASHOKLEY,EQ,16367436,4196915,25.64
20,128,ASIANHOTNR,EQ,221194,71223,32.20
20,129,ASIANPAINT,EQ,1404434,790140,56.26
20,130,ASIANTILES,EQ,3723086,1326973,35.64
20,131,ASLIND,SM,16000,16000,100.00
20,132,ASPINWALL,EQ,34790,10683,30.71
20,133,ASTEC,EQ,32966,18816,57.08
20,134,ASTERDM,EQ,444497,256860,57.79
20,135,ASTRAL,EQ,188325,112408,59.69
20,136,ASTRAMICRO,EQ,425565,214381,50.38
20,137,ASTRAZEN,EQ,16434,7639,46.48
20,138,ASTRON,EQ,1121656,447346,39.88
20,139,ATALREAL,SM,3200,3200,100.00
20,140,ATFL,EQ,18601,7469,40.15
20,141,ATGL,EQ,2839192,995111,35.05
20,142,ATLANTA,EQ,91778,61473,66.98
20,143,ATUL,EQ,52987,44101,83.23
20,144,ATULAUTO,EQ,120532,68267,56.64
20,145,AUBANK,EQ,748133,194409,25.99
20,146,AURIONPRO,EQ,36745,22567,61.42
20,147,AUROPHARMA,EQ,1289116,424425,32.92
20,148,AUSOMENT,EQ,26531,18105,68.24
20,149,AUTOAXLES,EQ,23707,10911,46.02
20,150,AUTOIND,EQ,34787,24453,70.29
20,151,AVADHSUGAR,EQ,113508,47321,41.69
20,152,AVANTIFEED,EQ,610121,233230,38.23
20,153,AVG,SM,4800,3600,75.00
20,154,AVTNPL,EQ,195855,118745,60.63
20,155,AWHCL,EQ,1401139,432454,30.86
20,156,AXISBANK,EQ,8170508,3229489,39.53
20,157,AXISBNKETF,EQ,3013,2004,66.51
20,158,AXISBPSETF,EQ,9932,4436,44.66
20,159,AXISCADES,EQ,159680,107784,67.50
20,160,AXISGOLD,EQ,133119,98193,73.76
20,161,AXISHCETF,EQ,70282,66118,94.08
20,162,AXISNIFTY,EQ,2353,1215,51.64
20,163,AXISTECETF,EQ,1336,848,63.47
20,164,AYMSYNTEX,EQ,247218,128115,51.82
20,165,BAFNAPH,EQ,4711,2956,62.75
20,166,BAJAJ-AUTO,EQ,323999,100937,31.15
20,167,BAJAJCON,EQ,546614,228910,41.88
20,168,BAJAJELEC,EQ,236599,162206,68.56
20,169,BAJAJFINSV,EQ,183816,25660,13.96
20,170,BAJAJHIND,EQ,3023157,2676020,88.52
20,171,BAJAJHLDNG,EQ,19084,11514,60.33
20,172,BAJFINANCE,EQ,2230378,376891,16.90
20,173,BALAJITELE,EQ,521409,196367,37.66
20,174,BALAMINES,EQ,75708,30580,40.39
20,175,BALAXI,EQ,2968,1618,54.51
20,176,BALKRISIND,EQ,284979,81085,28.45
20,177,BALMLAWRIE,EQ,313574,162487,51.82
20,178,BALRAMCHIN,EQ,2985455,1349148,45.19
20,179,BANARBEADS,EQ,156908,58395,37.22
20,180,BANARISUG,EQ,2662,1113,41.81
20,181,BANCOINDIA,EQ,129630,50877,39.25
20,182,BANDHANBNK,EQ,5960031,2311438,38.78
20,183,BANG,EQ,39408,26842,68.11
20,184,BANKA,EQ,12165,10222,84.03
20,185,BANKBARODA,EQ,42158361,15406691,36.54
20,186,BANKBEES,EQ,536303,229135,42.72
20,187,BANKINDIA,EQ,17351338,4810768,27.73
20,188,BANSWRAS,EQ,524591,186101,35.48
20,189,BARBEQUE,EQ,108364,32583,30.07
20,190,BASF,EQ,50648,21808,43.06
20,191,BATAINDIA,EQ,251191,84029,33.45
20,192,BAYERCROP,EQ,10343,5837,56.43
20,193,BBL,EQ,11291,6993,61.93
20,194,BBTC,EQ,64107,25428,39.66
20,195,BCG,EQ,841191,841191,100.00
20,196,BCLIND,EQ,737887,317066,42.97
20,197,BCONCEPTS,SM,3000,3000,100.00
20,198,BCP,EQ,614551,409291,66.60
20,199,BDL,EQ,108839,60085,55.21
20,200,BECTORFOOD,EQ,352153,150788,42.82
20,201,BEDMUTHA,EQ,25487,16024,62.87
20,202,BEL,EQ,8930766,3074387,34.42
20,203,BEML,EQ,356564,61104,17.14
20,204,BEPL,EQ,8693217,3222929,37.07
20,205,BERGEPAINT,EQ,1713175,622931,36.36
20,206,BESTAGRO,EQ,31907,27931,87.54
20,207,BETA,SM,4800,3200,66.67
20,208,BFINVEST,EQ,35356,10779,30.49
20,209,BFUTILITIE,EQ,254363,94539,37.17
20,210,BGRENERGY,EQ,609092,331482,54.42
20,211,BHAGERIA,EQ,168816,71804,42.53
20,212,BHAGYANGR,EQ,54500,37518,68.84
20,213,BHAGYAPROP,EQ,404151,206914,51.20
20,214,BHANDARI,EQ,302295,251302,83.13
20,215,BHARATFORG,EQ,3687431,790972,21.45
20,216,BHARATGEAR,EQ,61022,39694,65.05
20,217,BHARATRAS,EQ,3496,762,21.80
20,218,BHARATWIRE,EQ,100558,80519,80.07
20,219,BHARTIARTL,EQ,6174103,3103456,50.27
20,220,BHEL,EQ,36304245,7255061,19.98
20,221,BIGBLOC,EQ,22516,10498,46.62
20,222,BINDALAGRO,EQ,302435,172632,57.08
20,223,BIOCON,EQ,2896950,1079372,37.26
20,224,BIOFILCHEM,EQ,47743,30807,64.53
20,225,BIRET,RR,118200,97600,82.57
20,226,BIRLACABLE,EQ,147512,75497,51.18
20,227,BIRLACORPN,EQ,135782,75113,55.32
20,228,BIRLAMONEY,EQ,221546,100499,45.36
20,229,BIRLATYRE,EQ,509824,317649,62.31
20,230,BLBLIMITED,EQ,124685,113739,91.22
20,231,BLISSGVS,EQ,1138715,465097,40.84
20,232,BLKASHYAP,EQ,280614,228846,81.55
20,233,BLS,EQ,1935972,749196,38.70
20,234,BLUEDART,EQ,17279,10162,58.81
20,235,BLUESTARCO,EQ,151010,54647,36.19
20,236,BODALCHEM,EQ,743796,328215,44.13
20,237,BOHRA,SM,10000,10000,100.00
20,238,BOMDYEING,EQ,5646172,1894885,33.56
20,239,BOROLTD,EQ,321615,148472,46.16
20,240,BORORENEW,EQ,561713,292269,52.03
20,241,BOSCHLTD,EQ,65871,19011,28.86
20,242,BPCL,EQ,6092262,3324016,54.56
20,243,BPL,EQ,180409,104294,57.81
20,244,BRFL,EQ,1242320,975172,78.50
20,245,BRIGADE,EQ,609641,200219,32.84
20,246,BRIGHT,SM,6000,6000,100.00
20,247,BRITANNIA,EQ,380896,245917,64.56
20,248,BRITANNIA,N2,12747,12714,99.74
20,249,BRNL,EQ,187950,115086,61.23
20,250,BROOKS,EQ,57218,37175,64.97
20,251,BSE,EQ,620461,188266,30.34
20,252,BSELINFRA,EQ,102049,82790,81.13
20,253,BSHSL,EQ,3559,2719,76.40
20,254,BSL,EQ,309614,154346,49.85
20,255,BSLGOLDETF,EQ,236,131,55.51
20,256,BSLNIFTY,EQ,1838,291,15.83
20,257,BSOFT,EQ,2285539,692333,30.29
20,258,BURGERKING,EQ,1524388,658099,43.17
20,259,BUTTERFLY,EQ,31480,17962,57.06
20,260,CADILAHC,EQ,4524635,1481160,32.74
20,261,CADSYS,SM,6000,4000,66.67
20,262,CALSOFT,EQ,117528,92557,78.75
