Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07072021,1028579492,0001752
Trade Date <07-JUL-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,120200,81565,67.86
20,2,21STCENMGM,EQ,4874,4874,100.00
20,3,3MINDIA,EQ,4452,1475,33.13
20,4,3PLAND,EQ,108895,57624,52.92
20,5,5PAISA,EQ,149216,52959,35.49
20,6,667GS2050,GS,4237,4135,97.59
20,7,676GS2061,GS,2560,2560,100.00
20,8,68GS2060,GS,210,210,100.00
20,9,772GS2055,GS,50,50,100.00
20,10,AAATECH,SM,6000,6000,100.00
20,11,AAKASH,EQ,65644,13690,20.85
20,12,AARTIDRUGS,EQ,253013,84034,33.21
20,13,AARTIIND,EQ,1646860,1110931,67.46
20,14,AARTISURF,EQ,8676,5741,66.17
20,15,AARVI,EQ,114067,60859,53.35
20,16,AAVAS,EQ,359477,144695,40.25
20,17,ABB,EQ,69427,44580,64.21
20,18,ABBOTINDIA,EQ,11796,6554,55.56
20,19,ABCAPITAL,EQ,2152007,988964,45.96
20,20,ABFRL,EQ,1135288,578959,51.00
20,21,ABMINTLTD,EQ,1372,731,53.28
20,22,ABSLBANETF,EQ,60385,60011,99.38
20,23,ABSLNN50ET,EQ,37,37,100.00
20,24,ABSLRIF6RD,MF,50,50,100.00
20,25,ABSLRIF6RG,MF,10964,10964,100.00
20,26,ACC,EQ,339727,134898,39.71
20,27,ACCELYA,EQ,98465,24731,25.12
20,28,ACCORD,SM,2000,2000,100.00
20,29,ACCURACY,EQ,15675,10433,66.56
20,30,ACE,EQ,413400,114797,27.77
20,31,ACEINTEG,SM,3000,3000,100.00
20,32,ACRYSIL,EQ,38731,20807,53.72
20,33,ADANIENT,EQ,5549751,309657,5.58
20,34,ADANIPORTS,EQ,8719991,1184629,13.59
20,35,ADFFOODS,EQ,21010,8582,40.85
20,36,ADORWELD,EQ,15445,9985,64.65
20,37,ADSL,EQ,141014,80030,56.75
20,38,ADVANIHOTR,EQ,14276,7690,53.87
20,39,ADVENZYMES,EQ,278898,156001,55.93
20,40,AEGISCHEM,EQ,284434,130982,46.05
20,41,AGARIND,EQ,34123,22221,65.12
20,42,AGRITECH,EQ,4848,2830,58.37
20,43,AGROPHOS,EQ,225109,212345,94.33
20,44,AHLADA,EQ,73775,57200,77.53
20,45,AHLEAST,EQ,29880,12854,43.02
20,46,AHLUCONT,EQ,13961,7117,50.98
20,47,AHLWEST,EQ,22906,15389,67.18
20,48,AIAENG,EQ,135057,112623,83.39
20,49,AILIMITED,SM,9000,9000,100.00
20,50,AIROLAM,SM,27000,18000,66.67
20,51,AISL,SM,26400,4800,18.18
20,52,AJANTPHARM,EQ,72476,26453,36.50
20,53,AJMERA,EQ,409658,145287,35.47
20,54,AKASH,EQ,20673,11472,55.49
20,55,AKG,EQ,5424,2674,49.30
20,56,AKSHARCHEM,EQ,44543,24361,54.69
20,57,AKZOINDIA,EQ,4803,2738,57.01
20,58,ALANKIT,EQ,843672,526758,62.44
20,59,ALBERTDAVD,EQ,33584,14293,42.56
20,60,ALEMBICLTD,EQ,831309,287873,34.63
20,61,ALICON,EQ,52725,27666,52.47
20,62,ALKALI,EQ,41977,25912,61.73
20,63,ALKEM,EQ,115939,38794,33.46
20,64,ALKYLAMINE,EQ,56359,26951,47.82
20,65,ALLCARGO,EQ,312175,189146,60.59
20,66,ALLSEC,EQ,115188,53028,46.04
20,67,ALMONDZ,EQ,76110,47516,62.43
20,68,ALOKINDS,EQ,4725570,2315872,49.01
20,69,ALPHAGEO,EQ,35849,20819,58.07
20,70,AMARAJABAT,EQ,1219238,644385,52.85
20,71,AMBER,EQ,67434,38472,57.05
20,72,AMBICAAGAR,EQ,50881,27296,53.65
20,73,AMBIKCO,EQ,27921,15795,56.57
20,74,AMBUJACEM,EQ,4334221,1803232,41.60
20,75,AMDIND,EQ,158866,102594,64.58
20,76,AMJLAND,EQ,152231,88035,57.83
20,77,AMRUTANJAN,EQ,29504,14258,48.33
20,78,ANDHRAPAP,EQ,398864,120747,30.27
20,79,ANDHRSUGAR,EQ,141342,68291,48.32
20,80,ANGELBRKG,EQ,2610455,539831,20.68
20,81,ANIKINDS,EQ,208606,78327,37.55
20,82,ANMOL,EQ,23276,2377,10.21
20,83,ANSALHSG,EQ,530496,443919,83.68
20,84,ANUP,EQ,15086,7843,51.99
20,85,ANURAS,EQ,104741,63251,60.39
20,86,APARINDS,EQ,39173,20332,51.90
20,87,APCL,EQ,108602,30870,28.42
20,88,APCOTEXIND,EQ,119021,64060,53.82
20,89,APEX,EQ,773085,134856,17.44
20,90,APLAPOLLO,EQ,111898,95014,84.91
20,91,APLLTD,EQ,123487,41467,33.58
20,92,APOLLO,EQ,501151,135535,27.04
20,93,APOLLOHOSP,EQ,466002,185468,39.80
20,94,APOLLOPIPE,EQ,43089,36212,84.04
20,95,APOLLOTYRE,EQ,2480384,757034,30.52
20,96,APOLSINHOT,EQ,2572,1240,48.21
20,97,APTECHT,EQ,236987,53917,22.75
20,98,ARCHIES,EQ,454226,284101,62.55
20,99,ARENTERP,EQ,4121,2248,54.55
20,100,ARIES,EQ,241823,55618,23.00
20,101,ARIHANTCAP,EQ,68687,43176,62.86
20,102,ARMANFIN,EQ,8265,3633,43.96
20,103,AROGRANITE,EQ,336553,183430,54.50
20,104,ARSHIYA,EQ,145730,121601,83.44
20,105,ARVIND,EQ,1123741,597831,53.20
20,106,ARVINDFASN,EQ,1298181,816119,62.87
20,107,ARVSMART,EQ,118111,58027,49.13
