Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15092021,1394430107,0001836
Trade Date <15-SEP-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,967425,456909,47.23
20,2,21STCENMGM,EQ,13428,13419,99.93
20,3,3MINDIA,EQ,2531,1443,57.01
20,4,522GS2025,GS,10,10,100.00
20,5,585GS2030,GS,100,100,100.00
20,6,5PAISA,EQ,42320,21766,51.43
20,7,63MOONS,EQ,39307,25527,64.94
20,8,664GS2035,GS,100,100,100.00
20,9,667GS2050,GS,200,200,100.00
20,10,676GS2061,GS,117,117,100.00
20,11,719GS2060,GS,131,131,100.00
20,12,759GS2026,GS,350,350,100.00
20,13,762GS2039,GS,550,550,100.00
20,14,772GS2055,GS,1,1,100.00
20,15,A2ZINFRA,EQ,582369,448161,76.95
20,16,AAATECH,SM,6000,3000,50.00
20,17,AAKASH,EQ,94099,47167,50.12
20,18,AAREYDRUGS,EQ,37581,26188,69.68
20,19,AARON,EQ,8412,4230,50.29
20,20,AARTIDRUGS,EQ,209096,79403,37.97
20,21,AARTIIND,EQ,690386,385518,55.84
20,22,AARTISURF,EQ,127959,60370,47.18
20,23,AARVEEDEN,EQ,14069,11083,78.78
20,24,AARVI,EQ,25302,17974,71.04
20,25,AAVAS,EQ,64436,29206,45.33
20,26,ABAN,EQ,245113,132622,54.11
20,27,ABB,EQ,159852,84007,52.55
20,28,ABBOTINDIA,EQ,13548,4299,31.73
20,29,ABCAPITAL,EQ,2459751,965449,39.25
20,30,ABFRL,EQ,1619338,696258,43.00
20,31,ABSLBANETF,EQ,43,30,69.77
20,32,ABSLNN50ET,EQ,4,4,100.00
20,33,ACC,EQ,234175,78542,33.54
20,34,ACCELYA,EQ,28080,15323,54.57
20,35,ACCURACY,EQ,66118,36061,54.54
20,36,ACE,EQ,1330342,422353,31.75
20,37,ACRYSIL,EQ,81179,49990,61.58
20,38,ADANIENT,EQ,12834337,5455212,42.50
20,39,ADANIGREEN,EQ,568745,439690,77.31
20,40,ADANIPORTS,EQ,7039338,2293836,32.59
20,41,ADANITRANS,EQ,1338240,681673,50.94
20,42,ADFFOODS,EQ,54173,37857,69.88
20,43,ADORWELD,EQ,7159,4394,61.38
20,44,ADSL,EQ,276276,141727,51.30
20,45,ADVANIHOTR,EQ,171067,88111,51.51
20,46,ADVENZYMES,EQ,721363,269215,37.32
20,47,AEGISCHEM,EQ,884083,459187,51.94
20,48,AFFLE,EQ,48582,23611,48.60
20,49,AGARIND,EQ,24017,15637,65.11
20,50,AGRITECH,EQ,43036,36787,85.48
20,51,AGROPHOS,EQ,127192,104174,81.90
20,52,AHLADA,EQ,30926,25496,82.44
20,53,AHLEAST,EQ,4364,2632,60.31
20,54,AHLUCONT,EQ,20627,10122,49.07
20,55,AHLWEST,EQ,977,569,58.24
20,56,AIAENG,EQ,125695,66230,52.69
20,57,AILIMITED,SM,3000,3000,100.00
20,58,AIROLAM,SM,24000,18000,75.00
20,59,AISL,SM,13200,7200,54.55
20,60,AJANTPHARM,EQ,100384,63857,63.61
20,61,AJOONI,EQ,27008,20637,76.41
20,62,AKASH,EQ,437643,128507,29.36
20,63,AKG,EQ,11654,10782,92.52
20,64,AKSHARCHEM,EQ,17842,8818,49.42
20,65,AKZOINDIA,EQ,48425,43399,89.62
20,66,ALANKIT,EQ,439737,242486,55.14
20,67,ALBERTDAVD,EQ,31983,13581,42.46
20,68,ALEMBICLTD,EQ,527380,169855,32.21
20,69,ALICON,EQ,45531,22880,50.25
20,70,ALKALI,EQ,18649,12819,68.74
