Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,19022021,1376170281,0001846
Trade Date <19-FEB-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,1,1,100.00
20,2,20MICRONS,EQ,127632,69215,54.23
20,3,21STCENMGM,EQ,7654,5721,74.75
20,4,3IINFOTECH,EQ,14764647,9607200,65.07
20,5,3MINDIA,EQ,3462,1801,52.02
20,6,3PLAND,EQ,14001,10761,76.86
20,7,5PAISA,EQ,25724,15164,58.95
20,8,622GS2035,GS,200,200,100.00
20,9,63MOONS,EQ,71042,48120,67.73
20,10,68GS2060,GS,100,100,100.00
20,11,706GS2046,GS,100,100,100.00
20,12,772GS2055,GS,12847,12847,100.00
20,13,A2ZINFRA,EQ,229350,168740,73.57
20,14,AARON,EQ,5302,3292,62.09
20,15,AARTIDRUGS,EQ,310752,141188,45.43
20,16,AARTIIND,EQ,310371,185886,59.89
20,17,AARTISURF,EQ,32620,14101,43.23
20,18,AARVEEDEN,EQ,13520,11330,83.80
20,19,AARVI,EQ,19764,12321,62.34
20,20,AAVAS,EQ,38596,18623,48.25
20,21,ABAN,EQ,631340,274413,43.47
20,22,ABB,EQ,425564,87709,20.61
20,23,ABBOTINDIA,EQ,9407,3940,41.88
20,24,ABCAPITAL,EQ,7567849,1886635,24.93
20,25,ABFRL,EQ,2918190,1121844,38.44
20,26,ABFRLPP1,E1,21467,12567,58.54
20,27,ABINFRA,SM,4000,4000,100.00
20,28,ABMINTLTD,EQ,1428,1428,100.00
20,29,ABSLBANETF,EQ,1210,1002,82.81
20,30,ABSLNN50ET,EQ,641,594,92.67
20,31,ABSLRIF6RG,MF,6527,6527,100.00
20,32,ACC,EQ,767848,119992,15.63
20,33,ACCELYA,EQ,9880,2791,28.25
20,34,ACCURACY,EQ,46558,27999,60.14
20,35,ACE,EQ,819286,388287,47.39
20,36,ACRYSIL,EQ,116516,56695,48.66
20,37,ADANIENT,EQ,20210882,1147154,5.68
20,38,ADANIGREEN,EQ,1004331,548251,54.59
20,39,ADANIPORTS,EQ,17553743,2021274,11.51
20,40,ADANIPOWER,EQ,18821118,6650636,35.34
20,41,ADANITRANS,EQ,1763347,486634,27.60
20,42,ADFFOODS,EQ,32994,10732,32.53
20,43,ADHUNIKIND,EQ,7542,5642,74.81
20,44,ADORWELD,EQ,261533,229123,87.61
