Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21102021,1196585695,0001955
Trade Date <21-OCT-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,51,51,100.00
20,2,20MICRONS,EQ,440516,180754,41.03
20,3,21STCENMGM,EQ,27024,20485,75.80
20,4,3MINDIA,EQ,3193,1594,49.92
20,5,3PLAND,EQ,9277,7169,77.28
20,6,5PAISA,EQ,51616,23065,44.69
20,7,63MOONS,EQ,56028,33591,59.95
20,8,667GS2035,GS,145,124,85.52
20,9,667GS2050,GS,35,25,71.43
20,10,676GS2061,GS,15559,12516,80.44
20,11,68GS2060,GS,200,200,100.00
20,12,A2ZINFRA,EQ,597759,481889,80.62
20,13,AAATECH,SM,3000,3000,100.00
20,14,AAKASH,EQ,92398,55803,60.39
20,15,AAREYDRUGS,EQ,35770,18251,51.02
20,16,AARON,EQ,3238,1693,52.29
20,17,AARTIDRUGS,EQ,173885,90294,51.93
20,18,AARTIIND,EQ,1540391,456521,29.64
20,19,AARTISURF,EQ,14977,8882,59.30
20,20,AARVEEDEN,EQ,39524,29415,74.42
20,21,AARVI,EQ,6753,4307,63.78
20,22,AAVAS,EQ,87057,58647,67.37
20,23,ABB,EQ,114209,63302,55.43
20,24,ABBOTINDIA,EQ,11775,3933,33.40
20,25,ABCAPITAL,EQ,2564480,1236745,48.23
20,26,ABFRL,EQ,3765278,1504144,39.95
20,27,ABMINTLLTD,EQ,2851,1468,51.49
20,28,ABSLAMC,EQ,266001,144673,54.39
20,29,ABSLBANETF,EQ,557,338,60.68
20,30,ABSLNN50ET,EQ,890,853,95.84
20,31,ACC,EQ,803674,295470,36.76
20,32,ACCELYA,EQ,24947,12532,50.23
20,33,ACCURACY,EQ,40510,18117,44.72
20,34,ACE,EQ,408218,119207,29.20
20,35,ACRYSIL,EQ,73367,44859,61.14
20,36,ADANIENT,EQ,3129269,971599,31.05
20,37,ADANIGREEN,EQ,271740,185361,68.21
20,38,ADANIPORTS,EQ,4607499,1154562,25.06
20,39,ADANIPOWER,EQ,10458639,5125858,49.01
20,40,ADFFOODS,EQ,12651,8630,68.22
20,41,ADORWELD,EQ,18530,12326,66.52
20,42,ADROITINFO,EQ,68509,53123,77.54
20,43,ADSL,EQ,187492,81482,43.46
20,44,ADVANIHOTR,EQ,11947,6259,52.39
20,45,ADVENZYMES,EQ,197331,60166,30.49
20,46,AEGISCHEM,EQ,913777,476386,52.13
20,47,AFFLE,EQ,224373,127952,57.03
20,48,AGARIND,EQ,47482,28763,60.58
20,49,AGROPHOS,EQ,69611,53835,77.34
20,50,AHLADA,EQ,15951,9700,60.81
20,51,AHLEAST,EQ,3556,2131,59.93
20,52,AHLUCONT,EQ,30447,15544,51.05
20,53,AHLWEST,EQ,3210,2143,66.76
20,54,AIAENG,EQ,106263,68518,64.48
20,55,AIRAN,EQ,40925,24058,58.79
20,56,AIROLAM,EQ,27524,18650,67.76
20,57,AISL,SM,7200,7200,100.00
20,58,AJANTPHARM,EQ,38144,19561,51.28
20,59,AJOONI,EQ,352544,198529,56.31
20,60,AJRINFRA,EQ,2910258,1851317,63.61
20,61,AKASH,EQ,71850,62003,86.30
20,62,AKG,EQ,111551,67535,60.54
20,63,AKSHARCHEM,EQ,28706,11829,41.21
20,64,AKSHOPTFBR,EQ,214609,138650,64.61
20,65,AKZOINDIA,EQ,7991,4811,60.21
20,66,ALANKIT,EQ,2146533,1039359,48.42
20,67,ALBERTDAVD,EQ,14823,6292,42.45
20,68,ALEMBICLTD,EQ,138700,57802,41.67
20,69,ALICON,EQ,27176,17332,63.78
20,70,ALKALI,EQ,25973,10264,39.52
20,71,ALKEM,EQ,58075,31022,53.42
20,72,ALKYLAMINE,EQ,43222,21611,50.00
20,73,ALLCARGO,EQ,976942,327838,33.56
20,74,ALLSEC,EQ,8625,5506,63.84
20,75,ALMONDZ,EQ,79854,57722,72.28
20,76,ALOKINDS,EQ,10403247,4009920,38.54
20,77,ALPA,EQ,47011,24477,52.07
20,78,ALPHAGEO,EQ,223411,24004,10.74
20,79,AMARAJABAT,EQ,1021222,458261,44.87
20,80,AMBANIORG,SM,6000,6000,100.00
20,81,AMBER,EQ,81548,48341,59.28
20,82,AMBICAAGAR,EQ,23788,16145,67.87
20,83,AMBIKCO,EQ,20122,8059,40.05
20,84,AMBUJACEM,EQ,9834178,5501987,55.95
20,85,AMDIND,EQ,243896,143382,58.79
20,86,AMIORG,EQ,363825,160054,43.99
20,87,AMJLAND,EQ,143743,66644,46.36
20,88,AMRUTANJAN,EQ,88384,23814,26.94
20,89,ANDHRACEMT,EQ,315731,213412,67.59
20,90,ANDHRAPAP,EQ,15856,9910,62.50
20,91,ANDHRSUGAR,EQ,69523,29766,42.81
20,92,ANDREWYU,EQ,335630,167323,49.85
20,93,ANGELBRKG,EQ,2572669,789886,30.70
20,94,ANIKINDS,EQ,21279,16374,76.95
20,95,ANKITMETAL,EQ,59037,59037,100.00
20,96,ANMOL,EQ,91382,22969,25.14
20,97,ANSALAPI,EQ,1784622,813872,45.60
20,98,ANSALHSG,EQ,244791,117219,47.89
20,99,ANUP,EQ,20935,9919,47.38
20,100,ANURAS,EQ,78311,42394,54.14
20,101,APARINDS,EQ,108430,46796,43.16
20,102,APCL,EQ,55208,22820,41.33
20,103,APCOTEXIND,EQ,107421,33032,30.75
20,104,APEX,EQ,103529,38597,37.28
20,105,APLAPOLLO,EQ,697191,510103,73.17
20,106,APLLTD,EQ,315612,180131,57.07
20,107,APOLLO,EQ,54805,30790,56.18
20,108,APOLLOHOSP,EQ,698306,220247,31.54
20,109,APOLLOPIPE,EQ,29823,16458,55.19
20,110,APOLLOTYRE,EQ,3610872,1183262,32.77
20,111,APOLSINHOT,EQ,2482,1864,75.10
20,112,APTECHT,EQ,213218,66088,31.00
20,113,APTUS,EQ,126720,57945,45.73
20,114,ARCHIDPLY,EQ,10995,9001,81.86
20,115,ARCHIES,EQ,102065,88503,86.71
20,116,ARENTERP,EQ,7676,5400,70.35
20,117,ARIES,EQ,54992,31917,58.04
20,118,ARIHANT,EQ,205131,83516,40.71
20,119,ARIHANTCAP,EQ,37444,20738,55.38
20,120,ARIHANTSUP,EQ,214385,57754,26.94
20,121,ARMANFIN,EQ,27790,5098,18.34
20,122,AROGRANITE,EQ,19641,14441,73.52
20,123,ARROWGREEN,EQ,10684,5924,55.45
20,124,ARSHIYA,EQ,331534,226808,68.41
20,125,ARSSINFRA,EQ,30250,21158,69.94
20,126,ARTEMISMED,EQ,49391,36532,73.96
20,127,ARTNIRMAN,EQ,11602,11100,95.67
20,128,ARVEE,EQ,2211,1065,48.17
20,129,ARVIND,EQ,5831890,1714351,29.40
20,130,ARVINDFASN,EQ,326783,118971,36.41
20,131,ASAHIINDIA,EQ,83600,47605,56.94
20,132,ASAHISONG,EQ,16264,11212,68.94
20,133,ASAL,EQ,29368,20476,69.72
20,134,ASALCBR,EQ,102852,49188,47.82
20,135,ASHAPURMIN,EQ,63616,42215,66.36
20,136,ASHIANA,EQ,60599,29866,49.28
20,137,ASHIMASYN,EQ,90109,77563,86.08
20,138,ASHOKA,EQ,1503923,390288,25.95
20,139,ASHOKLEY,EQ,13035269,4669258,35.82
20,140,ASIANHOTNR,EQ,5244,3585,68.36
20,141,ASIANPAINT,EQ,5103543,1590299,31.16
20,142,ASIANTILES,EQ,1725743,836784,48.49
20,143,ASLIND,SM,4000,4000,100.00
20,144,ASPINWALL,EQ,11793,3396,28.80
20,145,ASTEC,EQ,14717,8170,55.51
20,146,ASTERDM,EQ,873696,167020,19.12
20,147,ASTRAL,EQ,503286,243641,48.41
20,148,ASTRAMICRO,EQ,438696,222295,50.67
20,149,ASTRAZEN,EQ,12558,6835,54.43
20,150,ASTRON,EQ,62819,36090,57.45
20,151,ATALREAL,SM,145600,57600,39.56
20,152,ATFL,EQ,4824,3039,63.00
20,153,ATLANTA,EQ,33861,18285,54.00
20,154,ATUL,EQ,71228,57557,80.81
20,155,ATULAUTO,EQ,122885,61974,50.43
20,156,AUBANK,EQ,792449,165116,20.84
20,157,AURIONPRO,EQ,16476,10606,64.37
20,158,AUROPHARMA,EQ,1519098,485417,31.95
20,159,AUSOMENT,EQ,5289,2526,47.76
20,160,AUTOAXLES,EQ,22002,7944,36.11
20,161,AUTOIND,EQ,26755,19495,72.86
20,162,AVADHSUGAR,EQ,66769,24490,36.68
20,163,AVANTIFEED,EQ,143814,60807,42.28
20,164,AVG,SM,7200,7200,100.00
20,165,AVTNPL,EQ,238521,88816,37.24
20,166,AWHCL,EQ,320733,185324,57.78
20,167,AXISBANK,EQ,7405639,3863981,52.18
20,168,AXISBNKETF,EQ,4559,2255,49.46
20,169,AXISBPSETF,EQ,1359868,1352782,99.48
20,170,AXISCADES,EQ,45938,28415,61.86
20,171,AXISCETF,EQ,2111,1413,66.94
20,172,AXISGOLD,EQ,99631,66900,67.15
20,173,AXISHCETF,EQ,4627,3723,80.46
20,174,AXISNIFTY,EQ,3659,2497,68.24
20,175,AXISTECETF,EQ,16445,10917,66.38
20,176,AYMSYNTEX,EQ,34555,19946,57.72
20,177,BAFNAPH,EQ,3344,1853,55.41
20,178,BAJAJ-AUTO,EQ,373336,195071,52.25
20,179,BAJAJCON,EQ,1222704,825623,67.52
20,180,BAJAJELEC,EQ,171739,76894,44.77
20,181,BAJAJFINSV,EQ,192533,49059,25.48
20,182,BAJAJHIND,EQ,3609524,2355535,65.26
20,183,BAJAJHLDNG,EQ,20080,11331,56.43
20,184,BAJFINANCE,EQ,639461,306419,47.92
20,185,BALAJITELE,EQ,232900,71233,30.59
20,186,BALAMINES,EQ,176492,100261,56.81
