Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,24052021,1342453881,0001898
Trade Date <24-MAY-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,1089240,608319,55.85
20,2,21STCENMGM,EQ,5222,4940,94.60
20,3,3IINFOTECH,EQ,27016069,13214335,48.91
20,4,3MINDIA,EQ,1808,910,50.33
20,5,3PLAND,EQ,33457,25439,76.03
20,6,448GS2023,GS,1,1,100.00
20,7,5PAISA,EQ,29247,17772,60.77
20,8,619GS2034,GS,200,200,100.00
20,9,667GS2050,GS,343,343,100.00
20,10,68GS2060,GS,2,2,100.00
20,11,757GS2033,GS,100,100,100.00
20,12,772GS2049,GS,4,4,100.00
20,13,AAATECH,SM,6000,6000,100.00
20,14,AAKASH,EQ,64806,19536,30.15
20,15,AARTIDRUGS,EQ,410893,177617,43.23
20,16,AARTIIND,EQ,638853,248618,38.92
20,17,AARTISURF,EQ,104909,66194,63.10
20,18,AARVI,EQ,164178,106705,64.99
20,19,AAVAS,EQ,91541,63291,69.14
20,20,ABAN,EQ,60409,38406,63.58
20,21,ABB,EQ,234226,141099,60.24
20,22,ABBOTINDIA,EQ,8300,4916,59.23
20,23,ABCAPITAL,EQ,2507400,888923,35.45
20,24,ABFRL,EQ,1981388,996175,50.28
20,25,ABFRLPP1,E1,6774,6047,89.27
20,26,ABMINTLTD,EQ,5259,2895,55.05
20,27,ABSLBANETF,EQ,2230,1135,50.90
20,28,ABSLNN50ET,EQ,98,96,97.96
20,29,ABSLRIF6RG,MF,2606,2606,100.00
20,30,ACC,EQ,657392,179668,27.33
20,31,ACCELYA,EQ,17046,12637,74.13
20,32,ACCORD,SM,2000,2000,100.00
20,33,ACCURACY,EQ,31572,21445,67.92
20,34,ACE,EQ,1009149,598706,59.33
20,35,ACRYSIL,EQ,1552675,474451,30.56
20,36,ADANIENT,EQ,7913411,3209036,40.55
20,37,ADANIGREEN,EQ,1906731,621819,32.61
20,38,ADANIPORTS,EQ,8354397,807972,9.67
20,39,ADANIPOWER,EQ,9135891,5268517,57.67
20,40,ADANITRANS,EQ,3473556,2117722,60.97
20,41,ADFFOODS,EQ,57149,23958,41.92
20,42,ADORWELD,EQ,103161,42811,41.50
20,43,ADROITINFO,EQ,5224,4769,91.29
20,44,ADSL,EQ,474655,291387,61.39
20,45,ADVANIHOTR,EQ,36759,26954,73.33
20,46,ADVENZYMES,EQ,203267,84069,41.36
20,47,AEGISCHEM,EQ,1317810,605862,45.97
20,48,AFFLE,EQ,117908,57894,49.10
20,49,AGARIND,EQ,49187,30478,61.96
20,50,AGCNET,EQ,29911,10995,36.76
20,51,AGRITECH,EQ,7811,5781,74.01
20,52,AGROPHOS,EQ,51879,40831,78.70
20,53,AHLADA,EQ,4612,3651,79.16
20,54,AHLEAST,EQ,8675,7018,80.90
20,55,AHLUCONT,EQ,51815,39750,76.72
20,56,AHLWEST,EQ,8752,5908,67.50
20,57,AIAENG,EQ,19576,11068,56.54
20,58,AIRAN,EQ,119976,68606,57.18
20,59,AIROLAM,SM,60000,60000,100.00
20,60,AISL,SM,22800,1200,5.26
20,61,AJANTPHARM,EQ,112874,27959,24.77
20,62,AJMERA,EQ,141696,67161,47.40
20,63,AKASH,EQ,36614,35217,96.18
20,64,AKG,EQ,4541,3037,66.88
20,65,AKSHARCHEM,EQ,116207,50475,43.44
20,66,AKZOINDIA,EQ,36405,13147,36.11
