Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,25012021,914187861,0001731
Trade Date <25-JAN-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,106363,63797,59.98
20,2,21STCENMGM,EQ,3018,1913,63.39
20,3,3IINFOTECH,EQ,16325111,8432774,51.66
20,4,3MINDIA,EQ,5633,3013,53.49
20,5,3PLAND,EQ,1461,948,64.89
20,6,5PAISA,EQ,25296,15193,60.06
20,7,618GS2024,GS,100,100,100.00
20,8,645GS2029,GS,7,7,100.00
20,9,706GS2046,GS,100,100,100.00
20,10,757GS2033,GS,5813,5813,100.00
20,11,763GS2059,GS,19,19,100.00
20,12,A2ZINFRA,EQ,342460,254720,74.38
20,13,AAKASH,EQ,39804,14286,35.89
20,14,AARON,EQ,4886,2405,49.22
20,15,AARTIDRUGS,EQ,1671924,389410,23.29
20,16,AARTIIND,EQ,192923,95034,49.26
20,17,AARTISURF,EQ,15149,11559,76.30
20,18,AARVI,EQ,10421,8304,79.69
20,19,AAVAS,EQ,68163,41147,60.37
20,20,ABB,EQ,100682,45784,45.47
20,21,ABBOTINDIA,EQ,13183,7081,53.71
20,22,ABCAPITAL,EQ,2419729,584499,24.16
20,23,ABFRL,EQ,1655246,700343,42.31
20,24,ABSLBANETF,EQ,376,246,65.43
20,25,ABSLNN50ET,EQ,162,122,75.31
20,26,ABSLRIF6RG,MF,19733,19733,100.00
20,27,ACC,EQ,905403,178674,19.73
20,28,ACCELYA,EQ,3432,1873,54.57
20,29,ACCURACY,EQ,1237,1014,81.97
20,30,ACE,EQ,288942,134752,46.64
20,31,ACRYSIL,EQ,65281,48243,73.90
20,32,ADANIENT,EQ,3728411,349196,9.37
20,33,ADANIGREEN,EQ,528369,318256,60.23
20,34,ADANIPORTS,EQ,5816153,740651,12.73
20,35,ADANIPOWER,EQ,3944411,1847544,46.84
20,36,ADANITRANS,EQ,732208,227948,31.13
20,37,ADFFOODS,EQ,163797,67425,41.16
20,38,ADORWELD,EQ,5668,3145,55.49
20,39,ADSL,EQ,206215,95632,46.37
20,40,ADVENZYMES,EQ,126464,53647,42.42
20,41,AEGISCHEM,EQ,445190,156259,35.10
20,42,AFFLE,EQ,40441,21692,53.64
20,43,AGARIND,EQ,7567,5739,75.84
20,44,AGROPHOS,EQ,53880,36081,66.97
20,45,AHLADA,SM,508000,492000,96.85
20,46,AHLEAST,EQ,2515,1808,71.89
20,47,AHLUCONT,EQ,43192,16781,38.85
20,48,AHLWEST,EQ,1314,1157,88.05
20,49,AIAENG,EQ,37631,18966,50.40
20,50,AIRAN,EQ,38811,16249,41.87
20,51,AIROLAM,SM,12000,9000,75.00
20,52,AJANTPHARM,EQ,137055,28255,20.62
20,53,AJMERA,EQ,64744,20239,31.26
20,54,AJOONI,SM,24000,16000,66.67
20,55,AKASH,EQ,28481,26726,93.84
20,56,AKG,SM,38400,6400,16.67
20,57,AKSHARCHEM,EQ,17983,9871,54.89
20,58,AKSHOPTFBR,EQ,230199,134829,58.57
20,59,AKZOINDIA,EQ,25437,14974,58.87
20,60,ALANKIT,EQ,40986,31472,76.79
20,61,ALBERTDAVD,EQ,5581,3651,65.42
20,62,ALEMBICLTD,EQ,501072,121123,24.17
20,63,ALICON,EQ,4518,2358,52.19
20,64,ALKALI,EQ,29489,14470,49.07
20,65,ALKEM,EQ,102024,49830,48.84
20,66,ALKYLAMINE,EQ,19619,7835,39.94
20,67,ALLCARGO,EQ,297445,173471,58.32
20,68,ALLSEC,EQ,9093,5339,58.72
20,69,ALMONDZ,EQ,12676,6763,53.35
20,70,ALOKINDS,EQ,10320574,4416721,42.80
20,71,AMARAJABAT,EQ,636369,85241,13.39
20,72,AMBER,EQ,89291,27078,30.33
20,73,AMBIKCO,EQ,22399,14612,65.24
20,74,AMBUJACEM,EQ,9713572,4200689,43.25
20,75,AMDIND,EQ,25643,17580,68.56
20,76,AMJLAND,EQ,13166,5958,45.25
20,77,AMRUTANJAN,EQ,36758,15347,41.75
20,78,ANANTRAJ,EQ,2943679,2172745,73.81
20,79,ANDHRACEMT,EQ,287054,194695,67.83
20,80,ANDHRAPAP,EQ,18159,10190,56.12
20,81,ANDHRSUGAR,EQ,33535,16692,49.77
20,82,ANGELBRKG,EQ,87582,34701,39.62
20,83,ANSALHSG,EQ,30073,26933,89.56
20,84,ANUP,EQ,7931,4602,58.03
20,85,APARINDS,EQ,58806,37920,64.48
20,86,APCL,EQ,18805,8164,43.41
20,87,APCOTEXIND,EQ,369288,118357,32.05
20,88,APEX,EQ,45645,22573,49.45
20,89,APLAPOLLO,EQ,505253,330968,65.51
20,90,APLLTD,EQ,952471,357231,37.51
20,91,APOLLO,EQ,183079,88676,48.44
20,92,APOLLOHOSP,EQ,1764152,530403,30.07
20,93,APOLLOPIPE,EQ,16233,7420,45.71
20,94,APOLLOTYRE,EQ,38938668,3647795,9.37
20,95,APOLSINHOT,EQ,772,444,57.51
20,96,APTECHT,EQ,4687737,1082747,23.10
20,97,ARCHIES,EQ,29016,21149,72.89
20,98,ARENTERP,EQ,330,154,46.67
20,99,ARIES,EQ,58181,31662,54.42
20,100,ARIHANT,EQ,5653,3527,62.39
20,101,ARIHANTSUP,EQ,8721,6136,70.36
20,102,ARMANFIN,EQ,16199,9157,56.53
20,103,AROGRANITE,EQ,30853,21066,68.28
20,104,ARROWGREEN,EQ,4686,2525,53.88
20,105,ARSHIYA,EQ,56399,45692,81.02
20,106,ARSSINFRA,EQ,23917,16183,67.66
20,107,ARVIND,EQ,1839363,695543,37.81
20,108,ARVINDFASN,EQ,154055,70809,45.96
20,109,ARVSMART,EQ,148314,103716,69.93
20,110,ASAHIINDIA,EQ,29201,15147,51.87
20,111,ASAHISONG,EQ,30210,20360,67.39
20,112,ASAL,EQ,16439,15086,91.77
20,113,ASALCBR,EQ,51925,27852,53.64
20,114,ASHAPURMIN,EQ,126705,65446,51.65
20,115,ASHIANA,EQ,60605,26530,43.78
20,116,ASHOKA,EQ,1098492,366594,33.37
20,117,ASHOKLEY,EQ,26686833,4150861,15.55
20,118,ASIANHOTNR,EQ,11627,6684,57.49
20,119,ASIANPAINT,EQ,3520087,1009868,28.69
20,120,ASIANTILES,EQ,167567,58305,34.80
20,121,ASLIND,SM,12000,12000,100.00
20,122,ASPINWALL,EQ,6385,4640,72.67
20,123,ASTEC,EQ,34977,18817,53.80
20,124,ASTERDM,EQ,165938,84065,50.66
20,125,ASTRAL,EQ,87287,37483,42.94
20,126,ASTRAMICRO,EQ,243271,141125,58.01
20,127,ASTRAZEN,EQ,118466,48907,41.28
20,128,ASTRON,EQ,60812,33065,54.37
20,129,ATFL,EQ,18800,11279,59.99
20,130,ATGL,EQ,2678649,1539736,57.48
20,131,ATLANTA,EQ,14418,12749,88.42
20,132,ATUL,EQ,35561,18041,50.73
20,133,ATULAUTO,EQ,83401,35478,42.54
20,134,AUBANK,EQ,258928,112478,43.44
20,135,AURIONPRO,EQ,28499,17419,61.12
20,136,AUROPHARMA,EQ,14754225,4352080,29.50
20,137,AUSOMENT,EQ,5658,2592,45.81
20,138,AUTOAXLES,EQ,5926,3352,56.56
20,139,AUTOIND,EQ,18026,13653,75.74
20,140,AVADHSUGAR,EQ,45773,23554,51.46
20,141,AVANTIFEED,EQ,126853,57736,45.51
20,142,AVTNPL,EQ,170886,50739,29.69
20,143,AWHCL,EQ,238698,85960,36.01
20,144,AXISBANK,EQ,21325345,7472590,35.04
20,145,AXISBNKETF,EQ,8302,1866,22.48
20,146,AXISCADES,EQ,16713,12482,74.68
20,147,AXISGOLD,EQ,68875,63382,92.02
20,148,AXISNIFTY,EQ,11823,10115,85.55
20,149,BAJAJ-AUTO,EQ,2368224,329430,13.91
20,150,BAJAJCON,EQ,324710,210804,64.92
20,151,BAJAJELEC,EQ,95123,24130,25.37
20,152,BAJAJFINSV,EQ,781122,152519,19.53
20,153,BAJAJHIND,EQ,6311673,3515112,55.69
20,154,BAJAJHLDNG,EQ,92348,57172,61.91
20,155,BAJFINANCE,EQ,3673060,487355,13.27
20,156,BALAJITELE,EQ,206208,64444,31.25
20,157,BALAMINES,EQ,72319,27862,38.53
20,158,BALAXI,EQ,1948,1232,63.24
20,159,BALKRISIND,EQ,635136,139339,21.94
20,160,BALMLAWRIE,EQ,263938,122644,46.47
20,161,BALRAMCHIN,EQ,435890,198432,45.52
20,162,BANARBEADS,EQ,4448,2241,50.38
20,163,BANARISUG,EQ,332,230,69.28
20,164,BANCOINDIA,EQ,229514,126882,55.28
20,165,BANDHANBNK,EQ,19108393,5504791,28.81
20,166,BANG,EQ,27632,15966,57.78
20,167,BANKA,EQ,5772,2781,48.18
20,168,BANKBARODA,EQ,53420249,4333857,8.11
20,169,BANKBEES,EQ,618075,112802,18.25
20,170,BANKINDIA,EQ,3353735,511597,15.25
20,171,BANSWRAS,EQ,6213,2801,45.08
20,172,BASF,EQ,11855,5208,43.93
20,173,BATAINDIA,EQ,642153,99426,15.48
20,174,BAYERCROP,EQ,22278,10942,49.12
20,175,BBL,EQ,9283,5229,56.33
20,176,BBTC,EQ,44616,14332,32.12
20,177,BBTCL,SM,9000,6000,66.67
20,178,BCG,EQ,6832254,2992512,43.80
20,179,BCONCEPTS,SM,15000,6000,40.00
20,180,BDL,EQ,167157,77388,46.30
20,181,BEARDSELL,EQ,40294,12462,30.93
20,182,BECTORFOOD,EQ,1026018,381233,37.16
20,183,BEDMUTHA,EQ,12777,9018,70.58
20,184,BEL,EQ,7567402,1960155,25.90
20,185,BEML,EQ,256885,51372,20.00
20,186,BEPL,EQ,673038,332681,49.43
20,187,BERGEPAINT,EQ,1706682,237062,13.89
20,188,BETA,SM,4800,4000,83.33
20,189,BFINVEST,EQ,17995,7084,39.37
20,190,BFUTILITIE,EQ,165133,49900,30.22
20,191,BHAGERIA,EQ,80653,42679,52.92
20,192,BHAGYAPROP,EQ,9499,6616,69.65
20,193,BHANDARI,EQ,287400,286288,99.61
20,194,BHARATFORG,EQ,2163010,383041,17.71
20,195,BHARATRAS,EQ,3143,1728,54.98
20,196,BHARATWIRE,EQ,20900,12050,57.66
20,197,BHARTIARTL,EQ,12273498,5165181,42.08
20,198,BHEL,EQ,51673382,11229060,21.73
20,199,BIL,EQ,3200,2016,63.00
20,200,BINDALAGRO,EQ,73291,35277,48.13
20,201,BIOCON,EQ,13627688,4991461,36.63
20,202,BIRLACABLE,EQ,79147,39405,49.79
20,203,BIRLACORPN,EQ,757263,210329,27.77
20,204,BIRLAMONEY,EQ,141337,62752,44.40
20,205,BIRLATYRE,EQ,3127136,1603899,51.29
20,206,BLBLIMITED,EQ,28086,27141,96.64
20,207,BLISSGVS,EQ,460918,158028,34.29
20,208,BLS,EQ,79256,48379,61.04
20,209,BLUEDART,EQ,68372,16316,23.86
20,210,BLUESTARCO,EQ,96273,55697,57.85
20,211,BODALCHEM,EQ,273695,193480,70.69
20,212,BOMDYEING,EQ,1707976,446654,26.15
20,213,BOROLTD,EQ,86350,43127,49.94
20,214,BORORENEW,EQ,389083,176290,45.31
20,215,BOSCHLTD,EQ,88902,16913,19.02
20,216,BPCL,EQ,6030213,1788388,29.66
20,217,BPL,EQ,47778,26983,56.48
20,218,BRFL,EQ,88586,65229,73.63
20,219,BRIGADE,EQ,209074,152381,72.88
20,220,BRIGHT,SM,6000,6000,100.00
20,221,BRITANNIA,EQ,467367,228508,48.89
20,222,BRITANNIA,N2,5575,5480,98.30
20,223,BRNL,EQ,66511,41699,62.69
20,224,BROOKS,EQ,20083,13321,66.33
20,225,BSE,EQ,183468,57919,31.57
20,226,BSELINFRA,EQ,45411,45411,100.00
20,227,BSHSL,EQ,5791,4360,75.29
20,228,BSLGOLDETF,EQ,199,102,51.26
20,229,BSLNIFTY,EQ,3392,3306,97.46
20,230,BSOFT,EQ,453053,197461,43.58
20,231,BTML,SM,1200,1200,100.00
20,232,BURGERKING,EQ,4532119,1990676,43.92
20,233,BUTTERFLY,EQ,51241,31058,60.61
20,234,CADILAHC,EQ,3542288,664652,18.76
20,235,CALSOFT,EQ,78110,67478,86.39
20,236,CAMLINFINE,EQ,259313,182180,70.25
20,237,CAMS,EQ,42983,22523,52.40
20,238,CANBK,EQ,26445988,3264359,12.34
20,239,CANFINHOME,EQ,314380,105579,33.58
20,240,CANTABIL,EQ,141465,23901,16.90
20,241,CAPACITE,EQ,144281,40825,28.30
20,242,CAPLIPOINT,EQ,109007,48667,44.65
20,243,CAPTRUST,EQ,6677,1942,29.08
20,244,CARBORUNIV,EQ,652299,160578,24.62
20,245,CAREERP,EQ,69753,19567,28.05
20,246,CARERATING,EQ,76635,33730,44.01
20,247,CASTROLIND,EQ,1090551,539019,49.43
20,248,CCL,EQ,146362,95922,65.54
20,249,CDSL,EQ,1067918,442517,41.44
20,250,CEATLTD,EQ,1228643,178801,14.55
20,251,CENTENKA,EQ,60457,35733,59.10
20,252,CENTRALBK,EQ,4425191,2433982,55.00
20,253,CENTRUM,EQ,1323484,763055,57.66
20,254,CENTUM,EQ,26888,3600,13.39
20,255,CENTURYPLY,EQ,1359388,304305,22.39
20,256,CENTURYTEX,EQ,846607,258194,30.50
20,257,CERA,EQ,8173,2686,32.86
20,258,CEREBRAINT,EQ,183851,125028,68.01
20,259,CESC,EQ,526865,155267,29.47
20,260,CESCVENT,EQ,46842,22079,47.14
20,261,CGCL,EQ,223150,129118,57.86
20,262,CGPOWER,EQ,3810099,2184644,57.34
20,263,CHALET,EQ,195182,96523,49.45
20,264,CHAMBLFERT,EQ,640812,246239,38.43
20,265,CHEMBOND,EQ,24286,12285,50.58
20,266,CHEMCON,EQ,164301,62894,38.28
20,267,CHEMFAB,EQ,5184,4028,77.70
20,268,CHENNPETRO,EQ,933282,328592,35.21
20,269,CHOLAFIN,EQ,9914676,1847402,18.63
20,270,CHOLAHLDNG,EQ,129907,92917,71.53
20,271,CIGNITITEC,EQ,44049,24084,54.68
20,272,CINELINE,EQ,238574,38510,16.14
20,273,CINEVISTA,EQ,8807,7394,83.96
20,274,CIPLA,EQ,10704200,1960269,18.31
20,275,CLEDUCATE,EQ,10792,5226,48.42
20,276,CLNINDIA,EQ,35127,16521,47.03
20,277,COALINDIA,EQ,10157077,2505526,24.67
20,278,COCHINSHIP,EQ,121054,50676,41.86
20,279,COFORGE,EQ,340348,83272,24.47
20,280,COLPAL,EQ,621897,243705,39.19
20,281,COMPINFO,EQ,433229,274223,63.30
20,282,CONCOR,EQ,2142180,834629,38.96
20,283,CONFIPET,EQ,1755432,839471,47.82
20,284,CONSOFINVT,EQ,3191,2979,93.36
20,285,CONTI,SM,9999,9999,100.00
20,286,CONTROLPR,EQ,7413,3746,50.53
20,287,CORALFINAC,EQ,7190,6120,85.12
20,288,CORDSCABLE,EQ,54130,36583,67.58
20,289,COROMANDEL,EQ,205489,119794,58.30
20,290,COSMOFILMS,EQ,54867,36062,65.73
20,291,CPSEETF,EQ,2744795,2260543,82.36
20,292,CREATIVE,EQ,15150,7094,46.83
20,293,CREATIVEYE,EQ,2184,2184,100.00
20,294,CREDITACC,EQ,76860,40494,52.69
20,295,CREST,EQ,8369,4286,51.21
20,296,CRISIL,EQ,8851,3983,45.00
20,297,CROMPTON,EQ,2322649,1348277,58.05
20,298,CSBBANK,EQ,258739,121464,46.94
20,299,CTE,EQ,9818,7856,80.02
