Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28042021,912380323,0001920
Trade Date <28-APR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,56095,36890,65.76
20,2,21STCENMGM,EQ,3806,3060,80.40
20,3,3IINFOTECH,EQ,30667405,16330310,53.25
20,4,3MINDIA,EQ,4020,1563,38.88
20,5,3PLAND,EQ,4775,3766,78.87
20,6,5PAISA,EQ,36477,17588,48.22
20,7,618GS2024,GS,100,100,100.00
20,8,667GS2050,GS,200,200,100.00
20,9,68GS2060,GS,100,100,100.00
20,10,716GS2050,GS,18,18,100.00
20,11,719GS2060,GS,196,196,100.00
20,12,772GS2049,GS,50,50,100.00
20,13,A2ZINFRA,EQ,850842,594911,69.92
20,14,AAATECH,SM,9000,6000,66.67
20,15,AAKASH,EQ,27346,9758,35.68
20,16,AARON,EQ,3890,1367,35.14
20,17,AARTIDRUGS,EQ,341078,127916,37.50
20,18,AARTIIND,EQ,641469,224720,35.03
20,19,AARTISURF,EQ,43569,25008,57.40
20,20,AARVI,EQ,17200,13889,80.75
20,21,AAVAS,EQ,96569,31668,32.79
20,22,ABAN,EQ,34400,25550,74.27
20,23,ABB,EQ,474157,239899,50.59
20,24,ABBOTINDIA,EQ,7306,4653,63.69
20,25,ABCAPITAL,EQ,2348655,642586,27.36
20,26,ABFRL,EQ,1835941,669039,36.44
20,27,ABFRLPP1,E1,1225,643,52.49
20,28,ABMINTLTD,EQ,1228,1141,92.92
20,29,ABSLBANETF,EQ,609,419,68.80
20,30,ABSLNN50ET,EQ,90,81,90.00
20,31,ABSLRIF6RG,MF,1100,1100,100.00
20,32,ACC,EQ,879407,266882,30.35
20,33,ACCELYA,EQ,1805,1049,58.12
20,34,ACCURACY,EQ,1579,1188,75.24
20,35,ACE,EQ,194097,101694,52.39
20,36,ACRYSIL,EQ,51247,30283,59.09
20,37,ADANIENT,EQ,5020151,1496439,29.81
20,38,ADANIGREEN,EQ,273943,159865,58.36
20,39,ADANIPORTS,EQ,11156977,1342353,12.03
20,40,ADANIPOWER,EQ,11998231,5503465,45.87
20,41,ADANITRANS,EQ,942307,538987,57.20
20,42,ADFFOODS,EQ,96500,39313,40.74
20,43,ADHUNIKIND,EQ,34123,26059,76.37
20,44,ADORWELD,EQ,11144,7396,66.37
20,45,ADROITINFO,EQ,576,576,100.00
20,46,ADSL,EQ,86949,53054,61.02
20,47,ADVANIHOTR,EQ,5147,3766,73.17
20,48,ADVENZYMES,EQ,1825605,582566,31.91
20,49,AEGISCHEM,EQ,1630662,547932,33.60
20,50,AFFLE,EQ,67624,35205,52.06
20,51,AGARIND,EQ,22316,10233,45.85
20,52,AGCNET,EQ,17143,13969,81.49
20,53,AGRITECH,EQ,33971,26369,77.62
20,54,AGROPHOS,EQ,37375,28041,75.03
20,55,AHLADA,EQ,6487,4964,76.52
20,56,AHLEAST,EQ,1396,788,56.45
20,57,AHLUCONT,EQ,9546,5457,57.17
20,58,AHLWEST,EQ,3514,1642,46.73
20,59,AIAENG,EQ,7155,2986,41.73
20,60,AIRAN,EQ,66163,27271,41.22
20,61,AISL,SM,21600,0,0.00
20,62,AJANTPHARM,EQ,140988,62098,44.04
20,63,AJMERA,EQ,18714,9718,51.93
20,64,AJOONI,SM,111100,62216,56.00
20,65,AKASH,EQ,45894,23401,50.99
20,66,AKG,EQ,63977,43701,68.31
20,67,AKSHARCHEM,EQ,71985,30484,42.35
20,68,AKSHOPTFBR,EQ,196863,156327,79.41
20,69,AKZOINDIA,EQ,14105,2518,17.85
20,70,ALANKIT,EQ,154462,120173,77.80
20,71,ALBERTDAVD,EQ,20863,10330,49.51
20,72,ALEMBICLTD,EQ,480058,181756,37.86
20,73,ALICON,EQ,25108,14060,56.00
20,74,ALKALI,EQ,53612,36948,68.92
20,75,ALKEM,EQ,132105,74808,56.63
20,76,ALKYLAMINE,EQ,349252,91484,26.19
20,77,ALLCARGO,EQ,123606,81535,65.96
20,78,ALLSEC,EQ,14901,9890,66.37
20,79,ALMONDZ,EQ,6562,3355,51.13
20,80,ALOKINDS,EQ,20027434,8677355,43.33
20,81,ALPHAGEO,EQ,46157,28081,60.84
20,82,ALPSINDUS,EQ,1777,1426,80.25
20,83,AMARAJABAT,EQ,1079441,248151,22.99
20,84,AMBER,EQ,42325,23719,56.04
20,85,AMBIKCO,EQ,18522,12680,68.46
20,86,AMBUJACEM,EQ,4312684,1059185,24.56
20,87,AMDIND,EQ,17058,9643,56.53
20,88,AMJLAND,EQ,36814,18461,50.15
20,89,AMRUTANJAN,EQ,42214,24841,58.85
20,90,ANANTRAJ,EQ,997861,529285,53.04
20,91,ANDHRACEMT,EQ,262091,201951,77.05
20,92,ANDHRAPAP,EQ,35307,16995,48.13
20,93,ANDHRSUGAR,EQ,888362,304938,34.33
20,94,ANGELBRKG,EQ,525905,168942,32.12
20,95,ANIKINDS,EQ,84793,55928,65.96
20,96,ANKITMETAL,EQ,71577,54665,76.37
20,97,ANSALAPI,EQ,251222,174476,69.45
20,98,ANSALHSG,EQ,14886,12070,81.08
20,99,ANUP,EQ,70129,38692,55.17
20,100,ANURAS,EQ,1017198,408509,40.16
20,101,APARINDS,EQ,287784,100238,34.83
20,102,APCL,EQ,9543,5586,58.54
20,103,APCOTEXIND,EQ,879018,248133,28.23
20,104,APEX,EQ,96131,34817,36.22
20,105,APLAPOLLO,EQ,117491,75562,64.31
20,106,APLLTD,EQ,415497,220778,53.14
20,107,APOLLO,EQ,234672,144014,61.37
20,108,APOLLOHOSP,EQ,575824,152759,26.53
20,109,APOLLOPIPE,EQ,72687,51183,70.42
20,110,APOLLOTYRE,EQ,10798496,1889605,17.50
20,111,APOLSINHOT,EQ,978,794,81.19
20,112,APTECHT,EQ,447696,126571,28.27
20,113,ARCHIDPLY,EQ,23010,20925,90.94
20,114,ARCHIES,EQ,99670,62979,63.19
20,115,ARENTERP,EQ,191,60,31.41
20,116,ARIES,EQ,50558,33490,66.24
20,117,ARIHANT,EQ,22242,15018,67.52
20,118,ARMANFIN,EQ,7585,5446,71.80
20,119,AROGRANITE,EQ,39525,23686,59.93
20,120,ARROWGREEN,EQ,5364,5364,100.00
20,121,ARSHIYA,EQ,41743,34253,82.06
20,122,ARSSINFRA,EQ,23847,16084,67.45
20,123,ARTEMISMED,EQ,14980,10540,70.36
20,124,ARVIND,EQ,4075401,1178842,28.93
20,125,ARVINDFASN,EQ,207521,89011,42.89
20,126,ARVSMART,EQ,92513,34280,37.05
20,127,ASAHIINDIA,EQ,54663,34226,62.61
20,128,ASAHISONG,EQ,23660,12752,53.90
20,129,ASAL,EQ,1313,970,73.88
20,130,ASALCBR,EQ,139518,73222,52.48
20,131,ASCOM,SM,8000,8000,100.00
20,132,ASHAPURMIN,EQ,2292371,979115,42.71
20,133,ASHIANA,EQ,24725,14428,58.35
20,134,ASHIMASYN,EQ,48928,34726,70.97
20,135,ASHOKA,EQ,1609140,1064559,66.16
20,136,ASHOKLEY,EQ,22462353,5736825,25.54
20,137,ASIANHOTNR,EQ,12949,2224,17.18
20,138,ASIANPAINT,EQ,1065561,449241,42.16
20,139,ASIANTILES,EQ,134735,87685,65.08
20,140,ASLIND,SM,4000,4000,100.00
20,141,ASPINWALL,EQ,1478,1337,90.46
20,142,ASTEC,EQ,30783,17003,55.24
20,143,ASTERDM,EQ,765772,447909,58.49
20,144,ASTRAL,EQ,327872,186304,56.82
20,145,ASTRAMICRO,EQ,167854,82607,49.21
20,146,ASTRAZEN,EQ,92729,42547,45.88
20,147,ASTRON,EQ,36092,18470,51.17
20,148,ATFL,EQ,36258,16451,45.37
20,149,ATGL,EQ,1428960,966070,67.61
20,150,ATLANTA,EQ,31251,27050,86.56
20,151,ATUL,EQ,40730,20720,50.87
20,152,ATULAUTO,EQ,117854,74200,62.96
20,153,AUBANK,EQ,2143197,301745,14.08
20,154,AURIONPRO,EQ,242769,73820,30.41
20,155,AUROPHARMA,EQ,1451281,391462,26.97
20,156,AUSOMENT,EQ,175089,73453,41.95
20,157,AUTOAXLES,EQ,23278,19302,82.92
20,158,AUTOIND,EQ,8964,5905,65.87
20,159,AVADHSUGAR,EQ,1058188,288777,27.29
20,160,AVANTIFEED,EQ,456843,199961,43.77
20,161,AVTNPL,EQ,490182,289533,59.07
20,162,AWHCL,EQ,521011,181153,34.77
20,163,AXISBANK,EQ,54060587,17851331,33.02
20,164,AXISBNKETF,EQ,7020,6113,87.08
20,165,AXISCADES,EQ,114140,55817,48.90
