Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01072021,1025712933,0001764
Trade Date <01-JUL-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,149027,101769,68.29
20,2,21STCENMGM,EQ,13436,9336,69.48
20,3,396GS2022,GS,100,100,100.00
20,4,3MINDIA,EQ,1236,681,55.10
20,5,3PLAND,EQ,16112,13530,83.97
20,6,522GS2025,GS,1,1,100.00
20,7,585GS2030,GS,200,200,100.00
20,8,5PAISA,EQ,10478,4418,42.16
20,9,667GS2050,GS,1801,1701,94.45
20,10,676GS2061,GS,795,795,100.00
20,11,68GS2060,GS,185,185,100.00
20,12,716GS2050,GS,1,1,100.00
20,13,719GS2060,GS,1,1,100.00
20,14,763GS2059,GS,5,5,100.00
20,15,772GS2049,GS,1,1,100.00
20,16,AAATECH,SM,18000,12000,66.67
20,17,AAKASH,EQ,61891,14128,22.83
20,18,AARTIDRUGS,EQ,127947,62047,48.49
20,19,AARTIIND,EQ,773644,329252,42.56
20,20,AARTISURF,EQ,18979,11953,62.98
20,21,AARVI,EQ,42049,21834,51.93
20,22,AAVAS,EQ,18610,6406,34.42
20,23,ABB,EQ,69271,25747,37.17
20,24,ABBOTINDIA,EQ,8099,3824,47.22
20,25,ABCAPITAL,EQ,2642191,1469987,55.64
20,26,ABFRL,EQ,1560129,655802,42.04
20,27,ABMINTLTD,EQ,1756,1538,87.59
20,28,ABSLBANETF,EQ,25,13,52.00
20,29,ABSLNN50ET,EQ,201,155,77.11
20,30,ABSLRIF6RD,MF,2,2,100.00
20,31,ABSLRIF6RG,MF,38,38,100.00
20,32,ACC,EQ,335738,109247,32.54
20,33,ACCELYA,EQ,77063,40578,52.66
20,34,ACCURACY,EQ,19371,14644,75.60
20,35,ACE,EQ,408163,157372,38.56
20,36,ACRYSIL,EQ,81394,41727,51.27
20,37,ADANIENT,EQ,3759914,353774,9.41
20,38,ADANIPORTS,EQ,8035542,1725199,21.47
20,39,ADFFOODS,EQ,26095,13539,51.88
20,40,ADORWELD,EQ,159659,69385,43.46
20,41,ADROITINFO,EQ,2670,2670,100.00
20,42,ADSL,EQ,459649,325246,70.76
20,43,ADVANIHOTR,EQ,36171,17933,49.58
20,44,ADVENZYMES,EQ,648211,441859,68.17
20,45,AEGISCHEM,EQ,674187,221825,32.90
20,46,AGARIND,EQ,48767,34476,70.70
20,47,AGRITECH,EQ,11404,7302,64.03
20,48,AGROPHOS,EQ,123789,70369,56.85
20,49,AHLADA,EQ,190716,126594,66.38
20,50,AHLEAST,EQ,5055,3465,68.55
20,51,AHLUCONT,EQ,131893,41635,31.57
20,52,AHLWEST,EQ,12641,2424,19.18
20,53,AIAENG,EQ,19283,9107,47.23
20,54,AILIMITED,ST,6000,6000,100.00
20,55,AISL,SM,26400,6000,22.73
20,56,AJANTPHARM,EQ,148717,48695,32.74
20,57,AJMERA,EQ,145279,56645,38.99
20,58,AKASH,EQ,180696,83795,46.37
20,59,AKG,EQ,22051,17687,80.21
20,60,AKSHARCHEM,EQ,30274,17865,59.01
20,61,AKZOINDIA,EQ,11832,7195,60.81
20,62,ALANKIT,EQ,2098055,834342,39.77
20,63,ALBERTDAVD,EQ,24748,11008,44.48
20,64,ALEMBICLTD,EQ,446579,150561,33.71
20,65,ALICON,EQ,131935,85413,64.74
20,66,ALKALI,EQ,24980,12878,51.55
20,67,ALKEM,EQ,84286,37562,44.56
20,68,ALKYLAMINE,EQ,196356,74508,37.95
20,69,ALLCARGO,EQ,1061082,546673,51.52
20,70,ALLSEC,EQ,15184,4388,28.90
20,71,ALMONDZ,EQ,17375,12586,72.44
20,72,ALOKINDS,EQ,7217748,3795331,52.58
20,73,ALPHAGEO,EQ,44983,28808,64.04
20,74,AMARAJABAT,EQ,629776,298713,47.43
20,75,AMBANIORG,SM,2000,2000,100.00
20,76,AMBER,EQ,49308,24715,50.12
20,77,AMBICAAGAR,EQ,110273,63805,57.86
20,78,AMBIKCO,EQ,15866,7890,49.73
20,79,AMBUJACEM,EQ,1909998,976959,51.15
20,80,AMDIND,EQ,103354,75247,72.81
20,81,AMJLAND,EQ,506443,281564,55.60
20,82,AMRUTANJAN,EQ,68906,30619,44.44
20,83,ANDHRAPAP,EQ,63924,34058,53.28
20,84,ANDHRSUGAR,EQ,881569,252226,28.61
20,85,ANGELBRKG,EQ,311624,138538,44.46
20,86,ANIKINDS,EQ,245216,142222,58.00
20,87,ANMOL,EQ,29070,3594,12.36
20,88,ANSALHSG,EQ,1357466,1029690,75.85
20,89,ANUP,EQ,16210,9243,57.02
20,90,ANURAS,EQ,127782,31549,24.69
20,91,APARINDS,EQ,84329,48160,57.11
20,92,APCL,EQ,258929,103647,40.03
20,93,APCOTEXIND,EQ,52098,27306,52.41
20,94,APEX,EQ,3253159,784227,24.11
20,95,APLAPOLLO,EQ,225164,145830,64.77
20,96,APLLTD,EQ,255363,128851,50.46
20,97,APOLLO,EQ,124613,56846,45.62
20,98,APOLLOHOSP,EQ,876022,226090,25.81
20,99,APOLLOPIPE,EQ,73302,58894,80.34
20,100,APOLLOTYRE,EQ,2976390,865504,29.08
20,101,APOLSINHOT,EQ,2141,993,46.38
20,102,APTECHT,EQ,320314,53133,16.59
20,103,ARCHIES,EQ,374308,216680,57.89
20,104,ARENTERP,EQ,2851,1851,64.92
20,105,ARIES,EQ,284472,83784,29.45
20,106,ARIHANTCAP,EQ,7735,4929,63.72
20,107,ARMANFIN,EQ,10505,5658,53.86
20,108,AROGRANITE,EQ,882692,337693,38.26
20,109,ARSHIYA,EQ,149546,102193,68.34
20,110,ARVIND,EQ,851943,565152,66.34
20,111,ARVINDFASN,EQ,592734,483713,81.61
20,112,ARVSMART,EQ,199523,157821,79.10
20,113,ASAHIINDIA,EQ,198729,53412,26.88
20,114,ASAHISONG,EQ,13592,8600,63.27
20,115,ASALCBR,EQ,79340,43974,55.42
20,116,ASCOM,SM,4000,4000,100.00
20,117,ASHIANA,EQ,40363,22776,56.43
20,118,ASHOKA,EQ,2733018,919201,33.63
20,119,ASHOKLEY,EQ,21342688,6200869,29.05
20,120,ASIANHOTNR,EQ,10678,6500,60.87
20,121,ASIANPAINT,EQ,848235,371074,43.75
20,122,ASIANTILES,EQ,253699,126423,49.83
20,123,ASLIND,SM,4000,4000,100.00
20,124,ASPINWALL,EQ,1245,574,46.10
20,125,ASTEC,EQ,9844,5241,53.24
20,126,ASTERDM,EQ,796572,445559,55.93
20,127,ASTRAL,EQ,213548,105501,49.40
20,128,ASTRAMICRO,EQ,767130,264316,34.46
20,129,ASTRAZEN,EQ,17784,7515,42.26
20,130,ASTRON,EQ,341171,159450,46.74
20,131,ATFL,EQ,52167,14219,27.26
20,132,ATUL,EQ,12335,8367,67.83
20,133,ATULAUTO,EQ,222407,80390,36.15
20,134,AUBANK,EQ,900991,234218,26.00
20,135,AURIONPRO,EQ,388901,158901,40.86
20,136,AUROPHARMA,EQ,1826444,886001,48.51
20,137,AUSOMENT,EQ,237848,55910,23.51
20,138,AUTOAXLES,EQ,15662,6632,42.34
20,139,AVADHSUGAR,EQ,552073,124631,22.58
20,140,AVANTIFEED,EQ,1074567,291543,27.13
20,141,AVG,SM,1200,1200,100.00
20,142,AVROIND,SM,2000,2000,100.00
20,143,AVTNPL,EQ,577655,249103,43.12
20,144,AWHCL,EQ,65507,36220,55.29
20,145,AXISBANK,EQ,5695690,1807546,31.74
20,146,AXISBNKETF,EQ,155,155,100.00
20,147,AXISBPSETF,EQ,3876,2866,73.94
20,148,AXISGOLD,EQ,130962,100217,76.52
20,149,AXISHCETF,EQ,3987,3682,92.35
20,150,AXISNIFTY,EQ,3667,3167,86.36
20,151,AXISTECETF,EQ,717,588,82.01
20,152,AYMSYNTEX,EQ,33427,29274,87.58
20,153,BAFNAPH,EQ,9092,4443,48.87
20,154,BAJAJ-AUTO,EQ,755502,149677,19.81
20,155,BAJAJCON,EQ,269381,112352,41.71
20,156,BAJAJELEC,EQ,102688,43178,42.05
20,157,BAJAJFINSV,EQ,321521,116091,36.11
20,158,BAJAJHIND,EQ,24611691,14971578,60.83
20,159,BAJAJHLDNG,EQ,13824,6999,50.63
20,160,BAJFINANCE,EQ,1120601,270861,24.17
20,161,BALAJITELE,EQ,242244,101313,41.82
20,162,BALAMINES,EQ,235637,102437,43.47
20,163,BALAXI,EQ,2010,1349,67.11
20,164,BALKRISIND,EQ,266362,73711,27.67
20,165,BALMLAWRIE,EQ,297982,155006,52.02
20,166,BALRAMCHIN,EQ,888842,224515,25.26
20,167,BANARBEADS,EQ,6781,3744,55.21
20,168,BANARISUG,EQ,3892,1737,44.63
20,169,BANCOINDIA,EQ,290770,132916,45.71
20,170,BANDHANBNK,EQ,2418000,619140,25.61
20,171,BANG,EQ,503407,144913,28.79
20,172,BANKA,EQ,12487,10863,86.99
20,173,BANKBARODA,EQ,31593866,4070423,12.88
20,174,BANKBEES,EQ,542743,266509,49.10
20,175,BANKINDIA,EQ,2461643,589269,23.94
20,176,BARBEQUE,EQ,72078,23943,33.22
20,177,BASF,EQ,36970,13134,35.53
20,178,BATAINDIA,EQ,126348,23263,18.41
20,179,BAYERCROP,EQ,37069,15177,40.94
20,180,BBL,EQ,6556,3511,53.55
20,181,BBTC,EQ,46260,21966,47.48
20,182,BCG,EQ,425379,425379,100.00
20,183,BCLIND,EQ,197232,89204,45.23
20,184,BCONCEPTS,SM,3000,3000,100.00
20,185,BDL,EQ,670409,225286,33.60
20,186,BECTORFOOD,EQ,120157,69051,57.47
20,187,BEL,EQ,29278526,6407615,21.89
20,188,BEML,EQ,1044834,184015,17.61
20,189,BEPL,EQ,733108,298437,40.71
20,190,BERGEPAINT,EQ,469367,122744,26.15
20,191,BESTAGRO,EQ,88204,62635,71.01
20,192,BETA,SM,16000,16000,100.00
20,193,BFINVEST,EQ,57181,16120,28.19
20,194,BFUTILITIE,EQ,361392,154762,42.82
20,195,BGRENERGY,EQ,337523,169509,50.22
20,196,BHAGERIA,EQ,77050,41244,53.53
20,197,BHAGYANGR,EQ,16204,9195,56.75
20,198,BHAGYAPROP,EQ,12035,6849,56.91
20,199,BHANDARI,EQ,519116,402983,77.63
20,200,BHARATFORG,EQ,1094294,221819,20.27
20,201,BHARATGEAR,EQ,143700,35041,24.38
20,202,BHARATRAS,EQ,19061,4455,23.37
20,203,BHARATWIRE,EQ,170355,103754,60.90
20,204,BHARTIARTL,EQ,6454014,3227982,50.02
20,205,BHEL,EQ,31115771,4715070,15.15
20,206,BIGBLOC,EQ,7885,3192,40.48
20,207,BINDALAGRO,EQ,1002525,437430,43.63
20,208,BIOCON,EQ,1608707,419281,26.06
20,209,BIOFILCHEM,EQ,39163,25720,65.67
20,210,BIRET,RR,246800,233400,94.57
20,211,BIRLACORPN,EQ,175763,115811,65.89
20,212,BIRLAMONEY,EQ,445772,134022,30.07
20,213,BIRLATYRE,EQ,538241,341917,63.52
20,214,BLBLIMITED,EQ,86681,56874,65.61
20,215,BLISSGVS,EQ,192441,82317,42.78
20,216,BLKASHYAP,EQ,213182,134950,63.30
20,217,BLS,EQ,196264,72221,36.80
20,218,BLUEDART,EQ,21325,12129,56.88
20,219,BLUESTARCO,EQ,53945,26003,48.20
20,220,BODALCHEM,EQ,483392,203079,42.01
20,221,BOMDYEING,EQ,2150928,691158,32.13
20,222,BOROLTD,EQ,89438,43835,49.01
20,223,BOSCHLTD,EQ,17673,7304,41.33
20,224,BPCL,EQ,2878513,1469853,51.06
20,225,BPL,EQ,163121,87279,53.51
20,226,BRIGADE,EQ,172958,92812,53.66
20,227,BRIGHT,SM,279000,255000,91.40
20,228,BRITANNIA,EQ,612678,452927,73.93
20,229,BRITANNIA,N2,11467,10757,93.81
20,230,BRNL,EQ,69559,38336,55.11
20,231,BROOKS,EQ,23531,21131,89.80
20,232,BSE,EQ,296282,101614,34.30
