Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05012021,1226029535,0001810
Trade Date <05-JAN-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,375387,216479,57.67
20,2,21STCENMGM,EQ,16536,12551,75.90
20,3,3IINFOTECH,EQ,800501,795301,99.35
20,4,3MINDIA,EQ,3048,2001,65.65
20,5,3PLAND,EQ,15207,12688,83.44
20,6,579GS2030,GS,2,2,100.00
20,7,5PAISA,EQ,11478,6705,58.42
20,8,667GS2050,GS,100,100,100.00
20,9,68GS2060,GS,1835,1835,100.00
20,10,716GS2050,GS,3,3,100.00
20,11,737GS2023,GS,100,100,100.00
20,12,759GS2026,GS,1,1,100.00
20,13,772GS2055,GS,3548,3548,100.00
20,14,A2ZINFRA,EQ,1984105,1190004,59.98
20,15,AAKASH,EQ,47453,19231,40.53
20,16,AARON,EQ,3134,2356,75.18
20,17,AARTIDRUGS,EQ,1717005,366558,21.35
20,18,AARTIIND,EQ,690580,175770,25.45
20,19,AARTISURF,EQ,20197,13027,64.50
20,20,AARVI,EQ,33957,21209,62.46
20,21,AAVAS,EQ,266074,57039,21.44
20,22,ABB,EQ,150290,45030,29.96
20,23,ABBOTINDIA,EQ,22730,14574,64.12
20,24,ABCAPITAL,EQ,3205184,1138207,35.51
20,25,ABFRL,EQ,1469231,675477,45.97
20,26,ABFRLPP,E1,93414,80365,86.03
20,27,ABSLBANETF,EQ,131,97,74.05
20,28,ABSLNN50ET,EQ,40,35,87.50
20,29,ABSLRIF6RG,MF,1800,1800,100.00
20,30,ACC,EQ,1229551,342348,27.84
20,31,ACCELYA,EQ,6448,3479,53.95
20,32,ACCURACY,EQ,18639,15609,83.74
20,33,ACE,EQ,1361252,405638,29.80
20,34,ADANIENT,EQ,3654033,443025,12.12
20,35,ADANIGAS,EQ,1271457,799526,62.88
20,36,ADANIGREEN,EQ,526896,274771,52.15
20,37,ADANIPORTS,EQ,5135408,673387,13.11
20,38,ADANIPOWER,EQ,5864260,3612508,61.60
20,39,ADANITRANS,EQ,399092,181734,45.54
20,40,ADFFOODS,EQ,50544,20956,41.46
20,41,ADORWELD,EQ,866657,178788,20.63
20,42,ADSL,EQ,911467,448917,49.25
20,43,ADVENZYMES,EQ,253451,124285,49.04
20,44,AEGISCHEM,EQ,743151,378099,50.88
20,45,AFFLE,EQ,91426,53896,58.95
