Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,11022021,945012519,0001870
Trade Date <11-FEB-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,489023,229870,47.01
20,2,21STCENMGM,EQ,4949,4949,100.00
20,3,3IINFOTECH,EQ,2730876,2285607,83.70
20,4,3MINDIA,EQ,6514,3841,58.97
20,5,3PLAND,EQ,5191,3598,69.31
20,6,509GS2022,GS,5,5,100.00
20,7,5PAISA,EQ,42596,23633,55.48
20,8,618GS2024,GS,100,100,100.00
20,9,619GS2034,GS,100,100,100.00
20,10,622GS2035,GS,1,1,100.00
20,11,63MOONS,EQ,51809,35417,68.36
20,12,68GS2060,GS,3666,2455,66.97
20,13,726GS2029,GS,100,100,100.00
20,14,824GS2027,GS,310,160,51.61
20,15,A2ZINFRA,EQ,1007486,465231,46.18
20,16,AAATECH,SM,6000,3000,50.00
20,17,AARON,EQ,24845,14718,59.24
20,18,AARTIDRUGS,EQ,286490,120602,42.10
20,19,AARTIIND,EQ,231980,92981,40.08
20,20,AARTISURF,EQ,16413,10320,62.88
20,21,AARVEEDEN,EQ,14573,9486,65.09
20,22,AARVI,EQ,9973,7571,75.91
20,23,AAVAS,EQ,159846,87639,54.83
20,24,ABAN,EQ,101387,52471,51.75
20,25,ABB,EQ,299192,97127,32.46
20,26,ABBOTINDIA,EQ,18914,13145,69.50
20,27,ABCAPITAL,EQ,1720424,691866,40.21
20,28,ABFRL,EQ,2843668,1157040,40.69
20,29,ABINFRA,SM,60000,60000,100.00
20,30,ABMINTLTD,EQ,1048,1048,100.00
20,31,ABSLBANETF,EQ,28,17,60.71
20,32,ABSLNN50ET,EQ,15,8,53.33
20,33,ABSLRIF6RG,MF,10097,10097,100.00
20,34,ABSLRIF7RG,MF,9,9,100.00
20,35,ACC,EQ,1521543,389990,25.63
20,36,ACCELYA,EQ,6348,2408,37.93
20,37,ACCURACY,EQ,35251,30427,86.32
20,38,ACE,EQ,419664,250684,59.73
20,39,ACRYSIL,EQ,9901,9901,100.00
20,40,ADANIENT,EQ,3688016,625980,16.97
20,41,ADANIGREEN,EQ,4503787,2731812,60.66
20,42,ADANIPORTS,EQ,10595917,3353440,31.65
20,43,ADANIPOWER,EQ,9731753,4971099,51.08
20,44,ADANITRANS,EQ,682583,216023,31.65
20,45,ADFFOODS,EQ,139688,31732,22.72
20,46,ADHUNIKIND,EQ,22478,15070,67.04
20,47,ADORWELD,EQ,59650,49957,83.75
20,48,ADROITINFO,EQ,3953,2756,69.72
20,49,ADSL,EQ,74639,53254,71.35
20,50,ADVANIHOTR,EQ,2535,1562,61.62
20,51,ADVENZYMES,EQ,527005,218446,41.45
20,52,AEGISCHEM,EQ,226042,83430,36.91
20,53,AFFLE,EQ,338342,183065,54.11
20,54,AGCNET,EQ,8052,5976,74.22
20,55,AGRITECH,EQ,4666,2936,62.92
20,56,AGROPHOS,EQ,23037,15360,66.68
20,57,AHLADA,EQ,34412,30899,89.79
20,58,AHLEAST,EQ,652,423,64.88
20,59,AHLUCONT,EQ,24827,12854,51.77
20,60,AHLWEST,EQ,1811,293,16.18
20,61,AIAENG,EQ,22701,12566,55.35
20,62,AIRAN,EQ,94942,83868,88.34
20,63,AJANTPHARM,EQ,84433,46161,54.67
20,64,AJMERA,EQ,71250,17076,23.97
20,65,AJOONI,SM,16000,12000,75.00
20,66,AKASH,EQ,2169,1396,64.36
20,67,AKG,SM,32000,6400,20.00
20,68,AKSHARCHEM,EQ,22683,12566,55.40
20,69,AKSHOPTFBR,EQ,471652,291235,61.75
20,70,AKZOINDIA,EQ,55420,41442,74.78
20,71,ALANKIT,EQ,90797,66086,72.78
20,72,ALBERTDAVD,EQ,15719,11223,71.40
20,73,ALEMBICLTD,EQ,474706,285056,60.05
20,74,ALICON,EQ,2513,1325,52.73
20,75,ALKALI,EQ,39309,22280,56.68
20,76,ALKEM,EQ,59000,29144,49.40
20,77,ALKYLAMINE,EQ,86171,26976,31.31
