Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,12032021,1166453732,0001839
Trade Date <12-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,106676,72160,67.64
20,2,21STCENMGM,EQ,10392,10392,100.00
20,3,3IINFOTECH,EQ,19992750,12211552,61.08
20,4,3MINDIA,EQ,8718,4802,55.08
20,5,3PLAND,EQ,8624,6565,76.12
20,6,448GS2023,GS,1,1,100.00
20,7,5PAISA,EQ,26445,14811,56.01
20,8,619GS2034,GS,50,50,100.00
20,9,63MOONS,EQ,41751,29124,69.76
20,10,772GS2049,GS,44,44,100.00
20,11,A2ZINFRA,EQ,410126,284556,69.38
20,12,AAATECH,SM,6000,3000,50.00
20,13,AARON,EQ,2305,1858,80.61
20,14,AARTIDRUGS,EQ,1427665,279942,19.61
20,15,AARTIIND,EQ,165582,76262,46.06
20,16,AARTISURF,EQ,8809,5750,65.27
20,17,AARVEEDEN,EQ,5106,3237,63.40
20,18,AARVI,EQ,7356,5525,75.11
20,19,AAVAS,EQ,48262,31660,65.60
20,20,ABAN,EQ,173896,114265,65.71
20,21,ABB,EQ,61753,20346,32.95
20,22,ABBOTINDIA,EQ,17952,14667,81.70
20,23,ABCAPITAL,EQ,2937746,1239898,42.21
20,24,ABFRL,EQ,1417112,713550,50.35
20,25,ABFRLPP1,E1,130569,124136,95.07
20,26,ABMINTLTD,EQ,2269,1157,50.99
20,27,ABSLBANETF,EQ,701,97,13.84
20,28,ABSLNN50ET,EQ,116,63,54.31
20,29,ABSLRIF6RG,MF,58500,58500,100.00
20,30,ACC,EQ,1032982,343681,33.27
20,31,ACCELYA,EQ,2718,1787,65.75
20,32,ACCURACY,EQ,29079,22449,77.20
20,33,ACE,EQ,3278642,2040328,62.23
20,34,ACRYSIL,EQ,132965,103803,78.07
20,35,ADANIENT,EQ,6049852,1093106,18.07
20,36,ADANIGREEN,EQ,296923,175131,58.98
20,37,ADANIPORTS,EQ,10961076,3300543,30.11
20,38,ADANIPOWER,EQ,38391001,10869032,28.31
20,39,ADANITRANS,EQ,1537523,798093,51.91
20,40,ADFFOODS,EQ,22478,12294,54.69
20,41,ADHUNIKIND,EQ,21934,14343,65.39
20,42,ADORWELD,EQ,48314,29668,61.41
20,43,ADSL,EQ,533564,314554,58.95
20,44,ADVANIHOTR,EQ,38873,26930,69.28
20,45,ADVENZYMES,EQ,118283,60088,50.80
20,46,AEGISCHEM,EQ,612436,330545,53.97
20,47,AFFLE,EQ,55957,36310,64.89
20,48,AGCNET,EQ,4243,2623,61.82
20,49,AGRITECH,EQ,11051,8592,77.75
20,50,AGROPHOS,EQ,14223,8817,61.99
20,51,AHLADA,EQ,12557,8605,68.53
20,52,AHLEAST,EQ,1665,1452,87.21
20,53,AHLUCONT,EQ,108756,63813,58.68
20,54,AHLWEST,EQ,974,534,54.83
20,55,AIAENG,EQ,179507,147904,82.39
20,56,AIRAN,EQ,42504,34738,81.73
20,57,AIROLAM,SM,21000,6000,28.57
20,58,AISL,SM,22800,1200,5.26
20,59,AJANTPHARM,EQ,169314,79816,47.14
20,60,AJMERA,EQ,69732,33930,48.66
20,61,AJOONI,SM,4444,4444,100.00
20,62,AKASH,EQ,75455,71938,95.34
20,63,AKG,EQ,293589,99478,33.88
20,64,AKSHARCHEM,EQ,25894,21534,83.16
20,65,AKSHOPTFBR,EQ,210589,158578,75.30
20,66,AKZOINDIA,EQ,36494,22210,60.86
20,67,ALANKIT,EQ,106242,78566,73.95
20,68,ALBERTDAVD,EQ,8262,5758,69.69
20,69,ALEMBICLTD,EQ,160847,91080,56.63
20,70,ALICON,EQ,3544,1644,46.39
20,71,ALKALI,EQ,7818,5246,67.10
20,72,ALKEM,EQ,148218,81520,55.00
20,73,ALKYLAMINE,EQ,21325,9975,46.78
20,74,ALLCARGO,EQ,335941,164442,48.95
20,75,ALLSEC,EQ,6652,4096,61.58
20,76,ALMONDZ,EQ,10998,9235,83.97
20,77,ALOKINDS,EQ,10594533,4310115,40.68
20,78,ALPA,EQ,56282,37558,66.73
20,79,ALPHAGEO,EQ,17371,12838,73.90
20,80,AMARAJABAT,EQ,828479,197349,23.82
20,81,AMBER,EQ,71595,39347,54.96
20,82,AMBIKCO,EQ,7770,4389,56.49
20,83,AMBUJACEM,EQ,5744777,2307006,40.16
20,84,AMJLAND,EQ,9260,8396,90.67
20,85,AMRUTANJAN,EQ,208146,46033,22.12
20,86,ANANTRAJ,EQ,807019,542241,67.19
20,87,ANDHRACEMT,EQ,556362,456982,82.14
20,88,ANDHRAPAP,EQ,27540,16915,61.42
20,89,ANDHRSUGAR,EQ,48951,24959,50.99
20,90,ANGELBRKG,EQ,492026,397916,80.87
20,91,ANIKINDS,EQ,10574,8486,80.25
20,92,ANKITMETAL,EQ,142437,87174,61.20
20,93,ANSALAPI,EQ,173799,108605,62.49
20,94,ANSALHSG,EQ,281527,177032,62.88
20,95,ANUP,EQ,28852,21463,74.39
20,96,APARINDS,EQ,59469,35565,59.80
20,97,APCL,EQ,34344,24120,70.23
20,98,APCOTEXIND,EQ,77601,36922,47.58
20,99,APEX,EQ,86198,32558,37.77
20,100,APLAPOLLO,EQ,211772,133866,63.21
20,101,APLLTD,EQ,312400,156456,50.08
20,102,APOLLO,EQ,75800,48164,63.54
20,103,APOLLOHOSP,EQ,1512021,290260,19.20
20,104,APOLLOPIPE,EQ,623690,235317,37.73
20,105,APOLLOTYRE,EQ,9690551,2509096,25.89
20,106,APOLSINHOT,EQ,4197,2388,56.90
20,107,APTECHT,EQ,553120,224574,40.60
20,108,ARCHIES,EQ,59133,43477,73.52
20,109,ARENTERP,EQ,2184,1779,81.46
20,110,ARIES,EQ,72885,38228,52.45
20,111,ARIHANT,EQ,10435,6929,66.40
20,112,ARIHANTSUP,EQ,32039,10297,32.14
20,113,ARMANFIN,EQ,9167,6302,68.75
20,114,AROGRANITE,EQ,40350,32819,81.34
20,115,ARSSINFRA,EQ,30346,7602,25.05
20,116,ARTEMISMED,EQ,194,151,77.84
20,117,ARVIND,EQ,688393,427476,62.10
20,118,ARVINDFASN,EQ,518964,228546,44.04
20,119,ARVSMART,EQ,64242,30476,47.44
20,120,ASAHIINDIA,EQ,51551,27567,53.48
20,121,ASAHISONG,EQ,195227,105220,53.90
20,122,ASALCBR,EQ,203054,114210,56.25
20,123,ASHAPURMIN,EQ,84800,54923,64.77
20,124,ASHIANA,EQ,74432,48326,64.93
20,125,ASHIMASYN,EQ,296440,194712,65.68
20,126,ASHOKA,EQ,884392,442278,50.01
20,127,ASHOKLEY,EQ,16839536,5526087,32.82
20,128,ASIANHOTNR,EQ,3040,2059,67.73
20,129,ASIANPAINT,EQ,1279203,536706,41.96
20,130,ASIANTILES,EQ,927560,536713,57.86
20,131,ASLIND,SM,36000,36000,100.00
20,132,ASPINWALL,EQ,6509,3552,54.57
20,133,ASTEC,EQ,65738,43401,66.02
20,134,ASTERDM,EQ,545558,482894,88.51
20,135,ASTRAL,EQ,561273,302887,53.96
20,136,ASTRAMICRO,EQ,375946,249936,66.48
20,137,ASTRAZEN,EQ,62456,15988,25.60
20,138,ASTRON,EQ,61270,44420,72.50
20,139,ATALREAL,SM,1600,1600,100.00
20,140,ATFL,EQ,4922,3505,71.21
20,141,ATGL,EQ,2474722,1704873,68.89
20,142,ATLANTA,EQ,68080,52956,77.78
20,143,ATUL,EQ,19768,10375,52.48
20,144,ATULAUTO,EQ,80900,41801,51.67
20,145,AUBANK,EQ,803163,314629,39.17
20,146,AURIONPRO,EQ,472328,267992,56.74
20,147,AUROPHARMA,EQ,2032952,729607,35.89
20,148,AUSOMENT,EQ,4886,2791,57.12
20,149,AUTOAXLES,EQ,10108,7073,69.97
20,150,AUTOIND,EQ,97129,90488,93.16
20,151,AVADHSUGAR,EQ,133612,38645,28.92
20,152,AVANTIFEED,EQ,243139,128472,52.84
20,153,AVG,SM,1200,1200,100.00
20,154,AVTNPL,EQ,138940,90508,65.14
20,155,AWHCL,EQ,54044,32352,59.86
20,156,AXISBANK,EQ,16343307,6408878,39.21
20,157,AXISBNKETF,EQ,2257,1232,54.59
20,158,AXISCADES,EQ,224574,169615,75.53
20,159,AXISGOLD,EQ,263132,207155,78.73
20,160,AXISNIFTY,EQ,5276,3318,62.89
20,161,AYMSYNTEX,EQ,28709,24866,86.61
20,162,BAFNAPH,EQ,26576,25770,96.97
20,163,BAGFILMS,EQ,65536,60137,91.76
20,164,BAJAJ-AUTO,EQ,1119478,502785,44.91
20,165,BAJAJCON,EQ,2588836,1023759,39.55
20,166,BAJAJELEC,EQ,114048,52080,45.66
20,167,BAJAJFINSV,EQ,454348,83862,18.46
20,168,BAJAJHIND,EQ,11218602,4715751,42.04
20,169,BAJAJHLDNG,EQ,39406,33061,83.90
20,170,BAJFINANCE,EQ,2508013,461103,18.39
20,171,BALAJITELE,EQ,354651,242311,68.32
20,172,BALAMINES,EQ,109518,29739,27.15
20,173,BALAXI,EQ,1607,1018,63.35
20,174,BALKRISIND,EQ,655016,292790,44.70
20,175,BALMLAWRIE,EQ,2865410,967355,33.76
20,176,BALPHARMA,EQ,99265,46546,46.89
20,177,BALRAMCHIN,EQ,3089513,1064156,34.44
20,178,BANARBEADS,EQ,3483,3034,87.11
20,179,BANARISUG,EQ,2900,750,25.86
20,180,BANCOINDIA,EQ,246915,166530,67.44
20,181,BANDHANBNK,EQ,10034217,3652913,36.40
20,182,BANG,EQ,1958,1420,72.52
20,183,BANKA,EQ,4813,4010,83.32
20,184,BANKBARODA,EQ,54547934,17051094,31.26
20,185,BANKBEES,EQ,1202996,320031,26.60
20,186,BANKINDIA,EQ,3944641,1440498,36.52
20,187,BANSWRAS,EQ,40206,15959,39.69
20,188,BASF,EQ,36737,15617,42.51
20,189,BASML,EQ,36389,31605,86.85
20,190,BATAINDIA,EQ,803764,145562,18.11
20,191,BAYERCROP,EQ,20609,13031,63.23
20,192,BBL,EQ,8486,4493,52.95
20,193,BBTC,EQ,62998,30323,48.13
20,194,BBTCL,SM,3000,3000,100.00
20,195,BCG,EQ,11149243,6022995,54.02
20,196,BCLIND,EQ,39530,25810,65.29
20,197,BCONCEPTS,SM,6000,6000,100.00
20,198,BCP,EQ,2385320,1376150,57.69
20,199,BDL,EQ,344685,169567,49.19
20,200,BEARDSELL,EQ,27078,27077,100.00
20,201,BECTORFOOD,EQ,301892,122889,40.71
20,202,BEDMUTHA,EQ,13779,9619,69.81
20,203,BEL,EQ,13199775,3397396,25.74
20,204,BEML,EQ,1488895,176848,11.88
20,205,BEPL,EQ,3331270,1321074,39.66
20,206,BERGEPAINT,EQ,935368,441308,47.18
20,207,BESTAGRO,EQ,6690,4482,67.00
