Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15042021,777304709,0001800
Trade Date <15-APR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,34375,15910,46.28
20,2,21STCENMGM,EQ,1049,949,90.47
20,3,3IINFOTECH,EQ,17175200,8575475,49.93
20,4,3MINDIA,EQ,4198,1825,43.47
20,5,3PLAND,EQ,20266,12133,59.87
20,6,5PAISA,EQ,233162,130939,56.16
20,7,63MOONS,EQ,1926800,449771,23.34
20,8,772GS2025,GS,400,400,100.00
20,9,813GS2045,GS,753,753,100.00
20,10,A2ZINFRA,EQ,666938,525243,78.75
20,11,AAATECH,SM,3000,3000,100.00
20,12,AARON,EQ,229,149,65.07
20,13,AARTIDRUGS,EQ,316853,100644,31.76
20,14,AARTIIND,EQ,166764,55993,33.58
20,15,AARTISURF,EQ,118995,48010,40.35
20,16,AARVEEDEN,EQ,57193,29806,52.11
20,17,AARVI,EQ,12571,9935,79.03
20,18,AAVAS,EQ,128096,100351,78.34
20,19,ABAN,EQ,129590,58216,44.92
20,20,ABB,EQ,426291,285882,67.06
20,21,ABBOTINDIA,EQ,6685,3913,58.53
20,22,ABCAPITAL,EQ,7443237,1444823,19.41
20,23,ABFRL,EQ,1325248,587480,44.33
20,24,ABFRLPP1,E1,12429,9479,76.27
20,25,ABMINTLTD,EQ,723,708,97.93
20,26,ABSLBANETF,EQ,3387,257,7.59
20,27,ABSLNN50ET,EQ,279,130,46.59
20,28,ABSLRIF6RG,MF,7,6,85.71
20,29,ACC,EQ,706453,126937,17.97
20,30,ACCELYA,EQ,1350,902,66.81
20,31,ACCURACY,EQ,71802,39246,54.66
20,32,ACE,EQ,150168,74540,49.64
20,33,ACRYSIL,EQ,115605,59019,51.05
20,34,ADANIENT,EQ,9350889,719972,7.70
20,35,ADANIGREEN,EQ,786223,311935,39.68
20,36,ADANIPORTS,EQ,26108614,1749254,6.70
20,37,ADANIPOWER,EQ,21099016,5546755,26.29
20,38,ADANITRANS,EQ,1477107,590417,39.97
20,39,ADFFOODS,EQ,22195,8106,36.52
20,40,ADHUNIKIND,EQ,55688,34183,61.38
20,41,ADORWELD,EQ,10095,6893,68.28
20,42,ADSL,EQ,265541,95426,35.94
20,43,ADVANIHOTR,EQ,18367,8747,47.62
20,44,ADVENZYMES,EQ,109496,30157,27.54
20,45,AEGISCHEM,EQ,140674,85890,61.06
20,46,AFFLE,EQ,31824,11482,36.08
20,47,AFLPP,E1,10177,9338,91.76
20,48,AGCNET,EQ,7881,6327,80.28
20,49,AGRITECH,EQ,124055,53281,42.95
20,50,AGROPHOS,EQ,13211,9343,70.72
20,51,AHLADA,EQ,3666,2331,63.58
20,52,AHLEAST,EQ,853,712,83.47
20,53,AHLUCONT,EQ,51646,49283,95.42
20,54,AHLWEST,EQ,1007,286,28.40
20,55,AIAENG,EQ,15553,7491,48.16
20,56,AIRAN,EQ,39413,28603,72.57
20,57,AIROLAM,SM,6000,6000,100.00
20,58,AISL,SM,30000,8400,28.00
20,59,AJANTPHARM,EQ,114183,65059,56.98
20,60,AJMERA,EQ,83825,42707,50.95
20,61,AJOONI,SM,97768,97768,100.00
20,62,AKASH,EQ,54539,51391,94.23
20,63,AKG,EQ,377,377,100.00
