Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18102021,1861422611,0002011
Trade Date <18-OCT-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,1,1,100.00
20,2,20MICRONS,EQ,207065,116557,56.29
20,3,21STCENMGM,EQ,111585,102871,92.19
20,4,3MINDIA,EQ,3397,2096,61.70
20,5,3PLAND,EQ,2735,1766,64.57
20,6,579GS2030,GS,16,16,100.00
20,7,585GS2030,GS,75,75,100.00
20,8,5PAISA,EQ,131305,61490,46.83
20,9,63MOONS,EQ,110352,60012,54.38
20,10,667GS2050,GS,1322,1321,99.92
20,11,676GS2061,GS,11781,11781,100.00
20,12,719GS2060,GS,10,10,100.00
20,13,719KL51,SG,100,100,100.00
20,14,A2ZINFRA,EQ,936028,582663,62.25
20,15,AAATECH,SM,45000,27000,60.00
20,16,AAKASH,EQ,27955,20888,74.72
20,17,AAREYDRUGS,EQ,113818,68623,60.29
20,18,AARON,EQ,16211,7799,48.11
20,19,AARTIDRUGS,EQ,219740,104371,47.50
20,20,AARTIIND,EQ,1679818,414803,24.69
20,21,AARTISURF,EQ,19321,11584,59.96
20,22,AARVEEDEN,EQ,59632,37723,63.26
20,23,AARVI,EQ,21346,14085,65.98
20,24,AAVAS,EQ,55751,30880,55.39
20,25,ABAN,EQ,460067,214035,46.52
20,26,ABB,EQ,92011,50393,54.77
20,27,ABBOTINDIA,EQ,15207,4799,31.56
20,28,ABCAPITAL,EQ,2505445,1388008,55.40
20,29,ABFRL,EQ,4645688,1762335,37.93
20,30,ABINFRA,SM,8000,4000,50.00
20,31,ABMINTLLTD,EQ,11926,6329,53.07
20,32,ABSLAMC,EQ,435065,291587,67.02
20,33,ABSLBANETF,EQ,566,187,33.04
20,34,ABSLNN50ET,EQ,268,177,66.04
20,35,ACC,EQ,627590,182162,29.03
20,36,ACCELYA,EQ,42770,23170,54.17
20,37,ACCURACY,EQ,114423,69012,60.31
20,38,ACE,EQ,537255,204549,38.07
20,39,ACEINTEG,SM,4500,4500,100.00
20,40,ACRYSIL,EQ,172618,40521,23.47
20,41,ADANIENT,EQ,3791222,1240027,32.71
20,42,ADANIGREEN,EQ,254046,173668,68.36
20,43,ADANIPORTS,EQ,8883845,2707893,30.48
20,44,ADANIPOWER,EQ,7932757,5898289,74.35
20,45,ADFFOODS,EQ,76740,33594,43.78
20,46,ADORWELD,EQ,93970,9085,9.67
20,47,ADROITINFO,EQ,111342,106164,95.35
20,48,ADSL,EQ,336033,173938,51.76
20,49,ADVANIHOTR,EQ,44293,25762,58.16
20,50,ADVENZYMES,EQ,285027,111383,39.08
20,51,AEGISCHEM,EQ,540891,340571,62.96
20,52,AFFLE,EQ,383592,279409,72.84
20,53,AGARIND,EQ,53310,28041,52.60
20,54,AGROPHOS,EQ,99777,71852,72.01
20,55,AHLADA,EQ,42519,28757,67.63
20,56,AHLEAST,EQ,8732,5813,66.57
20,57,AHLUCONT,EQ,101616,53550,52.70
20,58,AHLWEST,EQ,1428,840,58.82
20,59,AIAENG,EQ,79691,60227,75.58
20,60,AILIMITED,SM,3000,3000,100.00
20,61,AIRAN,EQ,73795,57870,78.42
20,62,AIROLAM,EQ,118889,58292,49.03
20,63,AISL,SM,3600,2400,66.67
20,64,AJANTPHARM,EQ,68493,36521,53.32
20,65,AJOONI,EQ,392443,267153,68.07
20,66,AJRINFRA,EQ,3470177,1802687,51.95
20,67,AKASH,EQ,139904,82002,58.61
20,68,AKG,EQ,87595,60662,69.25
20,69,AKSHARCHEM,EQ,48635,25359,52.14
20,70,AKSHOPTFBR,EQ,535801,390022,72.79
20,71,AKZOINDIA,EQ,58935,40401,68.55
20,72,ALANKIT,EQ,2387707,1353427,56.68
20,73,ALBERTDAVD,EQ,228709,22338,9.77
20,74,ALEMBICLTD,EQ,241331,133136,55.17
20,75,ALICON,EQ,97243,36168,37.19
20,76,ALKALI,EQ,100097,69351,69.28
20,77,ALKEM,EQ,150089,98907,65.90
20,78,ALKYLAMINE,EQ,51573,29020,56.27
20,79,ALLCARGO,EQ,680366,356713,52.43
20,80,ALLSEC,EQ,97146,14203,14.62
20,81,ALMONDZ,EQ,55485,47448,85.52
20,82,ALOKINDS,EQ,33652298,13783390,40.96
20,83,ALPA,EQ,63150,46221,73.19
20,84,ALPHAGEO,EQ,214500,29935,13.96
20,85,AMARAJABAT,EQ,3191128,1304706,40.89
20,86,AMBANIORG,SM,14000,10000,71.43
20,87,AMBER,EQ,42665,16610,38.93
20,88,AMBICAAGAR,EQ,42305,27185,64.26
20,89,AMBIKCO,EQ,25620,15626,60.99
20,90,AMBUJACEM,EQ,5319195,2891382,54.36
20,91,AMDIND,EQ,261358,223402,85.48
20,92,AMIORG,EQ,916207,357322,39.00
20,93,AMJLAND,EQ,43603,24883,57.07
20,94,AMRUTANJAN,EQ,438190,139197,31.77
20,95,ANDHRACEMT,EQ,975587,864532,88.62
20,96,ANDHRAPAP,EQ,32742,20163,61.58
20,97,ANDHRSUGAR,EQ,147988,44005,29.74
20,98,ANDREWYU,EQ,625841,314266,50.21
20,99,ANGELBRKG,EQ,668079,226874,33.96
20,100,ANIKINDS,EQ,25539,19278,75.48
20,101,ANKITMETAL,EQ,94495,94464,99.97
20,102,ANMOL,EQ,247081,93877,37.99
20,103,ANSALAPI,EQ,214274,162356,75.77
20,104,ANSALHSG,EQ,385020,254509,66.10
20,105,ANUP,EQ,12096,7401,61.19
20,106,ANURAS,EQ,301307,132791,44.07
20,107,APARINDS,EQ,92145,40325,43.76
20,108,APCL,EQ,28717,19858,69.15
20,109,APCOTEXIND,EQ,210501,44037,20.92
20,110,APEX,EQ,142042,76858,54.11
20,111,APLAPOLLO,EQ,730897,511233,69.95
20,112,APLLTD,EQ,298155,168384,56.48
20,113,APOLLO,EQ,158269,84043,53.10
20,114,APOLLOHOSP,EQ,345049,142309,41.24
20,115,APOLLOPIPE,EQ,95595,60024,62.79
20,116,APOLLOTYRE,EQ,8984522,2355999,26.22
20,117,APOLSINHOT,EQ,4088,2143,52.42
20,118,APTECHT,EQ,224833,94529,42.04
20,119,APTUS,EQ,320672,203929,63.59
20,120,ARCHIDPLY,EQ,30831,24089,78.13
20,121,ARCHIES,EQ,69864,46777,66.95
20,122,ARENTERP,EQ,7268,5089,70.02
20,123,ARIES,EQ,65790,45405,69.02
20,124,ARIHANT,EQ,9601,4483,46.69
20,125,ARIHANTCAP,EQ,76025,48413,63.68
20,126,ARIHANTSUP,EQ,107714,56837,52.77
20,127,ARMANFIN,EQ,31531,12200,38.69
20,128,AROGRANITE,EQ,38679,32544,84.14
20,129,ARROWGREEN,EQ,16158,9151,56.63
20,130,ARSHIYA,EQ,643102,435552,67.73
20,131,ARSSINFRA,EQ,30432,21477,70.57
20,132,ARTEMISMED,EQ,76074,48554,63.82
20,133,ARVEE,EQ,1626,403,24.78
20,134,ARVIND,EQ,8385979,2152219,25.66
20,135,ARVINDFASN,EQ,351920,173065,49.18
20,136,ASAHIINDIA,EQ,268804,109512,40.74
20,137,ASAHISONG,EQ,23709,9050,38.17
20,138,ASAL,EQ,85982,76110,88.52
20,139,ASALCBR,EQ,107437,59901,55.75
20,140,ASHAPURMIN,EQ,143216,119615,83.52
20,141,ASHIANA,EQ,79657,48495,60.88
20,142,ASHIMASYN,EQ,87445,63841,73.01
20,143,ASHOKA,EQ,3648341,1559427,42.74
20,144,ASHOKLEY,EQ,31587903,13724534,43.45
20,145,ASIANHOTNR,EQ,17321,9053,52.27
20,146,ASIANPAINT,EQ,1576121,910415,57.76
20,147,ASIANTILES,EQ,541810,221019,40.79
20,148,ASLIND,SM,4000,4000,100.00
20,149,ASPINWALL,EQ,8619,5064,58.75
20,150,ASTEC,EQ,12477,6549,52.49
20,151,ASTERDM,EQ,582119,312262,53.64
20,152,ASTRAL,EQ,517379,220398,42.60
20,153,ASTRAMICRO,EQ,572287,236370,41.30
20,154,ASTRAZEN,EQ,15968,9902,62.01
20,155,ASTRON,EQ,108083,64897,60.04
20,156,ATALREAL,SM,24000,19200,80.00
20,157,ATFL,EQ,23287,10794,46.35
20,158,ATLANTA,EQ,48668,30548,62.77
20,159,ATUL,EQ,16989,10863,63.94
20,160,ATULAUTO,EQ,207517,91678,44.18
20,161,AUBANK,EQ,1132912,557268,49.19
20,162,AURDIS,SM,14000,12000,85.71
20,163,AURIONPRO,EQ,65302,51639,79.08
20,164,AUROPHARMA,EQ,2001971,1032747,51.59
20,165,AUSOMENT,EQ,19824,7431,37.48
20,166,AUTOAXLES,EQ,68033,27662,40.66
20,167,AUTOIND,EQ,51315,34269,66.78
20,168,AVADHSUGAR,EQ,189470,46378,24.48
20,169,AVANTIFEED,EQ,348795,174116,49.92
20,170,AVTNPL,EQ,228229,129558,56.77
20,171,AWHCL,EQ,2215943,1248729,56.35
20,172,AXISBANK,EQ,11014585,6331449,57.48
20,173,AXISBNKETF,EQ,920,762,82.83
20,174,AXISBPSETF,EQ,20430,11370,55.65
20,175,AXISCADES,EQ,339426,163103,48.05
20,176,AXISCETF,EQ,3377,2552,75.57
20,177,AXISGOLD,EQ,253510,206891,81.61
20,178,AXISHCETF,EQ,10379,9575,92.25
20,179,AXISNIFTY,EQ,3301,2394,72.52
20,180,AXISTECETF,EQ,6060,5466,90.20
20,181,AYMSYNTEX,EQ,45642,27810,60.93
20,182,BAFNAPH,EQ,7739,5639,72.86
20,183,BAJAJ-AUTO,EQ,463126,216467,46.74
20,184,BAJAJCON,EQ,968557,608713,62.85
20,185,BAJAJELEC,EQ,361276,163902,45.37
20,186,BAJAJFINSV,EQ,293948,81780,27.82
20,187,BAJAJHIND,EQ,25331866,14575261,57.54
20,188,BAJAJHLDNG,EQ,29219,17640,60.37
20,189,BAJFINANCE,EQ,855098,332210,38.85
20,190,BALAJITELE,EQ,373069,181629,48.69
20,191,BALAMINES,EQ,29600,19843,67.04
20,192,BALAXI,EQ,3102,1646,53.06
20,193,BALKRISHNA,EQ,7353,6352,86.39
20,194,BALKRISIND,EQ,263232,112444,42.72
20,195,BALMLAWRIE,EQ,600135,244521,40.74
20,196,BALPHARMA,EQ,48827,30747,62.97
20,197,BALRAMCHIN,EQ,2734065,882944,32.29
