Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21062021,1149869490,0001769
Trade Date <21-JUN-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,125996,62996,50.00
20,2,21STCENMGM,EQ,6539,6537,99.97
20,3,3MINDIA,EQ,1092,536,49.08
20,4,3PLAND,EQ,17919,15329,85.55
20,5,577GS2030,GS,490,490,100.00
20,6,5PAISA,EQ,32044,21351,66.63
20,7,645GS2029,GS,100,100,100.00
20,8,664GS2035,GS,212,212,100.00
20,9,667GS2050,GS,1415,1415,100.00
20,10,676GS2061,GS,214,214,100.00
20,11,68GS2060,GS,2049,2049,100.00
20,12,719GS2060,GS,301,301,100.00
20,13,AAATECH,SM,6000,6000,100.00
20,14,AAKASH,EQ,69455,22212,31.98
20,15,AARTIDRUGS,EQ,289830,115401,39.82
20,16,AARTIIND,EQ,957287,426099,44.51
20,17,AARTISURF,EQ,10606,5505,51.90
20,18,AARVI,EQ,252720,113578,44.94
20,19,AAVAS,EQ,52937,20275,38.30
20,20,ABB,EQ,152232,78297,51.43
20,21,ABBOTINDIA,EQ,11063,5780,52.25
20,22,ABCAPITAL,EQ,2467551,1083962,43.93
20,23,ABFRL,EQ,1918906,742921,38.72
20,24,ABFRLPP1,E1,73300,68233,93.09
20,25,ABINFRA,SM,4000,4000,100.00
20,26,ABMINTLTD,EQ,14621,4991,34.14
20,27,ABSLBANETF,EQ,199,124,62.31
20,28,ABSLNN50ET,EQ,20,17,85.00
20,29,ABSLRIF6RG,MF,25902,25502,98.46
20,30,ACC,EQ,478588,180152,37.64
20,31,ACCELYA,EQ,311516,90891,29.18
20,32,ACCORD,SM,6000,6000,100.00
20,33,ACCURACY,EQ,14928,9987,66.90
20,34,ACE,EQ,461234,177933,38.58
20,35,ACRYSIL,EQ,328248,180395,54.96
20,36,ADANIENT,EQ,21101083,1003919,4.76
20,37,ADANIPORTS,EQ,51759617,6024781,11.64
20,38,ADFFOODS,EQ,34014,9879,29.04
20,39,ADORWELD,EQ,18322,8319,45.40
20,40,ADROITINFO,EQ,54371,34423,63.31
20,41,ADSL,EQ,414149,245879,59.37
20,42,ADVANIHOTR,EQ,86990,29752,34.20
20,43,ADVENZYMES,EQ,372458,116471,31.27
20,44,AEGISCHEM,EQ,247138,97611,39.50
20,45,AGARIND,EQ,84840,59588,70.24
20,46,AGRITECH,EQ,12404,5592,45.08
20,47,AGROPHOS,EQ,152955,34231,22.38
20,48,AHLADA,EQ,18248,11491,62.97
20,49,AHLEAST,EQ,1964,884,45.01
20,50,AHLUCONT,EQ,5484,4125,75.22
20,51,AHLWEST,EQ,5478,2455,44.82
20,52,AIAENG,EQ,18750,13018,69.43
20,53,AILIMITED,ST,24000,24000,100.00
20,54,AIRAN,EQ,321399,193308,60.15
20,55,AIROLAM,SM,3000,3000,100.00
20,56,AISL,SM,27600,4800,17.39
20,57,AJANTPHARM,EQ,49166,22679,46.13
20,58,AJMERA,EQ,250588,57681,23.02
20,59,AKASH,EQ,105984,73160,69.03
20,60,AKG,EQ,5720,1521,26.59
20,61,AKSHARCHEM,EQ,47282,26513,56.07
20,62,AKZOINDIA,EQ,6910,2933,42.45
20,63,ALANKIT,EQ,634853,206172,32.48
20,64,ALBERTDAVD,EQ,30787,14640,47.55
20,65,ALEMBICLTD,EQ,680111,208321,30.63
20,66,ALICON,EQ,9378,6746,71.93
20,67,ALKALI,EQ,57157,33341,58.33
20,68,ALKEM,EQ,133053,35755,26.87
20,69,ALKYLAMINE,EQ,67195,29361,43.70
20,70,ALLCARGO,EQ,312962,108043,34.52
20,71,ALLSEC,EQ,39958,17543,43.90
20,72,ALMONDZ,EQ,10060,5514,54.81
20,73,ALOKINDS,EQ,16700959,7506422,44.95
20,74,ALPHAGEO,EQ,47194,25957,55.00
20,75,AMARAJABAT,EQ,805943,246657,30.60
