Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23092021,1007461292,0001828
Trade Date <23-SEP-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,369542,147237,39.84
20,2,21STCENMGM,EQ,5558,5532,99.53
20,3,3MINDIA,EQ,7564,4322,57.14
20,4,503KL24,SG,100,100,100.00
20,5,509GS2022,GS,600,600,100.00
20,6,5PAISA,EQ,21611,11575,53.56
20,7,610GS2031,GS,100,100,100.00
20,8,63MOONS,EQ,41884,31022,74.07
20,9,664GS2035,GS,200,200,100.00
20,10,667GS2035,GS,1574,1574,100.00
20,11,667GS2050,GS,20096,20096,100.00
20,12,676GS2061,GS,6129,5129,83.68
20,13,716GS2050,GS,10,10,100.00
20,14,719GS2060,GS,20,20,100.00
20,15,772GS2049,GS,10,10,100.00
20,16,772GS2055,GS,3,2,66.67
20,17,A2ZINFRA,EQ,307741,199067,64.69
20,18,AAATECH,SM,9000,3000,33.33
20,19,AAKASH,EQ,93737,50833,54.23
20,20,AAREYDRUGS,EQ,31534,21082,66.85
20,21,AARON,EQ,2278,1438,63.13
20,22,AARTIDRUGS,EQ,120387,57944,48.13
20,23,AARTIIND,EQ,592897,272972,46.04
20,24,AARTISURF,EQ,14848,6187,41.67
20,25,AARVEEDEN,EQ,10308,9184,89.10
20,26,AARVI,EQ,20878,17260,82.67
20,27,AAVAS,EQ,225411,106371,47.19
20,28,ABAN,EQ,99187,58665,59.15
20,29,ABB,EQ,119769,67149,56.07
20,30,ABBOTINDIA,EQ,8679,4515,52.02
20,31,ABCAPITAL,EQ,7076525,2892985,40.88
20,32,ABFRL,EQ,6977410,2365894,33.91
20,33,ABSLBANETF,EQ,329,262,79.64
20,34,ABSLNN50ET,EQ,272,228,83.82
20,35,ACC,EQ,380958,178657,46.90
20,36,ACCELYA,EQ,51216,26958,52.64
20,37,ACCURACY,EQ,117197,35826,30.57
20,38,ACE,EQ,1642018,535479,32.61
20,39,ACRYSIL,EQ,486001,261513,53.81
20,40,ADANIENT,EQ,1622616,397161,24.48
20,41,ADANIGREEN,EQ,2615150,1765026,67.49
20,42,ADANIPORTS,EQ,3526253,735402,20.86
20,43,ADANIPOWER,EQ,4723835,2399316,50.79
20,44,ADFFOODS,EQ,10097,7074,70.06
20,45,ADORWELD,EQ,11303,8149,72.10
20,46,ADSL,EQ,80255,49223,61.33
20,47,ADVANIHOTR,EQ,116495,60348,51.80
20,48,ADVENZYMES,EQ,203092,100257,49.37
20,49,AEGISCHEM,EQ,796003,403593,50.70
20,50,AFFLE,EQ,130216,60038,46.11
20,51,AGARIND,EQ,11065,8396,75.88
20,52,AGROPHOS,EQ,173771,118949,68.45
