Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,25052021,1272891947,0001904
Trade Date <25-MAY-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,1439386,675120,46.90
20,2,21STCENMGM,EQ,10444,8513,81.51
20,3,3IINFOTECH,EQ,57131586,16386816,28.68
20,4,3MINDIA,EQ,2797,1265,45.23
20,5,3PLAND,EQ,9703,6316,65.09
20,6,5PAISA,EQ,57974,41542,71.66
20,7,667GS2050,GS,1108,1108,100.00
20,8,68GS2060,GS,1000,1000,100.00
20,9,716GS2050,GS,200,200,100.00
20,10,719GS2060,GS,10,10,100.00
20,11,817GS2044,GS,80,80,100.00
20,12,AAATECH,SM,3000,3000,100.00
20,13,AAKASH,EQ,47228,14483,30.67
20,14,AARTIDRUGS,EQ,562596,261476,46.48
20,15,AARTIIND,EQ,759690,311453,41.00
20,16,AARTISURF,EQ,172916,104199,60.26
20,17,AARVI,EQ,313205,211189,67.43
20,18,AAVAS,EQ,35785,18859,52.70
20,19,ABAN,EQ,112334,71322,63.49
20,20,ABB,EQ,131448,69966,53.23
20,21,ABBOTINDIA,EQ,11933,5827,48.83
20,22,ABCAPITAL,EQ,2306049,817323,35.44
20,23,ABFRL,EQ,1667072,737906,44.26
20,24,ABFRLPP1,E1,11913,10641,89.32
20,25,ABMINTLTD,EQ,2829,1205,42.59
20,26,ABSLBANETF,EQ,1185,641,54.09
20,27,ABSLNN50ET,EQ,41,34,82.93
20,28,ABSLRIF6RG,MF,4,4,100.00
20,29,ABSLRIF7RG,MF,50,50,100.00
20,30,ACC,EQ,501731,149126,29.72
20,31,ACCELYA,EQ,13644,6502,47.65
20,32,ACCURACY,EQ,34962,15074,43.12
20,33,ACE,EQ,1284229,684705,53.32
20,34,ACRYSIL,EQ,433659,155879,35.95
20,35,ADANIENT,EQ,3697062,1278266,34.58
20,36,ADANIGREEN,EQ,1212221,568376,46.89
20,37,ADANIPORTS,EQ,4730725,744828,15.74
20,38,ADANIPOWER,EQ,8580609,4219101,49.17
20,39,ADANITRANS,EQ,2005421,696455,34.73
20,40,ADFFOODS,EQ,81640,34018,41.67
20,41,ADORWELD,EQ,26497,14399,54.34
20,42,ADROITINFO,EQ,1024,1024,100.00
20,43,ADSL,EQ,978358,588156,60.12
20,44,ADVANIHOTR,EQ,37312,25100,67.27
20,45,ADVENZYMES,EQ,336945,85884,25.49
20,46,AEGISCHEM,EQ,1056459,374898,35.49
20,47,AFFLE,EQ,55109,32013,58.09
20,48,AGARIND,EQ,37257,28469,76.41
20,49,AGCNET,EQ,3567,2456,68.85
20,50,AGRITECH,EQ,5364,4273,79.66
20,51,AGROPHOS,EQ,199419,99137,49.71
20,52,AHLADA,EQ,25750,23632,91.77
20,53,AHLEAST,EQ,45391,15756,34.71
20,54,AHLUCONT,EQ,12438,8728,70.17
20,55,AHLWEST,EQ,51808,15612,30.13
20,56,AIAENG,EQ,30662,16024,52.26
20,57,AIRAN,EQ,50118,36280,72.39
20,58,AIROLAM,SM,3000,3000,100.00
20,59,AISL,SM,27600,2400,8.70
20,60,AJANTPHARM,EQ,70273,28596,40.69
20,61,AJMERA,EQ,2343013,693169,29.58
20,62,AKASH,EQ,36635,31630,86.34
20,63,AKG,EQ,6026,3230,53.60
